unique_id,year,tract_number,county_name,state_name,Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
48001950100,2018,950100,Anderson County,Texas,5164,591,11.4,4573,88.6,4119,79.8,312,6.0,16,0.3,14,0.3,0,0.0,0,0.0,112,2.2
48001950401,2018,950401,Anderson County,Texas,4872,1145,23.5,3727,76.5,1732,35.6,1910,39.2,9,0.2,22,0.5,0,0.0,13,0.3,41,0.8
48001950402,2018,950402,Anderson County,Texas,7548,1727,22.9,5821,77.1,2603,34.5,3180,42.1,9,0.1,8,0.1,9,0.1,0,0.0,12,0.2
48001950500,2018,950500,Anderson County,Texas,4569,1742,38.1,2827,61.9,1957,42.8,759,16.6,19,0.4,0,0.0,0,0.0,0,0.0,92,2.0
48001950600,2018,950600,Anderson County,Texas,5570,358,6.4,5212,93.6,3668,65.9,1466,26.3,16,0.3,0,0.0,0,0.0,0,0.0,62,1.1
48001950700,2018,950700,Anderson County,Texas,2479,846,34.1,1633,65.9,716,28.9,854,34.4,22,0.9,11,0.4,0,0.0,0,0.0,30,1.2
48001950800,2018,950800,Anderson County,Texas,5584,663,11.9,4921,88.1,3047,54.6,1561,28.0,22,0.4,179,3.2,0,0.0,0,0.0,112,2.0
48001950901,2018,950901,Anderson County,Texas,6481,1166,18.0,5315,82.0,4482,69.2,694,10.7,21,0.3,11,0.2,0,0.0,0,0.0,107,1.7
48001950902,2018,950902,Anderson County,Texas,4513,455,10.1,4058,89.9,3294,73.0,659,14.6,9,0.2,54,1.2,0,0.0,0,0.0,42,0.9
48001951000,2018,951000,Anderson County,Texas,6928,1014,14.6,5914,85.4,5659,81.7,244,3.5,0,0.0,7,0.1,0,0.0,2,0.0,2,0.0
48001951100,2018,951100,Anderson County,Texas,4155,435,10.5,3720,89.5,3035,73.0,488,11.7,15,0.4,13,0.3,0,0.0,0,0.0,169,4.1
48003950100,2018,950100,Andrews County,Texas,2254,1033,45.8,1221,54.2,1167,51.8,7,0.3,0,0.0,44,2.0,0,0.0,0,0.0,3,0.1
48003950200,2018,950200,Andrews County,Texas,7281,3855,52.9,3426,47.1,3181,43.7,205,2.8,0,0.0,19,0.3,21,0.3,0,0.0,0,0.0
48003950300,2018,950300,Andrews County,Texas,5097,3584,70.3,1513,29.7,1265,24.8,32,0.6,0,0.0,0,0.0,0,0.0,0,0.0,216,4.2
48003950400,2018,950400,Andrews County,Texas,3186,1507,47.3,1679,52.7,1602,50.3,77,2.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
48005000101,2018,101,Angelina County,Texas,6513,641,9.8,5872,90.2,5469,84.0,374,5.7,10,0.2,7,0.1,0,0.0,0,0.0,12,0.2
48005000102,2018,102,Angelina County,Texas,4726,394,8.3,4332,91.7,4082,86.4,110,2.3,14,0.3,97,2.1,0,0.0,0,0.0,29,0.6
48005000200,2018,200,Angelina County,Texas,6817,1941,28.5,4876,71.5,4253,62.4,588,8.6,0,0.0,0,0.0,0,0.0,0,0.0,35,0.5
