unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
17199020100,2020,20100,Williamson County,Illinois,164,23,33,108,0,2389,90,222,715,631,357,261,113,14.0,20.1,65.9,0.0,3.8,9.3,29.9,26.4,14.9,10.9,4.7
17199020201,2020,20201,Williamson County,Illinois,520,13,196,268,43,3615,41,92,688,1031,343,728,692,2.5,37.7,51.5,8.3,1.1,2.5,19.0,28.5,9.5,20.1,19.1
17199020202,2020,20202,Williamson County,Illinois,96,0,28,57,11,1607,61,69,209,279,193,417,379,0.0,29.2,59.4,11.5,3.8,4.3,13.0,17.4,12.0,25.9,23.6
17199020300,2020,20300,Williamson County,Illinois,230,17,113,69,31,3610,142,114,1082,943,237,597,495,7.4,49.1,30.0,13.5,3.9,3.2,30.0,26.1,6.6,16.5,13.7
17199020400,2020,20400,Williamson County,Illinois,410,6,229,164,11,2836,152,258,894,830,301,292,109,1.5,55.9,40.0,2.7,5.4,9.1,31.5,29.3,10.6,10.3,3.8
17199020500,2020,20500,Williamson County,Illinois,289,48,156,72,13,2529,24,118,772,640,233,446,296,16.6,54.0,24.9,4.5,0.9,4.7,30.5,25.3,9.2,17.6,11.7
17199020600,2020,20600,Williamson County,Illinois,269,75,58,136,0,2599,50,235,648,838,375,389,64,27.9,21.6,50.6,0.0,1.9,9.0,24.9,32.2,14.4,15.0,2.5
17199020700,2020,20700,Williamson County,Illinois,344,67,207,70,0,3430,96,188,1150,895,472,362,267,19.5,60.2,20.3,0.0,2.8,5.5,33.5,26.1,13.8,10.6,7.8
17199020801,2020,20801,Williamson County,Illinois,228,3,96,129,0,1798,19,66,714,444,179,250,126,1.3,42.1,56.6,0.0,1.1,3.7,39.7,24.7,10.0,13.9,7.0
17199020802,2020,20802,Williamson County,Illinois,266,57,58,143,8,2754,57,249,1019,740,349,195,145,21.4,21.8,53.8,3.0,2.1,9.0,37.0,26.9,12.7,7.1,5.3
