school_name,Grades,District Name,perc_math_readiness,perc_english_readiness,perc_reading_readiness,perc_science_readiness,perc_all_subject_readiness,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region,number_grade_11_students,number_test_taking_grade_11_students,perc_test_taking_students_15_16,ACT_math,ACT_english,ACT_reading,ACT_science,is_open_enrollment_charter,County,School LEA,DLEA,year
ACADEMIC CENTER FOR EXCELLENCE,5-12,CABOT SCHOOL DISTRICT,11.0,41.0,32.0,14.0,6.0,382.0,45.0,84.0,6.0,3.0,7.0,16.0,3,88,73.0,83.0,16.7,16.8,18.2,17.6,0,LONOKE,4304703,4304000,2021.0
ACORN HIGH SCHOOL,7-12,OUACHITA RIVER SCHOOL DISTRICT,13.0,47.0,31.0,18.0,11.0,279.0,66.0,93.0,3.0,1.0,4.0,7.0,4,45,45.0,100.0,16.4,17.0,18.3,18.8,0,POLK,5706002,5706000,2021.0
AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,9-12,FAYETTEVILLE SCHOOL DISTRICT,3.0,29.0,10.0,3.0,0.0,263.0,61.0,41.0,20.0,19.0,20.0,59.0,1,83,31.0,37.0,15.5,14.9,16.5,16.5,0,WASHINGTON,7203029,7203000,2021.0
ALMA HIGH SCHOOL,9-12,ALMA SCHOOL DISTRICT,26.0,49.0,35.0,29.0,14.0,1020.0,50.0,84.0,5.0,2.0,10.0,16.0,1,238,208.0,87.0,18.4,17.4,19.2,19.2,0,CRAWFORD,1701002,1701000,2021.0
ALPENA HIGH SCHOOL,7-12,ALPENA SCHOOL DISTRICT,20.0,53.0,37.0,37.0,17.0,227.0,57.0,94.0,4.0,1.0,1.0,6.0,1,36,30.0,83.0,18.1,18.9,19.7,19.6,0,BOONE,501002,501000,2021.0
ARKADELPHIA HIGH SCHOOL,9-12,ARKADELPHIA SCHOOL DISTRICT,12.0,45.0,28.0,22.0,7.0,579.0,47.0,53.0,9.0,34.0,4.0,47.0,4,150,129.0,86.0,16.7,17.7,18.1,18.4,0,CLARK,1002010,1002000,2021.0
ARKANSAS ARTS ACADEMY HIGH SCHOOL,7-12,ARKANSAS ARTS ACADEMY,14.0,44.0,40.0,28.0,14.0,618.0,28.0,73.0,18.0,2.0,7.0,27.0,1,105,93.0,89.0,17.5,17.8,19.7,19.1,1,BENTON,440703,440700,2021.0
ARKANSAS CONNECTIONS ACADEMY HIGH,K-12,ARKANSAS CONNECTIONS ACADEMY,12.0,48.0,36.0,19.0,9.0,3390.0,38.0,69.0,7.0,14.0,10.0,31.0,1,378,119.0,31.0,16.3,18.1,19.3,19.2,1,BENTON,444703,444700,2021.0
ARKANSAS CONSOLIDATED HIGH SCHOOL-ALEXANDER,5-12,DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,7.0,7.0,7.0,7.0,7.0,61.0,100.0,46.0,3.0,46.0,5.0,54.0,3,16,15.0,94.0,14.6,11.9,14.1,14.5,0,PULASKI,6094001,6094000,2021.0
ARKANSAS HIGH SCHOOL,9-12,TEXARKANA SCHOOL DISTRICT,10.0,36.0,18.0,13.0,5.0,1123.0,59.0,32.0,6.0,56.0,7.0,68.0,4,235,168.0,71.0,15.9,16.1,16.3,17.1,0,MILLER,4605026,4605000,2021.0
ARKANSAS SCHOOL FOR THE BLIND HIGH SCHOOL,7-12,ARKANSAS SCHOOL FOR THE BLIND,0.0,40.0,30.0,0.0,0.0,45.0,38.0,64.0,2.0,22.0,11.0,36.0,3,13,10.0,77.0,15.3,14.7,19.5,17.3,0,PULASKI,6091002,6091000,2021.0
ARKANSAS VIRTUAL ACADEMY HIGH SCHOOL,9-12,ARKANSAS VIRTUAL ACADEMY,16.0,54.0,38.0,25.0,12.0,1444.0,64.0,71.0,6.0,17.0,5.0,29.0,3,417,97.0,23.0,17.0,18.4,19.6,18.7,1,PULASKI,6043703,6043700,2021.0
ARMOREL HIGH SCHOOL,7-12,ARMOREL SCHOOL DISTRICT,20.0,60.0,45.0,25.0,15.0,197.0,42.0,84.0,4.0,9.0,3.0,16.0,2,24,20.0,83.0,17.9,19.3,20.0,19.7,0,MISSISSIPPI,4701002,4701000,2021.0
ASHDOWN HIGH SCHOOL,9-12,ASHDOWN SCHOOL DISTRICT,17.0,37.0,20.0,21.0,13.0,395.0,63.0,62.0,5.0,27.0,6.0,38.0,4,102,90.0,88.0,17.2,16.5,17.4,17.7,0,LITTLE RIVER,4101004,4101000,2021.0
ATKINS HIGH SCHOOL,9-12,ATKINS SCHOOL DISTRICT,17.0,47.0,28.0,11.0,6.0,296.0,68.0,92.0,2.0,2.0,4.0,8.0,1,76,47.0,62.0,17.8,17.5,18.5,18.2,0,POPE,5801002,5801000,2021.0
AUGUSTA HIGH SCHOOL,6-12,AUGUSTA SCHOOL DISTRICT,10.0,50.0,20.0,15.0,10.0,168.0,85.0,37.0,2.0,55.0,7.0,63.0,2,20,20.0,100.0,16.3,17.9,17.7,18.3,0,WOODRUFF,7401003,7401000,2021.0
BALD KNOB HIGH SCHOOL,9-12,BALD KNOB SCHOOL DISTRICT,20.0,49.0,42.0,26.0,14.0,368.0,53.0,88.0,7.0,1.0,4.0,12.0,2,78,55.0,71.0,18.5,19.0,19.7,19.3,0,WHITE,7301003,7301000,2021.0
BARTON HIGH SCHOOL,7-12,BARTON SCHOOL DISTRICT,5.0,23.0,5.0,11.0,2.0,323.0,85.0,55.0,2.0,40.0,3.0,45.0,5,51,44.0,86.0,15.9,15.0,15.2,17.1,0,PHILLIPS,5401003,5401000,2021.0
BAUXITE HIGH SCHOOL,9-12,BAUXITE SCHOOL DISTRICT,11.0,44.0,28.0,20.0,7.0,466.0,29.0,89.0,7.0,3.0,1.0,11.0,3,110,108.0,98.0,16.8,17.1,17.8,18.3,0,SALINE,6301002,6301000,2021.0
BAY HIGH SCHOOL,7-12,BAY SCHOOL DISTRICT,7.0,36.0,21.0,14.0,7.0,259.0,59.0,93.0,2.0,3.0,3.0,7.0,2,44,44.0,100.0,16.0,16.0,17.0,17.5,0,CRAIGHEAD,1601002,1601000,2021.0
BEARDEN HIGH SCHOOL,7-12,BEARDEN SCHOOL DISTRICT,3.0,38.0,31.0,6.0,0.0,211.0,74.0,53.0,5.0,36.0,6.0,47.0,4,33,32.0,97.0,15.7,17.2,17.8,17.0,0,OUACHITA,5201002,5201000,2021.0
BEEBE HIGH SCHOOL,9-12,BEEBE SCHOOL DISTRICT,28.0,51.0,36.0,25.0,14.0,1040.0,41.0,85.0,6.0,5.0,3.0,15.0,2,253,211.0,83.0,18.7,18.4,19.0,19.2,0,WHITE,7302010,7302000,2021.0
BENTON HIGH SCHOOL,10-12,BENTON SCHOOL DISTRICT,37.0,58.0,44.0,35.0,24.0,1244.0,33.0,74.0,12.0,8.0,6.0,26.0,3,429,393.0,92.0,19.9,19.8,20.4,20.3,0,SALINE,6302012,6302000,2021.0
BENTONVILLE HIGH SCHOOL,9-12,BENTONVILLE SCHOOL DISTRICT,44.0,75.0,58.0,48.0,34.0,3159.0,16.0,75.0,11.0,2.0,12.0,25.0,1,796,718.0,90.0,21.2,22.7,22.7,22.0,0,BENTON,401003,401000,2021.0
BENTONVILLE WEST HIGH SCHOOL,9-12,BENTONVILLE SCHOOL DISTRICT,34.0,67.0,48.0,36.0,24.0,2279.0,27.0,69.0,16.0,4.0,11.0,31.0,1,557,495.0,89.0,19.8,20.4,21.0,20.6,0,BENTON,401019,401000,2021.0
BERGMAN HIGH SCHOOL,9-12,BERGMAN SCHOOL DISTRICT,24.0,61.0,36.0,37.0,14.0,309.0,53.0,94.0,4.0,0.0,2.0,6.0,1,74,59.0,80.0,18.7,20.2,20.5,20.8,0,BOONE,502007,502000,2021.0
BERRYVILLE HIGH SCHOOL,9-12,BERRYVILLE SCHOOL DISTRICT,20.0,57.0,34.0,29.0,14.0,545.0,66.0,64.0,30.0,0.0,6.0,36.0,1,142,118.0,83.0,17.8,19.0,19.3,19.6,0,CARROLL,801002,801000,2021.0
BIGELOW HIGH SCHOOL,7-12,EAST END SCHOOL DISTRICT,8.0,27.0,15.0,8.0,8.0,311.0,50.0,82.0,9.0,5.0,4.0,18.0,1,45,26.0,58.0,17.2,15.6,16.2,17.1,0,PERRY,5301002,5301000,2021.0
BISMARCK HIGH SCHOOL,9-12,BISMARCK SCHOOL DISTRICT,25.0,66.0,30.0,30.0,9.0,295.0,53.0,91.0,5.0,2.0,2.0,9.0,3,68,53.0,78.0,18.5,19.1,18.8,19.7,0,HOT SPRING,3001003,3001000,2021.0
