District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
QUITMAN SCHOOL DISTRICT,QUITMAN HIGH SCHOOL,50,19.5,62.0%,18.7,22.0%,20.3,40.0%,19.7,24.0%,10.0%
WEST SIDE SCHOOL DISTRICT (CLEBURNE),WEST SIDE HIGH SCHOOL,48,16.8,33.3%,16.5,12.5%,17.8,18.8%,17.2,12.5%,2.1%
WOODLAWN SCHOOL DISTRICT,WOODLAWN HIGH SCHOOL,41,15.7,31.7%,16.4,14.6%,16.6,12.2%,17.1,7.3%,4.9%
CLEVELAND COUNTY SCHOOL DISTRICT,RISON HIGH SCHOOL,43,16.1,32.6%,16.9,9.3%,17.3,25.6%,17.5,14.0%,2.3%
MAGNOLIA SCHOOL DISTRICT,MAGNOLIA HIGH SCHOOL,173,16.9,41.6%,17.0,13.3%,16.9,23.7%,17.6,17.9%,9.2%
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,EMERSON HIGH SCHOOL,16,17.8,50.0%,17.4,12.5%,17.3,31.3%,16.8,18.8%,12.5%
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,BRADLEY HIGH SCHOOL,25,16.9,48.0%,17.0,8.0%,18.2,24.0%,17.5,12.0%,4.0%
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,TAYLOR HIGH SCHOOL,20,18.0,60.0%,18.4,20.0%,21.2,30.0%,20.9,25.0%,15.0%
NEMO VISTA SCHOOL DISTRICT,NEMO VISTA HIGH SCHOOL,25,13.7,24.0%,16.8,12.0%,16.1,16.0%,15.6,8.0%,0.0%
WONDERVIEW SCHOOL DISTRICT,WONDERVIEW HIGH SCHOOL,38,16.4,34.2%,15.6,2.6%,17.8,21.1%,16.8,7.9%,2.6%
SOUTH CONWAY COUNTY SCHOOL DISTRICT,MORRILTON SENIOR HIGH SCHOOL,130,16.3,36.2%,17.1,11.5%,17.6,21.5%,18.2,18.5%,8.5%
BAY SCHOOL DISTRICT,BAY HIGH SCHOOL,46,18.2,60.9%,16.2,4.3%,18.3,28.3%,17.0,8.7%,4.3%
WESTSIDE CONSOLIDATED SCHOOL DISTRICT (CRAIGHEAD),WESTSIDE HIGH SCHOOL,119,17.8,45.4%,16.7,9.2%,17.7,16.0%,18.6,15.1%,5.9%
BROOKLAND SCHOOL DISTRICT,BROOKLAND HIGH SCHOOL,157,18.0,49.0%,17.5,15.9%,18.5,28.7%,18.5,21.7%,8.9%
BUFFALO ISLAND CENTRAL SCHOOL DISTRICT,BUFFALO ISLAND CENTRAL HIGH SCHOOL,42,17.5,42.9%,16.8,9.5%,17.8,28.6%,18.5,14.3%,7.1%
JONESBORO SCHOOL DISTRICT,THE ACADEMIES AT JONESBORO HIGH SCHOOL,303,15.7,34.0%,17.4,16.8%,16.9,22.4%,17.5,16.2%,8.9%
NETTLETON SCHOOL DISTRICT,NETTLETON HIGH SCHOOL,178,17.0,43.3%,16.9,11.8%,17.5,27.0%,17.8,18.0%,7.3%
VALLEY VIEW SCHOOL DISTRICT,VALLEY VIEW HIGH SCHOOL,209,20.8,68.9%,19.5,32.1%,20.6,39.7%,21.0,34.9%,20.1%
RIVERSIDE SCHOOL DISTRICT,RIVERSIDE HIGH SCHOOL,50,17.4,42.0%,16.7,12.0%,16.4,12.0%,17.7,10.0%,4.0%
ALMA SCHOOL DISTRICT,ALMA HIGH SCHOOL,212,17.5,42.9%,17.7,16.5%,18.3,27.4%,18.1,22.6%,9.4%
CEDARVILLE SCHOOL DISTRICT,CEDARVILLE HIGH SCHOOL,51,16.1,31.4%,18.0,19.6%,17.8,27.5%,18.0,15.7%,11.8%
MOUNTAINBURG SCHOOL DISTRICT,MOUNTAINBURG HIGH SCHOOL,40,16.4,40.0%,16.4,10.0%,16.9,15.0%,17.3,15.0%,2.5%
MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,MULBERRY HIGH SCHOOL,28,17.0,32.1%,17.5,10.7%,18.4,25.0%,17.6,17.9%,3.6%
VAN BUREN SCHOOL DISTRICT,VAN BUREN HIGH SCHOOL,309,18.1,47.2%,18.4,25.2%,18.9,35.0%,19.2,26.5%,17.8%
VAN BUREN SCHOOL DISTRICT,RIVER VALLEY VIRTUAL ACADEMY,50,17.2,44.0%,17.1,12.0%,19.1,30.0%,18.1,14.0%,6.0%
EARLE SCHOOL DISTRICT,EARLE HIGH SCHOOL,32,12.4,3.1%,14.4,0.0%,13.1,0.0%,13.8,3.1%,0.0%
WEST MEMPHIS SCHOOL DISTRICT,THE ACADEMIES OF WEST MEMPHIS CHARTER SCHOOL,149,16.5,36.2%,16.3,9.4%,16.5,18.8%,16.8,14.1%,6.0%
MARION SCHOOL DISTRICT,MARION HIGH SCHOOL,211,16.8,42.7%,16.5,11.8%,16.5,19.9%,17.2,12.3%,5.7%
CROSS COUNTY SCHOOL DISTRICT,CROSS COUNTY HIGH A NEW TECH SCHOOL,30,16.2,30.0%,16.5,13.3%,18.0,33.3%,17.9,16.7%,13.3%
WYNNE SCHOOL DISTRICT,WYNNE HIGH SCHOOL,152,17.1,43.4%,17.0,13.2%,16.8,16.4%,16.8,11.8%,6.6%
FORDYCE SCHOOL DISTRICT,FORDYCE HIGH SCHOOL,45,15.6,26.7%,16.5,6.7%,16.5,17.8%,16.8,11.1%,4.4%
DUMAS SCHOOL DISTRICT,DUMAS HIGH SCHOOL,56,15.7,32.1%,16.2,5.4%,16.2,16.1%,15.9,7.1%,5.4%
MCGEHEE SCHOOL DISTRICT,MCGEHEE HIGH SCHOOL,69,15.8,29.0%,16.5,11.6%,16.7,17.4%,16.8,13.0%,5.8%
DREW CENTRAL SCHOOL DISTRICT,DREW CENTRAL HIGH SCHOOL,72,15.1,33.3%,16.1,5.6%,17.3,27.8%,16.6,9.7%,2.8%
MONTICELLO SCHOOL DISTRICT,MONTICELLO HIGH SCHOOL,95,17.1,42.1%,17.9,20.0%,18.0,27.4%,18.6,22.1%,11.6%
CONWAY SCHOOL DISTRICT,CONWAY HIGH SCHOOL,541,19.6,57.7%,19.2,30.5%,19.8,36.6%,19.8,30.5%,19.2%
GREENBRIER SCHOOL DISTRICT,GREENBRIER HIGH SCHOOL,265,20.6,68.7%,21.0,47.2%,20.4,41.5%,20.9,37.4%,27.2%
GUY-PERKINS SCHOOL DISTRICT,GUY-PERKINS HIGH SCHOOL,15,16.4,40.0%,16.6,6.7%,18.0,33.3%,19.2,33.3%,6.7%
MAYFLOWER SCHOOL DISTRICT,MAYFLOWER HIGH SCHOOL,70,15.3,31.4%,16.2,5.7%,16.2,18.6%,16.3,10.0%,1.4%
MT. VERNON-ENOLA SCHOOL DISTRICT,MT. VERNON-ENOLA HIGH SCHOOL,39,18.6,56.4%,19.1,30.8%,20.6,46.2%,20.5,38.5%,17.9%
VILONIA SCHOOL DISTRICT,VILONIA HIGH SCHOOL,250,19.1,58.4%,18.5,27.2%,20.2,42.0%,20.3,35.6%,20.0%
CHARLESTON SCHOOL DISTRICT,CHARLESTON HIGH SCHOOL,45,16.5,37.8%,18.4,22.2%,18.7,31.1%,18.9,24.4%,13.3%
COUNTY LINE SCHOOL DISTRICT,COUNTY LINE HIGH SCHOOL,20,19.0,65.0%,19.9,45.0%,20.3,45.0%,19.4,35.0%,20.0%
OZARK SCHOOL DISTRICT,OZARK JR/SR HIGH SCHOOL,78,17.5,46.2%,16.7,11.5%,16.8,19.2%,17.5,15.4%,6.4%
MAMMOTH SPRING SCHOOL DISTRICT,MAMMOTH SPRING HIGH SCHOOL,23,18.7,65.2%,17.1,0.0%,19.4,34.8%,19.0,21.7%,0.0%
SALEM SCHOOL DISTRICT,SALEM HIGH SCHOOL,50,20.0,60.0%,19.0,26.0%,20.2,42.0%,20.1,38.0%,16.0%
VIOLA SCHOOL DISTRICT,VIOLA HIGH SCHOOL,23,17.6,56.5%,17.3,13.0%,18.4,30.4%,18.7,17.4%,4.3%
CUTTER-MORNING STAR SCHOOL DISTRICT,CUTTER-MORNING STAR HIGH SCHOOL,40,15.4,35.0%,16.5,5.0%,16.1,15.0%,16.2,5.0%,5.0%
FOUNTAIN LAKE SCHOOL DISTRICT,FOUNTAIN LAKE CHARTER HIGH SCHOOL,62,18.0,50.0%,17.7,14.5%,19.0,35.5%,18.7,25.8%,8.1%
HOT SPRINGS SCHOOL DISTRICT,HOT SPRINGS WORLD CLASS HIGH SCHOOL,152,16.2,36.8%,16.2,7.9%,17.3,26.3%,17.3,15.8%,3.9%
JESSIEVILLE SCHOOL DISTRICT,JESSIEVILLE HIGH SCHOOL,53,17.9,49.1%,17.8,18.9%,18.7,34.0%,19.0,26.4%,17.0%
LAKE HAMILTON SCHOOL DISTRICT,LAKE HAMILTON HIGH SCHOOL,245,17.6,46.9%,17.8,15.1%,18.3,29.0%,18.5,24.5%,9.0%
LAKESIDE SCHOOL DISTRICT (GARLAND),LAKESIDE HIGH SCHOOL,214,18.3,50.0%,18.2,20.6%,19.6,36.4%,19.4,22.4%,14.5%
MOUNTAIN PINE SCHOOL DISTRICT,MOUNTAIN PINE HIGH SCHOOL,19,18.1,52.6%,15.7,0.0%,17.5,36.8%,18.4,21.1%,0.0%
POYEN SCHOOL DISTRICT,POYEN HIGH SCHOOL,45,18.3,51.1%,19.2,33.3%,18.8,26.7%,19.4,28.9%,17.8%
SHERIDAN SCHOOL DISTRICT,SHERIDAN HIGH SCHOOL,231,17.5,44.6%,17.6,16.5%,17.6,23.8%,19.1,22.9%,11.7%
MARMADUKE SCHOOL DISTRICT,MARMADUKE HIGH SCHOOL,35,17.5,54.3%,17.6,14.3%,17.8,20.0%,18.5,22.9%,8.6%
GREENE COUNTY TECH SCHOOL DISTRICT,GREENE COUNTY TECH HIGH SCHOOL,228,17.3,47.4%,17.7,19.3%,18.7,34.6%,19.1,25.0%,13.2%
PARAGOULD SCHOOL DISTRICT,PARAGOULD HIGH SCHOOL,159,17.8,47.2%,17.9,18.2%,18.2,27.7%,18.5,23.3%,13.8%
BLEVINS SCHOOL DISTRICT,BLEVINS HIGH SCHOOL,22,15.6,31.8%,16.1,9.1%,16.2,18.2%,17.0,4.5%,0.0%
HOPE SCHOOL DISTRICT,HOPE HIGH SCHOOL,125,15.1,28.8%,15.8,8.8%,16.0,16.0%,16.6,10.4%,5.6%
HOPE SCHOOL DISTRICT,CREATIVE ACTION TEAM SCHOOL,2,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
SPRING HILL SCHOOL DISTRICT,SPRING HILL HIGH SCHOOL,20,18.2,45.0%,16.4,10.0%,17.6,25.0%,18.4,20.0%,10.0%
BISMARCK SCHOOL DISTRICT,BISMARCK HIGH SCHOOL,62,21.3,75.8%,20.1,32.3%,21.2,46.8%,21.5,46.8%,19.4%
GLEN ROSE SCHOOL DISTRICT,GLEN ROSE HIGH SCHOOL,72,17.6,43.1%,18.3,25.0%,19.0,34.7%,19.5,25.0%,13.9%
MAGNET COVE SCHOOL DISTRICT,MAGNET COVE HIGH SCHOOL,50,18.2,50.0%,18.0,18.0%,19.0,30.0%,19.4,22.0%,8.0%
MALVERN SCHOOL DISTRICT,MALVERN HIGH SCHOOL,95,17.3,44.2%,17.2,18.9%,17.8,24.2%,18.5,15.8%,7.4%
OUACHITA SCHOOL DISTRICT,OUACHITA HIGH SCHOOL,36,17.3,38.9%,17.4,16.7%,18.1,33.3%,18.4,13.9%,8.3%
DIERKS SCHOOL DISTRICT,DIERKS HIGH SCHOOL,33,17.0,42.4%,17.0,9.1%,18.2,24.2%,17.7,18.2%,6.1%
MINERAL SPRINGS SCHOOL DISTRICT,MINERAL SPRINGS HIGH SCHOOL,15,12.3,6.7%,14.9,6.7%,14.4,13.3%,14.9,6.7%,6.7%
NASHVILLE SCHOOL DISTRICT,NASHVILLE HIGH SCHOOL,123,17.9,49.6%,17.4,18.7%,18.9,30.1%,18.8,20.3%,11.4%
BATESVILLE SCHOOL DISTRICT,BATESVILLE HIGH SCHOOL,159,18.1,50.3%,17.8,18.2%,18.8,34.0%,19.2,29.6%,13.8%
SOUTHSIDE SCHOOL DISTRICT (INDEPENDENCE),SOUTHSIDE CHARTER HIGH SCHOOL,121,18.0,48.8%,17.9,19.8%,18.0,26.4%,18.7,23.1%,9.1%
MIDLAND SCHOOL DISTRICT,MIDLAND HIGH SCHOOL,30,15.2,26.7%,15.4,0.0%,16.5,16.7%,18.2,6.7%,0.0%
CEDAR RIDGE SCHOOL DISTRICT,CEDAR RIDGE HIGH SCHOOL,53,15.1,28.3%,16.1,7.5%,16.2,13.2%,16.8,7.5%,1.9%
CALICO ROCK SCHOOL DISTRICT,CALICO ROCK HIGH SCHOOL,29,19.9,65.5%,18.4,27.6%,20.7,55.2%,20.4,37.9%,17.2%
MELBOURNE SCHOOL DISTRICT,MELBOURNE HIGH SCHOOL,51,20.8,60.8%,18.9,29.4%,20.4,45.1%,20.2,29.4%,11.8%
IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,IZARD COUNTY CONSOLIDATED HIGH SCHOOL,32,17.3,50.0%,16.6,9.4%,18.4,34.4%,17.9,12.5%,3.1%
NEWPORT SCHOOL DISTRICT,NEWPORT HIGH SCHOOL,49,16.3,36.7%,16.4,10.2%,17.2,18.4%,16.6,14.3%,4.1%
JACKSON CO. SCHOOL DISTRICT,TUCKERMAN HIGH SCHOOL,64,18.0,48.4%,17.0,10.9%,17.5,21.9%,18.1,17.2%,7.8%
DOLLARWAY SCHOOL DISTRICT,DOLLARWAY HIGH SCHOOL,48,13.3,18.8%,15.3,4.2%,14.6,6.3%,15.0,6.3%,2.1%
PINE BLUFF SCHOOL DISTRICT,PINE BLUFF HIGH SCHOOL,150,12.8,12.7%,14.6,0.7%,14.0,6.0%,14.7,2.7%,0.7%
