District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
GREEN FOREST SCHOOL DISTRICT,GREEN FOREST HIGH SCHOOL,91,13.8,22.00%,15.8,2.20%,15.5,9.90%,16.1,5.50%,0.00%,Arkansas,36.3293203,-93.4345152,800 Tommy Ratzlaff Avenue,72638,Carroll County,Green Forest,5015,"800 Tommy Ratzlaff Avenue, Green Forest, Arkansas, 72638",950502,5015950502,2021,950502,Carroll County,Arkansas,411,143,148,64,56,2941,526,451,1028,418,137,306,75,34.8,36,15.6,13.6,17.9,15.3,35,14.2,4.7,10.4,2.6,1523,39647,57173,4546,1698,37.4,2848,62.6,2567,56.5,0,0,29,0.6,41,0.9,127,2.8,0,0,84,1.8,15.8,15.5
DERMOTT SCHOOL DISTRICT,DERMOTT HIGH SCHOOL,17,12.8,17.60%,14.5,0.00%,13.7,5.90%,13.9,0.00%,0.00%,Arkansas,33.5232086,-91.4289779,525 East Speedway Street,71638,Chicot County,Dermott,5017,"525 East Speedway Street, Dermott, Arkansas, 71638",80200,5017080200,2021,80200,Chicot County,Arkansas,194,16,102,76,0,1465,100,247,565,311,75,157,10,8.2,52.6,39.2,0,6.8,16.9,38.6,21.2,5.1,10.7,0.7,912,29000,44913,2152,1,0,2151,100,545,25.3,1600,74.3,0,0,0,0,0,0,0,0,6,0.3,14.5,13.7
LAKESIDE SCHOOL DISTRICT (CHICOT),LAKESIDE HIGH SCHOOL,53,14.5,22.60%,14.7,0.00%,14.2,7.50%,15.4,7.50%,0.00%,Arkansas,33.3252057,-91.3104254,1110 South Lakeshore Drive,71653,Chicot County,Lake Village,5017,"1110 South Lakeshore Drive, Lake Village, Arkansas, 71653",80300,5017080300,2021,80300,Chicot County,Arkansas,324,52,171,101,0,1741,152,173,727,326,60,179,124,16,52.8,31.2,0,8.7,9.9,41.8,18.7,3.4,10.3,7.1,1077,39777,55817,2747,290,10.6,2457,89.4,1003,36.5,1379,50.2,0,0,36,1.3,0,0,0,0,39,1.4,14.7,14.2
ARKADELPHIA SCHOOL DISTRICT,ARKADELPHIA HIGH SCHOOL,118,16.4,39.80%,16.9,10.20%,17.5,26.30%,17.7,16.10%,10.20%,Arkansas,34.1229219,-93.0971477,401 High School Drive,71923,Clark County,Arkadelphia,5019,"401 High School Drive, Arkadelphia, Arkansas, 71923",953602,5019953602,2021,953602,Clark County,Arkansas,1905,28,155,1517,205,1718,63,110,424,290,122,320,389,1.5,8.1,79.6,10.8,3.7,6.4,24.7,16.9,7.1,18.6,22.6,1096,62027,74078,4281,193,4.5,4088,95.5,3202,74.8,696,16.3,14,0.3,62,1.4,0,0,3,0.1,111,2.6,16.9,17.5
GURDON SCHOOL DISTRICT,GURDON HIGH SCHOOL,39,15,35.90%,15.6,5.10%,15.6,15.40%,16.6,12.80%,5.10%,Arkansas,33.9082021,-93.1906511,7777 U.S. 67,71743,Clark County,Gurdon,5019,"7777 U.S. 67, Gurdon, Arkansas, 71743",953902,5019953902,2021,953902,Clark County,Arkansas,291,0,144,144,3,1989,104,81,757,575,119,296,57,0,49.5,49.5,1,5.2,4.1,38.1,28.9,6,14.9,2.9,1205,47099,53598,3184,291,9.1,2893,90.9,2080,65.3,788,24.7,7,0.2,0,0,0,0,0,0,18,0.6,15.6,15.6
CORNING SCHOOL DISTRICT,CORNING HIGH SCHOOL,34,15.9,38.20%,15.7,5.90%,17.6,23.50%,17.5,5.90%,2.90%,Arkansas,36.4186782,-90.5798737,500 Bobcat Lane,72422,Clay County,Corning,5021,"500 Bobcat Lane, Corning, Arkansas, 72422",950400,5021950400,2021,950400,Clay County,Arkansas,224,7,117,68,32,2233,163,248,862,391,169,235,165,3.1,52.2,30.4,14.3,7.3,11.1,38.6,17.5,7.6,10.5,7.4,1395,32114,48014,3137,0,0,3137,100,3069,97.8,0,0,0,0,0,0,0,0,0,0,68,2.2,15.7,17.6
PIGGOTT SCHOOL DISTRICT,PIGGOTT HIGH SCHOOL,55,15.8,32.70%,15.6,3.60%,18,30.90%,17.5,16.40%,1.80%,Arkansas,36.3814856,-90.1849826,533 East Main Street,72454,Clay County,Piggott,5021,"533 East Main Street, Piggott, Arkansas, 72454",950600,5021950600,2021,950600,Clay County,Arkansas,319,0,185,121,13,2427,61,151,1120,575,155,231,134,0,58,37.9,4.1,2.5,6.2,46.1,23.7,6.4,9.5,5.5,1567,39602,51128,3657,36,1,3621,99,3526,96.4,24,0.7,2,0.1,0,0,0,0,0,0,69,1.9,15.6,18
RECTOR SCHOOL DISTRICT,RECTOR HIGH SCHOOL,35,16,37.10%,16.9,11.40%,16.7,14.30%,17.8,8.60%,5.70%,Arkansas,36.2631972,-90.2981985,604 West 5th Street,72461,Clay County,Rector,5021,"604 West 5th Street, Rector, Arkansas, 72461",950500,5021950500,2021,950500,Clay County,Arkansas,97,28,36,33,0,1471,118,161,589,371,110,50,72,28.9,37.1,34,0,8,10.9,40,25.2,7.5,3.4,4.9,849,34506,45959,2077,9,0.4,2068,99.6,1860,89.6,0,0,0,0,0,0,0,0,0,0,208,10,16.9,16.7
CONCORD SCHOOL DISTRICT,CONCORD HIGH SCHOOL,25,16.8,36.00%,18.6,24.00%,17.6,24.00%,18.6,24.00%,16.00%,Arkansas,35.6633763,-91.8477224,10920 Heber Springs Road North,72523,Cleburne County,Concord,5023,"10920 Heber Springs Road North, Concord, Arkansas, 72523",480100,5023480100,2021,480100,Cleburne County,Arkansas,194,49,75,70,0,2933,137,183,1375,567,160,295,216,25.3,38.7,36.1,0,4.7,6.2,46.9,19.3,5.5,10.1,7.4,1719,48004,58002,3765,18,0.5,3747,99.5,3612,95.9,0,0,109,2.9,13,0.3,0,0,0,0,13,0.3,18.6,17.6
HEBER SPRINGS SCHOOL DISTRICT,HEBER SPRINGS HIGH SCHOOL,79,18.6,54.40%,19.1,27.80%,19.9,34.20%,20.1,34.20%,20.30%,Arkansas,35.4962133,-92.038822,1100 West Pine Street,72543,Cleburne County,Heber Springs,5023,"1100 West Pine Street, Heber Springs, Arkansas, 72543",480302,5023480302,2021,480302,Cleburne County,Arkansas,233,52,84,97,0,2273,24,124,793,560,376,281,115,22.3,36.1,41.6,0,1.1,5.5,34.9,24.6,16.5,12.4,5.1,1385,55502,82177,3151,55,1.7,3096,98.3,3052,96.9,11,0.3,24,0.8,0,0,0,0,0,0,9,0.3,19.1,19.9
QUITMAN SCHOOL DISTRICT,QUITMAN HIGH SCHOOL,50,19.5,62.00%,18.7,22.00%,20.3,40.00%,19.7,24.00%,10.00%,Arkansas,35.3794514,-92.222091,6275 Heber Springs Road West,72131,Cleburne County,Quitman,5023,"6275 Heber Springs Road West, Quitman, Arkansas, 72131",480502,5023480502,2021,480502,Cleburne County,Arkansas,184,44,71,45,24,2516,75,145,1088,498,169,337,204,23.9,38.6,24.5,13,3,5.8,43.2,19.8,6.7,13.4,8.1,1464,45980,68015,3272,30,0.9,3242,99.1,3047,93.1,0,0,10,0.3,11,0.3,0,0,0,0,174,5.3,18.7,20.3
WEST SIDE SCHOOL DISTRICT (CLEBURNE),WEST SIDE HIGH SCHOOL,48,16.8,33.30%,16.5,12.50%,17.8,18.80%,17.2,12.50%,2.10%,Arkansas,35.5809027,-92.1662611,7295 Greers Ferry Road,72067,Cleburne County,Greers Ferry,5023,"7295 Greers Ferry Road, Greers Ferry, Arkansas, 72067",480203,5023480203,2021,480203,Cleburne County,Arkansas,126,41,54,31,0,1577,130,142,556,370,142,140,97,32.5,42.9,24.6,0,8.2,9,35.3,23.5,9,8.9,6.2,982,49938,62587,1964,6,0.3,1958,99.7,1834,93.4,3,0.2,21,1.1,0,0,15,0.8,0,0,85,4.3,16.5,17.8
WOODLAWN SCHOOL DISTRICT,WOODLAWN HIGH SCHOOL,41,15.7,31.70%,16.4,14.60%,16.6,12.20%,17.1,7.30%,4.90%,Arkansas,33.9677884,-92.0408499,6760 U.S. 63,71665,Cleveland County,Rison,5025,"6760 U.S. 63, Rison, Arkansas, 71665",970100,5025970100,2021,970100,Cleveland County,Arkansas,285,70,114,82,19,3132,29,330,1394,746,181,319,133,24.6,40,28.8,6.7,0.9,10.5,44.5,23.8,5.8,10.2,4.2,1509,47681,61145,4243,0,0,4243,100,3604,84.9,589,13.9,21,0.5,0,0,0,0,0,0,29,0.7,16.4,16.6
CLEVELAND COUNTY SCHOOL DISTRICT,RISON HIGH SCHOOL,43,16.1,32.60%,16.9,9.30%,17.3,25.60%,17.5,14.00%,2.30%,Arkansas,33.9552496,-92.1876937,700 Main Street,71665,Cleveland County,Rison,5025,"700 Main Street, Rison, Arkansas, 71665",970100,5025970100,2021,970100,Cleveland County,Arkansas,285,70,114,82,19,3132,29,330,1394,746,181,319,133,24.6,40,28.8,6.7,0.9,10.5,44.5,23.8,5.8,10.2,4.2,1509,47681,61145,4243,0,0,4243,100,3604,84.9,589,13.9,21,0.5,0,0,0,0,0,0,29,0.7,16.9,17.3
MAGNOLIA SCHOOL DISTRICT,MAGNOLIA HIGH SCHOOL,173,16.9,41.60%,17,13.30%,16.9,23.70%,17.6,17.90%,9.20%,Arkansas,33.2793107,-93.222648,1400 High School Drive,71753,Columbia County,Magnolia,5027,"1400 High School Drive, Magnolia, Arkansas, 71753",950401,5027950401,2021,950401,Columbia County,Arkansas,1799,8,266,1500,25,1963,9,137,470,399,159,424,365,0.4,14.8,83.4,1.4,0.5,7,23.9,20.3,8.1,21.6,18.6,1159,73826,141641,4478,352,7.9,4126,92.1,3192,71.3,785,17.5,35,0.8,54,1.2,0,0,11,0.2,49,1.1,17,16.9
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,EMERSON HIGH SCHOOL,16,17.8,50.00%,17.4,12.50%,17.3,31.30%,16.8,18.80%,12.50%,Arkansas,33.0979316,-93.1976136,212 Grayson Street,71740,Columbia County,Emerson,5027,"212 Grayson Street, Emerson, Arkansas, 71740",950100,5027950100,2021,950100,Columbia County,Arkansas,601,27,396,130,48,2700,112,187,1305,467,142,342,145,4.5,65.9,21.6,8,4.1,6.9,48.3,17.3,5.3,12.7,5.4,1467,46319,77407,4445,81,1.8,4364,98.2,2838,63.8,1309,29.4,0,0,46,1,0,0,0,0,171,3.8,17.4,17.3
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,BRADLEY HIGH SCHOOL,25,16.9,48.00%,17,8.00%,18.2,24.00%,17.5,12.00%,4.00%,Arkansas,33.0825353,-93.2181477,,N/A,Columbia County,N/A,5027,,950100,5027950100,2021,950100,Columbia County,Arkansas,601,27,396,130,48,2700,112,187,1305,467,142,342,145,4.5,65.9,21.6,8,4.1,6.9,48.3,17.3,5.3,12.7,5.4,1467,46319,77407,4445,81,1.8,4364,98.2,2838,63.8,1309,29.4,0,0,46,1,0,0,0,0,171,3.8,17,18.2
EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,TAYLOR HIGH SCHOOL,20,18,60.00%,18.4,20.00%,21.2,30.00%,20.9,25.00%,15.00%,Arkansas,33.0990733,-93.4561398,506 East Pine Street,71861,Columbia County,Taylor,5027,"506 East Pine Street, Taylor, Arkansas, 71861",950302,5027950302,2021,950302,Columbia County,Arkansas,376,0,124,252,0,1951,49,127,1019,288,79,259,130,0,33,67,0,2.5,6.5,52.2,14.8,4,13.3,6.7,1101,42140,51359,2839,1,0,2838,100,2455,86.5,376,13.2,0,0,0,0,0,0,0,0,7,0.2,18.4,21.2
NEMO VISTA SCHOOL DISTRICT,NEMO VISTA HIGH SCHOOL,25,13.7,24.00%,16.8,12.00%,16.1,16.00%,15.6,8.00%,0.00%,Arkansas,35.3695343,-92.5621316,5690 Arkansas 9,72027,Conway County,Center Ridge,5029,"5690 Arkansas 9, Center Ridge, Arkansas, 72027",950100,5029950100,2021,950100,Conway County,Arkansas,288,39,79,98,72,3539,182,169,1599,609,390,454,136,13.5,27.4,34,25,5.1,4.8,45.2,17.2,11,12.8,3.8,1961,58240,70099,4665,59,1.3,4606,98.7,4249,91.1,246,5.3,24,0.5,50,1.1,0,0,0,0,37,0.8,16.8,16.1
WONDERVIEW SCHOOL DISTRICT,WONDERVIEW HIGH SCHOOL,38,16.4,34.20%,15.6,2.60%,17.8,21.10%,16.8,7.90%,2.60%,Arkansas,35.3284532,-92.73001,2436 Arkansas 95,72063,Conway County,Hattieville,5029,"2436 Arkansas 95, Hattieville, Arkansas, 72063",950200,5029950200,2021,950200,Conway County,Arkansas,135,0,60,59,16,2208,96,208,992,359,200,270,83,0,44.4,43.7,11.9,4.3,9.4,44.9,16.3,9.1,12.2,3.8,1280,51000,65183,3067,32,1,3035,99,2654,86.5,129,4.2,53,1.7,0,0,0,0,0,0,199,6.5,15.6,17.8
SOUTH CONWAY COUNTY SCHOOL DISTRICT,MORRILTON SENIOR HIGH SCHOOL,130,16.3,36.20%,17.1,11.50%,17.6,21.50%,18.2,18.50%,8.50%,Arkansas,35.1640454,-92.7340961,701 East Harding Street,72110,Conway County,Morrilton,5029,"701 East Harding Street, Morrilton, Arkansas, 72110",950300,5029950300,2021,950300,Conway County,Arkansas,583,15,322,209,37,3492,91,373,1253,693,313,651,118,2.6,55.2,35.8,6.3,2.6,10.7,35.9,19.8,9,18.6,3.4,2260,40496,68141,5366,336,6.3,5030,93.7,4080,76,704,13.1,0,0,0,0,0,0,0,0,246,4.6,17.1,17.6
BAY SCHOOL DISTRICT,BAY HIGH SCHOOL,46,18.2,60.90%,16.2,4.30%,18.3,28.30%,17,8.70%,4.30%,Arkansas,35.7470474,-90.566101,700 School Street,72411,Craighead County,Bay,5031,"700 School Street, Bay, Arkansas, 72411",900,5031000900,2021,900,Craighead County,Arkansas,375,60,188,108,19,4142,127,389,1899,735,402,387,203,16,50.1,28.8,5.1,3.1,9.4,45.8,17.7,9.7,9.3,4.9,2333,54649,65456,6004,87,1.4,5917,98.6,5513,91.8,150,2.5,4,0.1,8,0.1,0,0,0,0,242,4,16.2,18.3
WESTSIDE CONSOLIDATED SCHOOL DISTRICT (CRAIGHEAD),WESTSIDE HIGH SCHOOL,119,17.8,45.40%,16.7,9.20%,17.7,16.00%,18.6,15.10%,5.90%,Arkansas,35.8562494,-90.8026742,1630 Arkansas 91,72404,Craighead County,Jonesboro,5031,"1630 Arkansas 91, Jonesboro, Arkansas, 72404",702,5031000702,2021,702,Craighead County,Arkansas,173,20,58,92,3,2346,156,82,929,303,265,452,159,11.6,33.5,53.2,1.7,6.6,3.5,39.6,12.9,11.3,19.3,6.8,1421,36907,56368,3672,0,0,3672,100,2669,72.7,1003,27.3,0,0,0,0,0,0,0,0,0,0,16.7,17.7
BROOKLAND SCHOOL DISTRICT,BROOKLAND HIGH SCHOOL,157,18,49.00%,17.5,15.90%,18.5,28.70%,18.5,21.70%,8.90%,Arkansas,35.8921839,-90.5446912,,N/A,Craighead County,N/A,5031,,1102,5031001102,2021,1102,Craighead County,Arkansas,167,0,21,131,15,3118,411,82,1230,456,368,361,210,0,12.6,78.4,9,13.2,2.6,39.4,14.6,11.8,11.6,6.7,1752,61500,71951,4542,41,0.9,4501,99.1,4444,97.8,0,0,0,0,0,0,0,0,0,0,57,1.3,17.5,18.5
BUFFALO ISLAND CENTRAL SCHOOL DISTRICT,BUFFALO ISLAND CENTRAL HIGH SCHOOL,42,17.5,42.90%,16.8,9.50%,17.8,28.60%,18.5,14.30%,7.10%,Arkansas,35.8887051,-90.3512309,803 Drew Avenue,72447,Craighead County,Monette,5031,"803 Drew Avenue, Monette, Arkansas, 72447",1000,5031001000,2021,1000,Craighead County,Arkansas,248,31,80,135,2,2995,331,269,1296,576,140,257,126,12.5,32.3,54.4,0.8,11.1,9,43.3,19.2,4.7,8.6,4.2,1625,45168,62678,4092,186,4.5,3906,95.5,3800,92.9,11,0.3,0,0,0,0,0,0,0,0,95,2.3,16.8,17.8
JONESBORO SCHOOL DISTRICT,THE ACADEMIES AT JONESBORO HIGH SCHOOL,303,15.7,34.00%,17.4,16.80%,16.9,22.40%,17.5,16.20%,8.90%,Arkansas,35.8247342,-90.7066673,South Main Street,72401,Craighead County,Jonesboro,5031,"South Main Street, Jonesboro, Arkansas, 72401",300,5031000300,2021,300,Craighead County,Arkansas,628,124,117,292,95,5000,56,178,1257,1375,313,1010,811,19.7,18.6,46.5,15.1,1.1,3.6,25.1,27.5,6.3,20.2,16.2,2773,54340,80849,6973,369,5.3,6604,94.7,5764,82.7,605,8.7,0,0,104,1.5,0,0,0,0,131,1.9,17.4,16.9
NETTLETON SCHOOL DISTRICT,NETTLETON HIGH SCHOOL,178,17,43.30%,16.9,11.80%,17.5,27.00%,17.8,18.00%,7.30%,Arkansas,35.8123011,-90.648507,4201 Chieftan Lane,72401,Craighead County,Jonesboro,5031,"4201 Chieftan Lane, Jonesboro, Arkansas, 72401",401,5031000401,2021,401,Craighead County,Arkansas,513,49,380,69,15,4036,172,254,1640,698,292,663,317,9.6,74.1,13.5,2.9,4.3,6.3,40.6,17.3,7.2,16.4,7.9,2319,55827,60962,6106,697,11.4,5409,88.6,4073,66.7,1276,20.9,0,0,38,0.6,0,0,0,0,22,0.4,16.9,17.5
VALLEY VIEW SCHOOL DISTRICT,VALLEY VIEW HIGH SCHOOL,209,20.8,68.90%,19.5,32.10%,20.6,39.70%,21,34.90%,20.10%,Arkansas,35.7692185,-90.7391739,2116 Yarbrough Drive,72404,Craighead County,Jonesboro,5031,"2116 Yarbrough Drive, Jonesboro, Arkansas, 72404",806,5031000806,2021,806,Craighead County,Arkansas,302,44,75,130,53,2676,8,74,626,298,242,920,508,14.6,24.8,43,17.5,0.3,2.8,23.4,11.1,9,34.4,19,1443,90943,173202,3841,37,1,3804,99,3564,92.8,199,5.2,0,0,0,0,0,0,25,0.7,16,0.4,19.5,20.6
RIVERSIDE SCHOOL DISTRICT,RIVERSIDE HIGH SCHOOL,50,17.4,42.00%,16.7,12.00%,16.4,12.00%,17.7,10.00%,4.00%,Arkansas,35.820115,-90.4541316,2007 Arkansas 18,72437,Craighead County,Lake City,5031,"2007 Arkansas 18, Lake City, Arkansas, 72437",900,5031000900,2021,900,Craighead County,Arkansas,375,60,188,108,19,4142,127,389,1899,735,402,387,203,16,50.1,28.8,5.1,3.1,9.4,45.8,17.7,9.7,9.3,4.9,2333,54649,65456,6004,87,1.4,5917,98.6,5513,91.8,150,2.5,4,0.1,8,0.1,0,0,0,0,242,4,16.7,16.4
ALMA SCHOOL DISTRICT,ALMA HIGH SCHOOL,212,17.5,42.90%,17.7,16.50%,18.3,27.40%,18.1,22.60%,9.40%,Arkansas,35.4758369,-94.2191523,101 East Main Street,72921,Crawford County,Alma,5033,"101 East Main Street, Alma, Arkansas, 72921",20602,5033020602,2021,20602,Crawford County,Arkansas,769,46,321,376,26,3604,93,284,1251,970,460,399,147,6,41.7,48.9,3.4,2.6,7.9,34.7,26.9,12.8,11.1,4.1,2246,38960,64064,6805,239,3.5,6566,96.5,5874,86.3,177,2.6,192,2.8,0,0,4,0.1,0,0,319,4.7,17.7,18.3
CEDARVILLE SCHOOL DISTRICT,CEDARVILLE HIGH SCHOOL,51,16.1,31.40%,18,19.60%,17.8,27.50%,18,15.70%,11.80%,Arkansas,35.7057498,-94.356513,,N/A,Crawford County,N/A,5033,,20205,5033020205,2021,20205,Crawford County,Arkansas,189,13,135,25,16,2524,96,348,853,590,245,188,204,6.9,71.4,13.2,8.5,3.8,13.8,33.8,23.4,9.7,7.4,8.1,1205,49263,66177,3870,315,8.1,3555,91.9,3268,84.4,0,0,3,0.1,119,3.1,0,0,0,0,165,4.3,18,17.8
MOUNTAINBURG SCHOOL DISTRICT,MOUNTAINBURG HIGH SCHOOL,40,16.4,40.00%,16.4,10.00%,16.9,15.00%,17.3,15.00%,2.50%,Arkansas,35.630561,-94.1717322,129 Highway 71 Southeast,72946,Crawford County,Mountainburg,5033,"129 Highway 71 Southeast, Mountainburg, Arkansas, 72946",20101,5033020101,2021,20101,Crawford County,Arkansas,136,47,81,8,0,1733,138,156,626,390,74,311,38,34.6,59.6,5.9,0,8,9,36.1,22.5,4.3,17.9,2.2,1011,50156,70721,2343,77,3.3,2266,96.7,2141,91.4,0,0,8,0.3,0,0,0,0,0,0,117,5,16.4,16.9
MULBERRY/PLEASANT VIEW BI-COUNTY SCHOOLS,MULBERRY HIGH SCHOOL,28,17,32.10%,17.5,10.70%,18.4,25.00%,17.6,17.90%,3.60%,Arkansas,35.500534,-94.0549468,203 West 5th Street,72947,Crawford County,Mulberry,5033,"203 West 5th Street, Mulberry, Arkansas, 72947",20402,5033020402,2021,20402,Crawford County,Arkansas,368,31,189,134,14,3094,199,376,1220,651,203,321,124,8.4,51.4,36.4,3.8,6.4,12.2,39.4,21,6.6,10.4,4,1733,46893,65317,4467,389,8.7,4078,91.3,3742,83.8,47,1.1,123,2.8,0,0,13,0.3,0,0,153,3.4,17.5,18.4
VAN BUREN SCHOOL DISTRICT,VAN BUREN HIGH SCHOOL,309,18.1,47.20%,18.4,25.20%,18.9,35.00%,19.2,26.50%,17.80%,Arkansas,35.459183,-94.3371879,Pointer Trail,72956,Crawford County,Van Buren,5033,"Pointer Trail, Van Buren, Arkansas, 72956",20301,5033020301,2021,20301,Crawford County,Arkansas,212,8,105,62,37,2984,108,160,971,760,311,458,216,3.8,49.5,29.2,17.5,3.6,5.4,32.5,25.5,10.4,15.3,7.2,1658,54912,63623,4248,507,11.9,3741,88.1,3338,78.6,86,2,23,0.5,117,2.8,0,0,0,0,177,4.2,18.4,18.9
VAN BUREN SCHOOL DISTRICT,RIVER VALLEY VIRTUAL ACADEMY,50,17.2,44.00%,17.1,12.00%,19.1,30.00%,18.1,14.00%,6.00%,Arkansas,35.4761483,-94.3580803,60 Northridge Drive,72956,Crawford County,Van Buren,5033,"60 Northridge Drive, Van Buren, Arkansas, 72956",20208,5033020208,2021,20208,Crawford County,Arkansas,193,21,89,83,0,2605,108,222,719,742,319,382,113,10.9,46.1,43,0,4.1,8.5,27.6,28.5,12.2,14.7,4.3,1519,52188,61083,3501,10,0.3,3491,99.7,3189,91.1,109,3.1,0,0,0,0,0,0,0,0,193,5.5,17.1,19.1
EARLE SCHOOL DISTRICT,EARLE HIGH SCHOOL,32,12.4,3.10%,14.4,0.00%,13.1,0.00%,13.8,3.10%,0.00%,Arkansas,35.2770661,-90.4487883,16432 U.S. 64,72331,Crittenden County,Earle,5035,"16432 U.S. 64, Earle, Arkansas, 72331",31100,5035031100,2021,31100,Crittenden County,Arkansas,146,32,59,55,0,1342,100,285,636,143,67,108,3,21.9,40.4,37.7,0,7.5,21.2,47.4,10.7,5,8,0.2,764,38984,45369,2039,6,0.3,2033,99.7,368,18,1479,72.5,0,0,0,0,0,0,0,0,186,9.1,14.4,13.1
WEST MEMPHIS SCHOOL DISTRICT,THE ACADEMIES OF WEST MEMPHIS CHARTER SCHOOL,149,16.5,36.20%,16.3,9.40%,16.5,18.80%,16.8,14.10%,6.00%,Arkansas,35.1476676,-90.1991158,500W West Broadway,72301,Crittenden County,West Memphis,5035,"500W West Broadway, West Memphis, Arkansas, 72301",30301,5035030301,2021,30301,Crittenden County,Arkansas,288,0,135,146,7,1751,96,76,752,450,122,160,95,0,46.9,50.7,2.4,5.5,4.3,42.9,25.7,7,9.1,5.4,987,41310,55830,2666,35,1.3,2631,98.7,606,22.7,1992,74.7,10,0.4,6,0.2,0,0,0,0,17,0.6,16.3,16.5
MARION SCHOOL DISTRICT,MARION HIGH SCHOOL,211,16.8,42.70%,16.5,11.80%,16.5,19.90%,17.2,12.30%,5.70%,Arkansas,35.1951097,-90.1965686,1 Patriot Drive,72364,Crittenden County,Marion,5035,"1 Patriot Drive, Marion, Arkansas, 72364",30804,5035030804,2021,30804,Crittenden County,Arkansas,351,43,116,173,19,2736,125,148,744,892,227,322,278,12.3,33,49.3,5.4,4.6,5.4,27.2,32.6,8.3,11.8,10.2,1686,72115,76294,4559,272,6,4287,94,1751,38.4,2224,48.8,9,0.2,99,2.2,0,0,0,0,204,4.5,16.5,16.5
CROSS COUNTY SCHOOL DISTRICT,CROSS COUNTY HIGH A NEW TECH SCHOOL,30,16.2,30.00%,16.5,13.30%,18,33.30%,17.9,16.70%,13.30%,Arkansas,35.3440467,-90.7913227,,N/A,Cross County,N/A,5037,,950200,5037950200,2021,950200,Cross County,Arkansas,203,63,59,74,7,2366,118,241,1085,535,123,234,30,31,29.1,36.5,3.4,5,10.2,45.9,22.6,5.2,9.9,1.3,1250,48571,68290,3177,20,0.6,3157,99.4,2682,84.4,65,2,0,0,0,0,0,0,0,0,410,12.9,16.5,18
WYNNE SCHOOL DISTRICT,WYNNE HIGH SCHOOL,152,17.1,43.40%,17,13.20%,16.8,16.40%,16.8,11.80%,6.60%,Arkansas,35.2291689,-90.7832421,800 East Jackson Avenue,72396,Cross County,Wynne,5037,"800 East Jackson Avenue, Wynne, Arkansas, 72396",950600,5037950600,2021,950600,Cross County,Arkansas,289,37,116,136,0,2886,279,187,903,594,280,394,249,12.8,40.1,47.1,0,9.7,6.5,31.3,20.6,9.7,13.7,8.6,1623,61307,84413,4143,10,0.2,4133,99.8,3506,84.6,454,11,0,0,0,0,0,0,0,0,173,4.2,17,16.8
FORDYCE SCHOOL DISTRICT,FORDYCE HIGH SCHOOL,45,15.6,26.70%,16.5,6.70%,16.5,17.80%,16.8,11.10%,4.40%,Arkansas,33.8194791,-92.4339971,100 Redbug Blvd,71742,Dallas County,Fordyce,5039,"100 Redbug Blvd, Fordyce, Arkansas, 71742",970300,5039970300,2021,970300,Dallas County,Arkansas,430,109,212,109,0,2216,108,147,871,731,151,156,52,25.3,49.3,25.3,0,4.9,6.6,39.3,33,6.8,7,2.3,1138,28182,44754,3714,46,1.2,3668,98.8,1384,37.3,2177,58.6,38,1,0,0,0,0,0,0,69,1.9,16.5,16.5
