District Name,School Name,N,English Avg,English % Met,Math Avg,Math % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
GENTRY SCHOOL DISTRICT,GENTRY HIGH SCHOOL CONVERSION CHARTER,72,18.3,47.20%,18.8,26.40%,19.1,33.30%,19.4,29.20%,15.30%,Arkansas,36.2575301,-94.4947558,1155 Pioneer Lane,72734,Benton County,Gentry,5007,"1155 Pioneer Lane, Gentry, Arkansas, 72734",21004,5007021004,2021,21004,Benton County,Arkansas,565,160,193,203,9,2700,49,94,871,746,224,636,80,28.3,34.2,35.9,1.6,1.8,3.5,32.3,27.6,8.3,23.6,3,1493,65382,74297,3950,549,13.9,3401,86.1,3009,76.2,16,0.4,72,1.8,22,0.6,0,0,0,0,282,7.1,18.8,19.1
GRAVETTE SCHOOL DISTRICT,GRAVETTE HIGH SCHOOL,121,18.7,51.20%,19,27.30%,18.8,28.90%,19.9,32.20%,18.20%,Arkansas,36.4208184,-94.4351717,325 Lion Drive South,72736,Benton County,Gravette,5007,"325 Lion Drive South, Gravette, Arkansas, 72736",20905,5007020905,2021,20905,Benton County,Arkansas,160,0,61,99,0,1994,82,117,933,371,49,265,177,0,38.1,61.9,0,4.1,5.9,46.8,18.6,2.5,13.3,8.9,1044,63784,81754,2902,21,0.7,2881,99.3,2757,95,11,0.4,6,0.2,0,0,0,0,10,0.3,97,3.3,19,18.8
ROGERS SCHOOL DISTRICT,ROGERS HIGH SCHOOL,447,18.6,53.50%,18.1,20.60%,18.5,30.90%,19.1,24.20%,14.30%,Arkansas,36.299969,-94.1467358,2300 South Dixieland Road,72758,Benton County,Rogers,5007,"2300 South Dixieland Road, Rogers, Arkansas, 72758",20405,5007020405,2021,20405,Benton County,Arkansas,560,12,34,336,178,3049,0,67,576,437,255,912,802,2.1,6.1,60,31.8,0,2.2,18.9,14.3,8.4,29.9,26.3,1877,106972,137972,4694,557,11.9,4137,88.1,3462,73.8,37,0.8,0,0,538,11.5,0,0,0,0,100,2.1,18.1,18.5
ROGERS SCHOOL DISTRICT,ROGERS HERITAGE HIGH SCHOOL,485,16.8,39.60%,17.3,15.90%,17.5,24.10%,17.9,17.70%,9.10%,Arkansas,36.3237956,-94.1230579,1114 South 5th Street,72756,Benton County,Rogers,5007,"1114 South 5th Street, Rogers, Arkansas, 72756",20206,5007020206,2021,20206,Benton County,Arkansas,853,87,493,199,74,4267,923,680,1360,477,194,542,91,10.2,57.8,23.3,8.7,21.6,15.9,31.9,11.2,4.5,12.7,2.1,2226,60489,67266,7694,4958,64.4,2736,35.6,1789,23.3,137,1.8,20,0.3,186,2.4,283,3.7,235,3.1,86,1.1,17.3,17.5
ROGERS SCHOOL DISTRICT,ROGERS NEW TECHNOLOGY HIGH SCHOOL,139,18.2,50.40%,17.6,18.70%,19.4,33.80%,19.3,24.50%,12.90%,Arkansas,36.3016266,-94.1192513,2922 South 1st Street,72758,Benton County,Rogers,5007,"2922 South 1st Street, Rogers, Arkansas, 72758",20206,5007020206,2021,20206,Benton County,Arkansas,853,87,493,199,74,4267,923,680,1360,477,194,542,91,10.2,57.8,23.3,8.7,21.6,15.9,31.9,11.2,4.5,12.7,2.1,2226,60489,67266,7694,4958,64.4,2736,35.6,1789,23.3,137,1.8,20,0.3,186,2.4,283,3.7,235,3.1,86,1.1,17.6,19.4
SILOAM SPRINGS SCHOOL DISTRICT,SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,279,16.7,37.60%,18.8,24.40%,18.3,26.90%,19,24.40%,16.50%,Arkansas,36.1909275,-94.5138466,700 North Progress Avenue,72761,Benton County,Siloam Springs,5007,"700 North Progress Avenue, Siloam Springs, Arkansas, 72761",21101,5007021101,2021,21101,Benton County,Arkansas,332,9,173,92,58,3244,315,247,1076,632,266,535,173,2.7,52.1,27.7,17.5,9.7,7.6,33.2,19.5,8.2,16.5,5.3,1773,60226,68398,4702,1068,22.7,3634,77.3,2471,52.6,10,0.2,567,12.1,256,5.4,49,1,0,0,281,6,18.8,18.3
PEA RIDGE SCHOOL DISTRICT,PEA RIDGE HIGH SCHOOL,146,16.7,39.70%,17.1,15.10%,17.8,26.00%,18.3,19.90%,7.50%,Arkansas,36.4566192,-94.135008,1925 West Pickens Road,72751,Benton County,Pea Ridge,5007,"1925 West Pickens Road, Pea Ridge, Arkansas, 72751",20103,5007020103,2021,20103,Benton County,Arkansas,373,30,99,244,0,2964,100,209,1296,637,258,319,145,8,26.5,65.4,0,3.4,7.1,43.7,21.5,8.7,10.8,4.9,1568,70114,85015,4471,415,9.3,4056,90.7,3327,74.4,314,7,21,0.5,60,1.3,21,0.5,0,0,313,7,17.1,17.8
ARKANSAS ARTS ACADEMY,ARKANSAS ARTS ACADEMY HIGH SCHOOL,60,20.4,65.00%,18.7,23.30%,22,48.30%,19.6,28.30%,13.30%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2021,71001,White County,Arkansas,82,6,76,0,0,2769,24,167,1384,429,153,495,117,7.3,92.7,0,0,0.9,6,50,15.5,5.5,17.9,4.2,1374,53520,85378,3407,125,3.7,3282,96.3,3073,90.2,50,1.5,32,0.9,0,0,0,0,0,0,127,3.7,18.7,22
RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,NORTHWEST ARKANSAS CLASSICAL ACADEMY HIGH,20,22.4,80.00%,21.5,45.00%,22.8,45.00%,22.1,40.00%,35.00%,Arkansas,36.0148605,-94.2333355,,N/A,Washington County,N/A,5143,,11006,5143011006,2021,11006,Washington County,Arkansas,440,144,136,144,16,3921,42,174,1224,1002,257,884,338,32.7,30.9,32.7,3.6,1.1,4.4,31.2,25.6,6.6,22.5,8.6,2173,69013,84469,6003,16,0.3,5987,99.7,5382,89.7,79,1.3,72,1.2,77,1.3,0,0,0,0,377,6.3,21.5,22.8
RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,WEST LITTLE ROCK CLASSICAL ACADEMY,28,17,53.60%,16.3,10.70%,17.5,28.60%,17.1,17.90%,7.10%,Arkansas,36.0148605,-94.2333355,,N/A,Washington County,N/A,5143,,11006,5143011006,2021,11006,Washington County,Arkansas,440,144,136,144,16,3921,42,174,1224,1002,257,884,338,32.7,30.9,32.7,3.6,1.1,4.4,31.2,25.6,6.6,22.5,8.6,2173,69013,84469,6003,16,0.3,5987,99.7,5382,89.7,79,1.3,72,1.2,77,1.3,0,0,0,0,377,6.3,16.3,17.5
ARKANSAS CONNECTIONS ACADEMY,ARKANSAS CONNECTIONS ACADEMY HIGH,116,17.5,45.70%,16.8,15.50%,19.1,31.00%,18.6,18.10%,10.30%,Arkansas,36.383142,-94.170508,1009 Beau Terre Drive,72712,Benton County,Bentonville,5007,"1009 Beau Terre Drive, Bentonville, Arkansas, 72712",20102,5007020102,2021,20102,Benton County,Arkansas,197,48,28,103,18,4829,131,234,1719,803,381,1201,360,24.4,14.2,52.3,9.1,2.7,4.8,35.6,16.6,7.9,24.9,7.5,2524,94533,116687,7292,580,8,6712,92,5386,73.9,159,2.2,47,0.6,165,2.3,0,0,370,5.1,585,8,16.8,19.1
ALPENA SCHOOL DISTRICT,ALPENA HIGH SCHOOL,27,18.3,48.10%,18.4,18.50%,19.6,37.00%,19.1,29.60%,11.10%,Arkansas,36.2916191,-93.2950719,300 South Denver Street,72611,Boone County,Alpena,5009,"300 South Denver Street, Alpena, Arkansas, 72611",790400,5009790400,2021,790400,Boone County,Arkansas,461,85,147,108,121,4525,155,268,1690,1075,364,695,278,18.4,31.9,23.4,26.2,3.4,5.9,37.3,23.8,8,15.4,6.1,2420,54599,74801,5910,160,2.7,5750,97.3,5546,93.8,6,0.1,16,0.3,44,0.7,0,0,0,0,138,2.3,18.4,19.6
BERGMAN SCHOOL DISTRICT,BERGMAN HIGH SCHOOL,80,18.1,51.30%,17.9,16.30%,18.5,28.80%,18.5,20.00%,8.80%,Arkansas,36.3137275,-93.0172222,8949 Arkansas 7,72601,Boone County,Harrison,5009,"8949 Arkansas 7, Harrison, Arkansas, 72601",790400,5009790400,2021,790400,Boone County,Arkansas,461,85,147,108,121,4525,155,268,1690,1075,364,695,278,18.4,31.9,23.4,26.2,3.4,5.9,37.3,23.8,8,15.4,6.1,2420,54599,74801,5910,160,2.7,5750,97.3,5546,93.8,6,0.1,16,0.3,44,0.7,0,0,0,0,138,2.3,17.9,18.5
HARRISON SCHOOL DISTRICT,HARRISON HIGH SCHOOL CONVERSION CHARTER,195,19.5,57.40%,19.1,29.20%,19.8,35.90%,19,25.60%,13.80%,Arkansas,36.2394152,-93.1333448,925 Goblin Drive,72601,Boone County,Harrison,5009,"925 Goblin Drive, Harrison, Arkansas, 72601",790501,5009790501,2021,790501,Boone County,Arkansas,332,122,114,80,16,3109,108,235,1033,774,289,442,228,36.7,34.3,24.1,4.8,3.5,7.6,33.2,24.9,9.3,14.2,7.3,1858,47500,62897,4468,30,0.7,4438,99.3,4282,95.8,7,0.2,0,0,45,1,0,0,0,0,104,2.3,19.1,19.8
OMAHA SCHOOL DISTRICT,OMAHA HIGH SCHOOL,29,19.1,62.10%,17.9,20.70%,19.9,41.40%,19.7,31.00%,13.80%,Arkansas,36.4484634,-93.1959457,522 College Road West,72662,Boone County,Omaha,5009,"522 College Road West, Omaha, Arkansas, 72662",790100,5009790100,2021,790100,Boone County,Arkansas,627,55,322,250,0,4236,228,341,1325,1174,337,588,243,8.8,51.4,39.9,0,5.4,8.1,31.3,27.7,8,13.9,5.7,2373,56199,71192,6392,177,2.8,6215,97.2,6015,94.1,37,0.6,23,0.4,41,0.6,0,0,0,0,99,1.5,17.9,19.9
VALLEY SPRINGS SCHOOL DISTRICT,VALLEY SPRINGS HIGH SCHOOL,62,19.1,56.50%,18.3,17.70%,19.5,33.90%,20,27.40%,11.30%,Arkansas,36.1595918,-93.0375914,,N/A,Boone County,N/A,5009,,790300,5009790300,2021,790300,Boone County,Arkansas,322,41,124,144,13,3732,126,234,1332,1031,479,326,204,12.7,38.5,44.7,4,3.4,6.3,35.7,27.6,12.8,8.7,5.5,2063,54412,67685,5461,85,1.6,5376,98.4,5228,95.7,4,0.1,48,0.9,0,0,0,0,26,0.5,70,1.3,18.3,19.5
LEAD HILL SCHOOL DISTRICT,LEAD HILL HIGH SCHOOL,18,14.9,33.30%,15.7,5.60%,16.4,5.60%,18.2,22.20%,0.00%,Arkansas,36.4050121,-92.9089864,6967 Milum Road,72644,Boone County,Lead Hill,5009,"6967 Milum Road, Lead Hill, Arkansas, 72644",790200,5009790200,2021,790200,Boone County,Arkansas,359,100,80,174,5,4476,132,299,1542,1368,680,321,134,27.9,22.3,48.5,1.4,2.9,6.7,34.5,30.6,15.2,7.2,3,2548,46786,60215,6286,140,2.2,6146,97.8,5783,92,38,0.6,35,0.6,57,0.9,0,0,5,0.1,228,3.6,15.7,16.4
HERMITAGE SCHOOL DISTRICT,HERMITAGE HIGH SCHOOL,33,15.9,36.40%,16.8,12.10%,17.2,24.20%,17.7,21.20%,6.10%,Arkansas,33.4519677,-92.1703737,,71647,Bradley County,Hermitage,5011,,950500,5011950500,2021,950500,Bradley County,Arkansas,226,141,75,10,0,1574,106,146,749,287,138,90,58,62.4,33.2,4.4,0,6.7,9.3,47.6,18.2,8.8,5.7,3.7,922,41103,57807,2489,321,12.9,2168,87.1,1688,67.8,432,17.4,0,0,0,0,0,0,31,1.2,17,0.7,16.8,17.2
WARREN SCHOOL DISTRICT,WARREN HIGH SCHOOL,103,13.4,18.40%,15.7,2.90%,15.8,15.50%,16,7.80%,0.00%,Arkansas,33.625611,-92.0661035,800 North Walnut Street,71671,Bradley County,Warren,5011,"800 North Walnut Street, Warren, Arkansas, 71671",950100,5011950100,2021,950100,Bradley County,Arkansas,165,10,58,66,31,1916,54,93,897,449,170,146,107,6.1,35.2,40,18.8,2.8,4.9,46.8,23.4,8.9,7.6,5.6,856,46731,63367,2818,581,20.6,2237,79.4,1732,61.5,505,17.9,0,0,0,0,0,0,0,0,0,0,15.7,15.8
HAMPTON SCHOOL DISTRICT,HAMPTON HIGH SCHOOL,27,16.5,40.70%,15.7,3.70%,17.9,22.20%,17.1,7.40%,3.70%,Arkansas,33.5367924,-92.4638249,419 Main,71744,Calhoun County,Hampton,5013,"419 Main, Hampton, Arkansas, 71744",480100,5013480100,2021,480100,Calhoun County,Arkansas,240,0,59,168,13,1803,47,287,815,373,90,82,109,0,24.6,70,5.4,2.6,15.9,45.2,20.7,5,4.5,6,789,54727,63077,2475,11,0.4,2464,99.6,1753,70.8,675,27.3,0,0,0,0,0,0,7,0.3,29,1.2,15.7,17.9
BERRYVILLE SCHOOL DISTRICT,BERRYVILLE HIGH SCHOOL,119,18,48.70%,17.1,17.60%,18.6,26.10%,19.2,21.00%,10.10%,Arkansas,36.3699834,-93.5773979,602 West College Avenue,72616,Carroll County,Berryville,5015,"602 West College Avenue, Berryville, Arkansas, 72616",950301,5015950301,2021,950301,Carroll County,Arkansas,345,184,125,36,0,2437,557,83,603,557,128,324,185,53.3,36.2,10.4,0,22.9,3.4,24.7,22.9,5.3,13.3,7.6,1456,58308,81375,3623,1452,40.1,2171,59.9,2011,55.5,0,0,0,0,0,0,0,0,0,0,160,4.4,17.1,18.6
EUREKA SPRINGS SCHOOL DISTRICT,EUREKA SPRINGS HIGH SCHOOL,42,18,42.90%,18.1,21.40%,18.9,33.30%,19.5,28.60%,11.90%,Arkansas,36.3812141,-93.7346801,2 Lake Lucerne Road,72632,Carroll County,Eureka Springs,5015,"2 Lake Lucerne Road, Eureka Springs, Arkansas, 72632",950100,5015950100,2021,950100,Carroll County,Arkansas,129,8,37,72,12,2236,24,128,620,556,166,566,176,6.2,28.7,55.8,9.3,1.1,5.7,27.7,24.9,7.4,25.3,7.9,1300,43947,60364,2810,151,5.4,2659,94.6,2478,88.2,0,0,66,2.3,21,0.7,0,0,2,0.1,92,3.3,18.1,18.9
