,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
271,VAN BUREN HIGH SCHOOL,10-12,VAN BUREN SCHOOL DISTRICT,25%,52%,33%,28%,16%,1139,44%,66%,19%,2%,13%,34%,1,390,363,93%,18.1,18.4,18.9,19.3,0,CRAWFORD,1705027,1705000,2021
272,VILONIA HIGH SCHOOL,9-12,VILONIA SCHOOL DISTRICT,24%,55%,37%,28%,16%,946,29%,94%,4%,1%,1%,6%,3,229,217,95%,18.7,19.1,19.6,19.9,0,FAULKNER,2307034,2307000,2021
273,VIOLA HIGH SCHOOL,7-12,VIOLA SCHOOL DISTRICT,13%,38%,25%,21%,8%,178,66%,95%,2%,1%,3%,5%,2,26,24,92%,17.6,16.5,17.8,17.8,0,FULTON,2503010,2503000,2021
274,WALDRON HIGH SCHOOL,9-12,WALDRON SCHOOL DISTRICT,12%,38%,27%,23%,12%,444,69%,77%,15%,1%,7%,23%,1,112,103,92%,16.9,16.5,18.3,18.3,0,SCOTT,6401003,6401000,2021
275,WALNUT RIDGE HIGH SCHOOL,7-12,LAWRENCE COUNTY SCHOOL DISTRICT,14%,62%,24%,18%,8%,462,56%,89%,3%,0%,7%,11%,2,81,66,81%,17,19.4,18.9,18.8,0,LAWRENCE,3810027,3810000,2021
276,WARREN HIGH SCHOOL,9-12,WARREN SCHOOL DISTRICT,1%,24%,8%,3%,0%,472,69%,40%,25%,32%,3%,60%,5,119,107,90%,15,14.5,14.4,15.4,0,BRADLEY,602019,602000,2021
277,WATSON CHAPEL HIGH SCHOOL,10-12,WATSON CHAPEL SCHOOL DISTRICT,2%,19%,11%,5%,1%,488,65%,10%,2%,86%,2%,90%,3,163,154,94%,14.7,14,15.3,15.6,0,JEFFERSON,3509067,3509000,2021
278,WEST FORK HIGH SCHOOL,9-12,WEST FORK SCHOOL DISTRICT,7%,56%,34%,21%,5%,308,43%,86%,5%,0%,9%,14%,1,66,61,92%,16.5,18.3,19.1,18.2,0,WASHINGTON,7208062,7208000,2021
279,WEST LITTLE ROCK CLASSICAL ACADEMY,6-12,RESPONSIVE ED SOLUTIONS NORTHWEST ARKANSAS CLASSIC,N<10,N<10,N<10,N<10,N<10,107,35%,50%,5%,36%,9%,50%,1,12,N<10,N/A,N<10,N<10,N<10,N<10,1,BENTON,442706,442700,2021
280,WEST SIDE HIGH SCHOOL,7-12,WEST SIDE SCHOOL DISTRICT (CLEBURNE),24%,67%,67%,33%,19%,245,65%,98%,1%,0%,0%,2%,2,27,21,78%,18.5,19.1,22.8,20.6,0,CLEBURNE,1204015,1204000,2021
281,WESTERN GROVE K-12 SCHOOL,K-12,OZARK MOUNTAIN SCHOOL DISTRICT,0%,41%,29%,12%,0%,247,68%,92%,3%,1%,4%,8%,1,19,17,89%,16.4,16.6,19.4,18.4,0,SEARCY,6505016,6505000,2021
282,WESTERN YELL COUNTY HIGH SCHOOL,7-12,WESTERN YELL COUNTY SCHOOL DISTRICT,4%,17%,4%,0%,0%,175,88%,73%,19%,1%,7%,27%,1,26,24,92%,15.5,14.5,15,16,0,YELL,7509033,7509000,2021
283,WESTSIDE HIGH SCHOOL,8-12,WESTSIDE CONSOLIDATED SCHOOL DISTRICT (CRAIGHEAD),5%,42%,22%,15%,1%,662,45%,93%,3%,2%,2%,7%,2,102,92,90%,16.2,16.4,17.8,18.1,0,CRAIGHEAD,1602055,1602000,2021
284,WESTSIDE HIGH SCHOOL,6-12,WESTSIDE SCHOOL DISTRICT (JOHNSON),3%,13%,11%,5%,0%,348,67%,91%,5%,0%,3%,9%,1,40,38,95%,15.2,13.2,15.6,15.5,0,JOHNSON,3606026,3606000,2021
285,WHITE COUNTY CENTRAL HIGH SCHOOL,7-12,WHITE COUNTY CENTRAL SCHOOL DISTRICT,20%,38%,29%,20%,9%,369,56%,86%,10%,1%,4%,14%,2,51,45,88%,17.3,16.9,18.5,19.1,0,WHITE,7304019,7304000,2021
286,WHITE HALL HIGH SCHOOL,9-12,WHITE HALL SCHOOL DISTRICT,20%,39%,27%,23%,13%,948,45%,61%,3%,31%,5%,39%,3,215,201,93%,17.5,16.7,17.9,18.3,0,JEFFERSON,3510076,3510000,2021
287,WONDERVIEW HIGH SCHOOL,7-12,WONDERVIEW SCHOOL DISTRICT,10%,36%,32%,10%,7%,208,54%,96%,2%,1%,1%,4%,6,32,31,97%,16.3,16.9,18.4,17.6,0,CONWAY,1505026,1505000,2021
288,WOODLAWN HIGH SCHOOL,7-12,WOODLAWN SCHOOL DISTRICT,10%,57%,31%,17%,10%,283,45%,89%,5%,3%,3%,11%,5,39,42,108%,17.4,18.4,18.9,19.6,0,CLEVELAND,1304015,1304000,2021
289,WYNNE HIGH SCHOOL,9-12,WYNNE SCHOOL DISTRICT,19%,48%,30%,22%,15%,769,53%,64%,3%,30%,3%,36%,2,195,170,87%,17.2,18.3,18.1,18.9,0,CROSS,1905017,1905000,2021
290,YELLVILLE-SUMMIT HIGH SCHOOL,7-12,YELLVILLE-SUMMIT SCHOOL DISTRICT,25%,50%,25%,32%,14%,450,72%,95%,1%,1%,3%,5%,1,66,56,85%,17.3,18.6,18.2,19.1,0,MARION,4502006,4502000,2021
