,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
45,CALICO ROCK HIGH SCHOOL,7-12,CALICO ROCK SCHOOL DISTRICT,11%,37%,30%,22%,11%,180,62%,97%,2%,0%,1%,3%,2,28,27,96%,17.2,17.1,19.4,18.7,0,IZARD,3301002,3301000,2021
46,CAMDEN FAIRVIEW HIGH SCHOOL,9-12,CAMDEN FAIRVIEW SCHOOL DISTRICT,3%,26%,15%,13%,3%,689,71%,29%,3%,63%,5%,71%,4,155,145,94%,15.3,14.5,16,16.3,0,OUACHITA,5204023,5204000,2021
47,CARLISLE HIGH SCHOOL,7-12,CARLISLE SCHOOL DISTRICT,8%,37%,22%,14%,6%,288,63%,81%,5%,10%,4%,19%,3,51,49,96%,16.4,15.8,17,18,0,LONOKE,4303013,4303000,2021
48,CAVE CITY HIGH CAREER & COLLEGIATE PREPARATORY SCH,9-12,CAVE CITY SCHOOL DISTRICT,24%,50%,26%,22%,12%,409,76%,95%,3%,1%,1%,5%,2,107,82,77%,18.2,18.4,18.7,19.4,0,SHARP,6802703,6802000,2021
49,CEDAR RIDGE HIGH SCHOOL,6-12,CEDAR RIDGE SCHOOL DISTRICT,13%,30%,23%,15%,10%,365,67%,92%,7%,1%,1%,8%,2,48,40,83%,16.8,16,17.8,17.5,0,INDEPENDENCE,3212027,3212000,2021
50,CEDARVILLE HIGH SCHOOL,9-12,CEDARVILLE SCHOOL DISTRICT,15%,46%,27%,17%,6%,253,68%,82%,4%,0%,14%,18%,1,58,48,83%,17.1,16.5,17.6,17.5,0,CRAWFORD,1702009,1702000,2021
51,CENTERPOINT ACADEMY OF AGRICULTURE & SKILLED TRADE,11-12,CENTERPOINT SCHOOL DISTRICT,0%,13%,19%,0%,0%,28,57%,96%,4%,0%,0%,4%,4,18,16,89%,14.1,12.6,13.9,14.4,0,PIKE,5502703,5502000,2021
52,CENTRAL HIGH SCHOOL,7-12,HELENA/ WEST HELENA SCHOOL DISTRICT,4%,18%,11%,6%,0%,524,96%,3%,1%,96%,1%,97%,5,94,73,78%,14.8,13.7,15.4,16.3,0,PHILLIPS,5403019,5403000,2021
53,CENTRAL HIGH SCHOOL,9-12,LITTLE ROCK SCHOOL DISTRICT,31%,54%,42%,36%,26%,2506,49%,30%,7%,53%,10%,70%,3,530,414,78%,19.3,19.3,20.1,20,0,PULASKI,6001001,6001000,2021
54,CHARLESTON HIGH SCHOOL,7-12,CHARLESTON SCHOOL DISTRICT,31%,69%,33%,31%,18%,449,44%,90%,4%,1%,5%,10%,1,70,45,64%,19.9,20.8,19.6,20.8,0,FRANKLIN,2402007,2402000,2021
55,CLARENDON HIGH SCHOOL,7-12,CLARENDON SCHOOL DISTRICT,6%,32%,12%,6%,0%,194,91%,28%,6%,57%,9%,72%,5,37,34,92%,16,15.6,16.5,15.9,0,MONROE,4802010,4802000,2021
56,CLARKSVILLE HIGH SCHOOL,10-12,CLARKSVILLE SCHOOL DISTRICT,11%,48%,27%,20%,7%,565,63%,52%,35%,1%,11%,48%,1,185,146,79%,17,17.6,18.8,18.7,0,JOHNSON,3601005,3601000,2021
57,CLINTON HIGH SCHOOL,9-12,CLINTON SCHOOL DISTRICT,29%,52%,31%,30%,15%,404,62%,94%,3%,0%,3%,6%,1,109,91,83%,18.4,18,19.4,20.1,0,VAN BUREN,7102006,7102000,2021
58,CONCORD HIGH SCHOOL,7-12,CONCORD SCHOOL DISTRICT,13%,27%,20%,13%,7%,188,65%,97%,3%,0%,1%,3%,2,24,15,63%,17.7,16.1,18.5,18.6,0,CLEBURNE,1201002,1201000,2021
59,CONWAY HIGH SCHOOL,10-12,CONWAY SCHOOL DISTRICT,29%,52%,35%,31%,20%,2133,36%,55%,11%,28%,6%,45%,3,735,635,86%,18.9,19.3,19.7,19.9,0,FAULKNER,2301006,2301000,2021
60,CORNING HIGH SCHOOL,9-12,CORNING SCHOOL DISTRICT,4%,50%,25%,19%,4%,249,72%,96%,3%,1%,0%,4%,2,76,48,63%,16.1,17.9,18.4,18.4,0,CLAY,1101004,1101000,2021
61,COSSATOT RIVER HIGH SCHOOL,7-12,COSSATOT RIVER SCHOOL DISTRICT,8%,45%,19%,9%,2%,388,72%,62%,30%,0%,9%,38%,4,60,53,88%,16.7,16.3,17.8,17.8,0,POLK,5707023,5707000,2021
62,COTTER HIGH SCHOOL,7-12,COTTER SCHOOL DISTRICT,16%,41%,27%,18%,11%,361,66%,96%,2%,0%,2%,4%,1,51,44,86%,16.8,17.5,18.1,18.1,0,BAXTER,302007,302000,2021
63,COUNTY LINE HIGH SCHOOL,7-12,COUNTY LINE SCHOOL DISTRICT,30%,46%,30%,33%,27%,243,69%,90%,1%,2%,8%,10%,1,39,33,85%,18.9,17.9,19,20.2,0,FRANKLIN,2403012,2403000,2021
64,CREATIVE ACTION TEAM SCHOOL,K-12,HOPE SCHOOL DISTRICT,0%,0%,0%,0%,0%,33,88%,15%,9%,76%,0%,85%,4,10,10,100%,12.5,9.5,11.1,11.7,0,HEMPSTEAD,2903015,2903000,2021
65,CROSS COUNTY HIGH A NEW TECH SCHOOL,7-12,CROSS COUNTY SCHOOL DISTRICT,10%,46%,28%,28%,5%,300,73%,88%,3%,8%,0%,12%,2,44,39,89%,16.8,16.6,18.9,19.1,0,CROSS,1901703,1901000,2021
66,CROSSETT HIGH SCHOOL,9-12,CROSSETT SCHOOL DISTRICT,7%,30%,21%,13%,5%,473,54%,59%,5%,33%,3%,41%,5,104,92,88%,16,15.6,17,17.9,0,ASHLEY,201006,201000,2021
67,CUTTER-MORNING STAR HIGH SCHOOL,7-12,CUTTER-MORNING STAR SCHOOL DISTRICT,8%,29%,20%,10%,4%,331,66%,76%,11%,3%,10%,24%,3,62,49,79%,16.5,15.4,16.9,17.4,0,GARLAND,2601002,2601000,2021
68,DANVILLE HIGH SCHOOL,9-12,DANVILLE SCHOOL DISTRICT,13%,38%,20%,18%,2%,239,71%,43%,51%,2%,5%,57%,1,59,45,76%,17.3,16.8,18.6,18.9,0,YELL,7503006,7503000,2021
69,DARDANELLE HIGH SCHOOL,9-12,DARDANELLE SCHOOL DISTRICT,37%,81%,51%,50%,30%,617,71%,55%,39%,2%,4%,45%,1,132,70,53%,20.5,22.3,22.2,22,0,YELL,7504011,7504000,2021
70,DECATUR HIGH SCHOOL,9-12,DECATUR SCHOOL DISTRICT,3%,30%,13%,13%,3%,159,72%,49%,39%,3%,9%,51%,1,39,30,77%,15.2,13.7,15.2,14.7,0,BENTON,402009,402000,2021
71,DEER K-12 SCHOOL,K-12,DEER-MT. JUDEA SCHOOL DISTRICT,21%,71%,29%,36%,7%,198,68%,91%,3%,1%,6%,9%,1,19,14,74%,16.9,19.3,19.1,20.6,0,NEWTON,5106003,5106000,2021
72,DEQUEEN HIGH SCHOOL,10-12,DEQUEEN SCHOOL DISTRICT,14%,42%,24%,20%,8%,457,77%,29%,63%,2%,7%,71%,4,152,144,95%,17.5,16.4,18,18.3,0,SEVIER,6701003,6701000,2021
73,DERMOTT HIGH SCHOOL,7-12,DERMOTT SCHOOL DISTRICT,4%,16%,20%,0%,0%,159,94%,3%,2%,95%,1%,97%,5,30,25,83%,14.2,14.2,15.4,15.7,0,CHICOT,901003,901000,2021
74,DES ARC HIGH SCHOOL,7-12,DES ARC SCHOOL DISTRICT,25%,63%,31%,28%,13%,251,62%,89%,3%,8%,1%,11%,5,31,32,103%,18.2,18.7,18.8,19.1,0,PRAIRIE,5901002,5901000,2021
75,DEWITT HIGH SCHOOL,9-12,DEWITT SCHOOL DISTRICT,24%,53%,22%,26%,11%,359,55%,81%,4%,13%,3%,19%,5,86,74,86%,18.1,18,18.3,19.3,0,ARKANSAS,101004,101000,2021
76,DIERKS HIGH SCHOOL,7-12,DIERKS SCHOOL DISTRICT,42%,61%,39%,33%,24%,232,65%,90%,8%,0%,2%,10%,4,34,33,97%,19.5,19.8,20.2,20.7,0,HOWARD,3102002,3102000,2021
77,DON TYSON SCHOOL OF INNOVATION,K-12,SPRINGDALE SCHOOL DISTRICT,21%,60%,42%,31%,17%,2368,58%,43%,45%,2%,9%,57%,1,278,242,87%,18,19.5,20,19.9,0,WASHINGTON,7207703,7207000,2021
78,DOVER HIGH SCHOOL,9-12,DOVER SCHOOL DISTRICT,18%,57%,39%,31%,13%,375,49%,93%,4%,0%,3%,7%,1,83,72,87%,17.3,18.7,19.8,19.5,0,POPE,5802006,5802000,2021
79,DREW CENTRAL HIGH SCHOOL,9-12,DREW CENTRAL SCHOOL DISTRICT,7%,38%,22%,8%,1%,312,65%,64%,6%,26%,4%,36%,5,82,74,90%,16.3,16.2,16.8,17.3,0,DREW,2202005,2202000,2021
80,DUMAS HIGH SCHOOL,10-12,DUMAS SCHOOL DISTRICT,0%,21%,4%,6%,0%,204,74%,14%,19%,64%,2%,86%,5,53,48,91%,15.2,14.2,14.5,15.5,0,DESHA,2104021,2104000,2021
81,EARLE HIGH SCHOOL,7-12,EARLE SCHOOL DISTRICT,4%,8%,4%,4%,0%,203,94%,0%,0%,97%,2%,100%,2,30,26,87%,15.5,12.7,13.7,15.8,0,CRITTENDEN,1802007,1802000,2021
82,EAST POINSETT COUNTY HIGH SCHOOL,7-12,EAST POINSETT CO. SCHOOL DISTRICT,9%,44%,28%,13%,2%,281,73%,75%,6%,13%,6%,25%,2,44,46,105%,17,16.8,18.7,18.3,0,POINSETT,5608037,5608000,2021
83,EL DORADO HIGH SCHOOL,9-12,EL DORADO SCHOOL DISTRICT,14%,36%,26%,18%,10%,1307,58%,39%,11%,45%,5%,61%,4,339,296,87%,17,15.9,17.4,17.5,0,UNION,7001012,7001000,2021
84,ELKINS HIGH SCHOOL,9-12,ELKINS SCHOOL DISTRICT,10%,35%,20%,21%,7%,381,43%,85%,5%,2%,8%,15%,1,108,99,92%,16.6,16.1,17.6,18.2,0,WASHINGTON,7201002,7201000,2021
85,EMERSON HIGH SCHOOL,7-12,EMERSON-TAYLOR-BRADLEY SCHOOL DISTRICT,31%,63%,56%,31%,19%,146,51%,66%,3%,24%,6%,34%,4,17,16,94%,18.8,19.4,23.2,19.8,0,COLUMBIA,1408002,1408000,2021
86,ENGLAND HIGH SCHOOL,7-12,ENGLAND SCHOOL DISTRICT,7%,40%,19%,19%,2%,292,74%,50%,10%,35%,5%,50%,3,55,43,78%,16.2,16.2,16.6,17.9,0,LONOKE,4302018,4302000,2021
87,ESTEM HIGH SCHOOL,10-12,ESTEM PUBLIC CHARTER SCHOOL,22%,45%,32%,25%,18%,496,56%,23%,9%,61%,7%,77%,3,170,163,96%,18,18,18.9,19.1,1,PULASKI,6047703,6047700,2021
88,EUREKA SPRINGS HIGH SCHOOL,9-12,EUREKA SPRINGS SCHOOL DISTRICT,19%,53%,45%,30%,9%,202,38%,87%,6%,2%,4%,13%,1,56,53,95%,18.2,18.1,20.3,20.2,0,CARROLL,802007,802000,2021
89,FARMINGTON HIGH SCHOOL,10-12,FARMINGTON SCHOOL DISTRICT,20%,53%,40%,28%,13%,626,25%,78%,11%,3%,8%,22%,1,214,184,86%,17.8,18.5,20.8,20.1,0,WASHINGTON,7202012,7202000,2021
90,FAYETTEVILLE HIGH SCHOOL,9-12,FAYETTEVILLE SCHOOL DISTRICT,42%,71%,57%,45%,33%,2538,30%,66%,13%,9%,12%,34%,1,622,531,85%,20.6,22.1,22.4,21.8,0,WASHINGTON,7203020,7203000,2021
91,FAYETTEVILLE VIRTUAL ACADEMY A DISTRICT CONVERSION,K-12,FAYETTEVILLE SCHOOL DISTRICT,22%,61%,39%,26%,13%,396,32%,71%,9%,10%,9%,29%,1,32,23,72%,17.9,20.4,21.4,20.5,0,WASHINGTON,7203703,7203000,2021
92,FLIPPIN HIGH SCHOOL,9-12,FLIPPIN SCHOOL DISTRICT,17%,46%,40%,23%,12%,266,69%,92%,4%,0%,4%,8%,1,76,65,86%,17,17.6,19.3,19.2,0,MARION,4501002,4501000,2021
93,FORDYCE HIGH SCHOOL,7-12,FORDYCE SCHOOL DISTRICT,11%,32%,19%,11%,7%,376,61%,33%,5%,61%,1%,67%,4,64,54,84%,16.4,15.9,16.5,16.9,0,DALLAS,2002007,2002000,2021
94,FOREMAN HIGH SCHOOL,7-12,FOREMAN SCHOOL DISTRICT,12%,41%,18%,12%,6%,239,68%,77%,6%,9%,8%,23%,4,41,34,83%,16.6,16.5,16.9,16.3,0,LITTLE RIVER,4102010,4102000,2021
95,FORREST CITY HIGH SCHOOL,9-12,FORREST CITY SCHOOL DISTRICT,3%,13%,8%,2%,2%,615,73%,5%,1%,93%,1%,95%,2,165,128,78%,14.8,12.6,13.8,14.5,0,ST FRANCIS,6201011,6201000,2021
96,FOUKE HIGH SCHOOL,9-12,FOUKE SCHOOL DISTRICT,10%,50%,30%,23%,8%,310,55%,95%,2%,0%,2%,5%,4,64,60,94%,16.7,18.4,19.3,19.2,0,MILLER,4603010,4603000,2021
97,FOUNTAIN LAKE CHARTER HIGH SCHOOL,9-12,FOUNTAIN LAKE SCHOOL DISTRICT,23%,56%,43%,31%,19%,412,43%,86%,7%,1%,6%,14%,3,120,96,80%,18.5,18.9,19.6,19.5,0,GARLAND,2602703,2602000,2021
98,FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF HIG,6-12,FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF,0%,0%,5%,0%,0%,34,97%,3%,0%,97%,0%,97%,3,14,19,136%,13.6,10.5,12.2,13.3,1,JEFFERSON,3545703,3545700,2021
99,FUTURE SCHOOL OF FORT SMITH,9-12,FUTURE SCHOOL OF FORT SMITH,6%,32%,19%,9%,0%,251,73%,53%,22%,13%,13%,47%,1,66,47,71%,15.4,14.8,16,16.4,1,SEBASTIAN,6640703,6640700,2021
100,GENOA CENTRAL HIGH SCHOOL,9-12,GENOA CENTRAL SCHOOL DISTRICT,21%,56%,40%,26%,15%,394,35%,97%,1%,0%,2%,3%,4,97,82,85%,18.2,18.7,19.7,19.3,0,MILLER,4602006,4602000,2021
101,GLEN ROSE HIGH SCHOOL,9-12,GLEN ROSE SCHOOL DISTRICT,19%,44%,36%,24%,14%,321,49%,90%,3%,1%,6%,10%,3,73,62,85%,18,16.9,18.2,18.9,0,HOT SPRING,3002009,3002000,2021
102,GOSNELL HIGH SCHOOL,7-12,GOSNELL SCHOOL DISTRICT,25%,61%,34%,19%,16%,607,74%,62%,9%,24%,5%,38%,2,91,64,70%,18.7,19,19,19.4,0,MISSISSIPPI,4708031,4708000,2021
103,GRADUATE ARKANSAS CHARTER HIGH,9-12,GRADUATE ARKANSAS  CHARTER,N<10,N<10,N<10,N<10,N<10,141,82%,25%,13%,58%,4%,75%,3,37,N<10,N/A,N<10,N<10,N<10,N<10,1,PULASKI,6052703,6052700,2021
104,GRAVETTE HIGH SCHOOL,9-12,GRAVETTE SCHOOL DISTRICT,22%,54%,35%,29%,18%,595,37%,84%,8%,0%,8%,16%,1,137,125,91%,18.6,18.6,19.5,19.7,0,BENTON,404022,404000,2021
105,GREEN FOREST HIGH SCHOOL,9-12,GREEN FOREST SCHOOL DISTRICT,12%,26%,17%,14%,7%,433,78%,39%,48%,0%,13%,61%,1,89,77,87%,16.3,14.2,16.5,16.9,0,CARROLL,803012,803000,2021
106,GREENBRIER HIGH SCHOOL,10-12,GREENBRIER SCHOOL DISTRICT,37%,63%,44%,38%,23%,790,37%,91%,3%,1%,4%,9%,3,247,237,96%,20,20.1,20.3,20.5,0,FAULKNER,2303017,2303000,2021
107,GREENE COUNTY TECH HIGH SCHOOL,10-12,GREENE COUNTY TECH SCHOOL DISTRICT,22%,41%,27%,25%,12%,804,41%,92%,4%,2%,2%,8%,2,283,259,92%,17.9,16.9,18.6,18.8,0,GREENE,2807008,2807000,2021
108,GREENLAND HIGH SCHOOL,9-12,GREENLAND SCHOOL DISTRICT,10%,61%,31%,18%,4%,232,69%,85%,9%,0%,6%,15%,1,78,51,65%,16.8,18.4,19.2,18.6,0,WASHINGTON,7204028,7204000,2021
109,GREENWOOD HIGH SCHOOL,10-12,GREENWOOD SCHOOL DISTRICT,37%,62%,45%,39%,27%,874,23%,86%,6%,1%,7%,14%,1,266,245,92%,20,20.5,20.5,20.9,0,SEBASTIAN,6602043,6602000,2021
110,GURDON HIGH SCHOOL,9-12,GURDON SCHOOL DISTRICT,4%,22%,26%,30%,4%,208,68%,49%,22%,25%,4%,51%,4,47,27,57%,15.5,15.4,17.9,18.3,0,CLARK,1003018,1003000,2021
111,GUY-PERKINS HIGH SCHOOL,7-12,GUY-PERKINS SCHOOL DISTRICT,7%,24%,17%,14%,7%,149,65%,79%,1%,16%,4%,21%,3,32,29,91%,16.8,15.1,16.6,17.5,0,FAULKNER,2304022,2304000,2021
112,HAAS HALL ACADEMY,7-12,HAAS HALL ACADEMY,71%,90%,75%,77%,62%,455,12%,69%,10%,2%,19%,31%,1,64,52,81%,25.7,27.4,26.4,26.3,1,WASHINGTON,7240703,7240700,2021
113,HAAS HALL ACADEMY AT THE LANE,7-12,HAAS HALL ACADEMY,72%,82%,74%,69%,62%,287,11%,60%,20%,3%,18%,40%,1,41,39,95%,24.5,26.6,27,25.1,1,WASHINGTON,7240709,7240700,2021
114,HAAS HALL ACADEMY JONES CENTER,7-12,HAAS HALL ACADEMY,53%,69%,59%,50%,44%,182,18%,54%,28%,4%,14%,46%,1,34,32,94%,21.8,21.9,22.2,21.4,1,WASHINGTON,7240706,7240700,2021
115,HAAS HALL BENTONVILLE,7-12,HAAS HALL ACADEMY,80%,91%,78%,78%,69%,407,5%,57%,9%,2%,32%,43%,1,51,45,88%,25.4,26.5,27.4,25.4,1,WASHINGTON,7240712,7240700,2021
116,HACKETT HIGH SCHOOL,7-12,HACKETT SCHOOL DISTRICT,9%,56%,22%,16%,6%,359,64%,86%,4%,1%,9%,14%,1,61,32,52%,16.8,17.6,18.9,18.3,0,SEBASTIAN,6603048,6603000,2021
117,HAMBURG HIGH SCHOOL,9-12,HAMBURG SCHOOL DISTRICT,14%,31%,16%,13%,7%,479,57%,60%,20%,19%,1%,40%,5,105,104,99%,16.8,16,17,17.1,0,ASHLEY,203018,203000,2021
118,HAMPTON HIGH SCHOOL,7-12,HAMPTON SCHOOL DISTRICT,3%,27%,27%,10%,3%,239,67%,71%,5%,23%,2%,29%,4,34,30,88%,15.3,15.3,16.9,18.1,0,CALHOUN,701002,701000,2021
119,HAR-BER HIGH SCHOOL,10-12,SPRINGDALE SCHOOL DISTRICT,30%,62%,45%,32%,22%,2280,51%,44%,41%,2%,13%,56%,1,758,508,67%,19.2,20,20.3,20.1,0,WASHINGTON,7207062,7207000,2021
120,HARMONY GROVE HIGH SCHOOL,7-12,HARMONY GROVE SCHOOL DISTRICT (OUACHITA),7%,42%,20%,9%,4%,378,49%,74%,4%,19%,3%,26%,4,59,55,93%,16.5,16.8,17.1,17.3,0,OUACHITA,5205029,5205000,2021
121,HARMONY GROVE HIGH SCHOOL,10-12,HARMONY GROVE SCHOOL DISTRICT (SALINE),17%,44%,23%,19%,13%,295,31%,93%,3%,2%,2%,7%,3,98,88,90%,17.2,16.7,17.6,18,0,SALINE,6304030,6304000,2021
122,HARRISON HIGH SCHOOL CONVERSION CHARTER,9-12,HARRISON SCHOOL DISTRICT,33%,63%,37%,32%,19%,848,39%,93%,3%,0%,3%,7%,1,209,202,97%,19.6,19.6,20.2,19.7,0,BOONE,503703,503000,2021
123,HAZEN HIGH SCHOOL,7-12,HAZEN SCHOOL DISTRICT,12%,33%,26%,12%,7%,262,66%,77%,2%,18%,3%,23%,5,47,43,91%,16.6,15.3,16.4,16.4,0,PRAIRIE,5903012,5903000,2021
124,HEBER SPRINGS HIGH SCHOOL,9-12,HEBER SPRINGS SCHOOL DISTRICT,27%,76%,44%,39%,17%,445,42%,92%,6%,0%,2%,8%,2,97,75,77%,19.2,20.5,20.4,20.7,0,CLEBURNE,1202006,1202000,2021
125,HECTOR HIGH SCHOOL,7-12,HECTOR SCHOOL DISTRICT,14%,45%,31%,10%,10%,305,72%,93%,4%,0%,2%,7%,1,44,29,66%,17.8,18.6,20,19.2,0,POPE,5803010,5803000,2021
126,HERMITAGE HIGH SCHOOL,7-12,HERMITAGE SCHOOL DISTRICT,9%,19%,6%,0%,0%,210,69%,57%,32%,10%,0%,43%,5,35,32,91%,16,13.5,14.2,15.6,0,BRADLEY,601007,601000,2021
127,HIGHLAND HIGH SCHOOL,9-12,HIGHLAND SCHOOL DISTRICT,17%,42%,25%,20%,12%,503,71%,94%,4%,1%,2%,6%,2,129,105,81%,17.5,16.8,17.8,17.9,0,SHARP,6804010,6804000,2021
128,HILLCREST HIGH SCHOOL,7-12,HILLCREST SCHOOL DISTRICT,8%,46%,21%,21%,4%,173,57%,97%,3%,0%,1%,3%,2,27,24,89%,16.3,16.7,16.7,17.3,0,LAWRENCE,3809023,3809000,2021
129,HOPE HIGH SCHOOL,9-12,HOPE SCHOOL DISTRICT,7%,30%,22%,12%,5%,630,73%,20%,36%,43%,1%,80%,4,130,106,82%,15.4,15.1,17,16.8,0,HEMPSTEAD,2903012,2903000,2021
130,HORATIO HIGH SCHOOL,7-12,HORATIO SCHOOL DISTRICT,3%,32%,22%,11%,0%,312,76%,69%,26%,1%,4%,31%,4,41,37,90%,16,15.3,17.7,17.3,0,SEVIER,6703013,6703000,2021
131,HOT SPRINGS WORLD CLASS HIGH SCHOOL,10-12,HOT SPRINGS SCHOOL DISTRICT,9%,39%,22%,13%,4%,733,73%,37%,20%,34%,10%,63%,3,253,180,71%,16.2,15.9,17.2,17.3,0,GARLAND,2603703,2603000,2021
132,HOXIE HIGH SCHOOL,7-12,HOXIE SCHOOL DISTRICT,5%,48%,25%,7%,3%,379,67%,92%,2%,1%,4%,8%,2,72,61,85%,16.2,17.2,17.5,17,0,LAWRENCE,3804010,3804000,2021
133,HUNTSVILLE HIGH SCHOOL,9-12,HUNTSVILLE SCHOOL DISTRICT,14%,36%,17%,18%,10%,620,49%,80%,10%,1%,9%,20%,1,132,110,83%,16.3,16,16.8,17.4,0,MADISON,4401003,4401000,2021
134,IZARD COUNTY CONSOLIDATED HIGH SCHOOL,9-12,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,23%,36%,23%,21%,13%,206,77%,95%,2%,1%,1%,5%,2,47,39,83%,17.3,16.1,17,17.6,0,IZARD,3306015,3306000,2021
135,JACKSONVILLE HIGH SCHOOL,9-12,JACKSONVILLE NORTH PULASKI SCHOOL DISTRICT,6%,23%,18%,8%,5%,1072,57%,29%,6%,61%,4%,71%,3,268,199,74%,15.6,14.1,16,16.1,0,PULASKI,6004009,6004000,2021
136,JACKSONVILLE LIGHTHOUSE COLLEGE PREPARATORY ACADEM,7-12,JACKSONVILLE LIGHTHOUSE CHARTER,8%,39%,19%,12%,4%,239,49%,15%,9%,73%,3%,85%,3,32,26,81%,15.1,15.1,16.1,16.7,1,PULASKI,6050703,6050700,2021
137,JASPER HIGH SCHOOL,7-12,JASPER SCHOOL DISTRICT,9%,35%,18%,6%,3%,204,69%,98%,0%,2%,0%,2%,1,38,34,89%,16.1,15.1,16.1,16.4,0,NEWTON,5102006,5102000,2021
138,JESSIEVILLE HIGH SCHOOL,9-12,JESSIEVILLE SCHOOL DISTRICT,22%,57%,30%,26%,13%,283,66%,83%,5%,3%,10%,17%,3,67,54,81%,18.1,18.2,19.2,19.3,0,GARLAND,2604030,2604000,2021
139,JOE T. ROBINSON HIGH SCHOOL,9-12,PULASKI COUNTY SPECIAL SCHOOL DISTRICT,19%,50%,39%,27%,14%,710,41%,53%,9%,35%,4%,47%,3,185,175,95%,17.6,18.9,19.6,19.2,0,PULASKI,6003127,6003000,2021
140,JUNCTION CITY HIGH SCHOOL,7-12,JUNCTION CITY SCHOOL DISTRICT,2%,27%,8%,4%,2%,309,65%,58%,3%,38%,1%,42%,4,46,48,104%,15.5,14.8,16,15.4,0,UNION,7003028,7003000,2021
141,KINGSTON HIGH SCHOOL,7-12,JASPER SCHOOL DISTRICT,0%,13%,13%,7%,0%,119,62%,92%,2%,0%,7%,8%,1,19,15,79%,14.5,14.6,16.1,16.5,0,NEWTON,5102008,5102000,2021
142,KIPP BLYTHEVILLE COLLEGIATE HIGH SCHOOL,7-12,KIPP DELTA PUBLIC SCHOOLS,13%,50%,13%,19%,6%,123,85%,8%,6%,80%,7%,92%,5,18,16,89%,16.5,17.4,16.8,16.9,1,PHILLIPS,5440706,5440700,2021
143,KIPP:DELTA COLLEGIATE HIGH SCHOOL,9-12,KIPP DELTA PUBLIC SCHOOLS,4%,25%,7%,4%,0%,191,88%,3%,1%,96%,1%,97%,5,36,28,78%,15.4,14.4,14.7,16.5,1,PHILLIPS,5440703,5440700,2021
144,KIRBY HIGH SCHOOL,7-12,KIRBY SCHOOL DISTRICT,13%,26%,17%,22%,9%,183,58%,82%,13%,0%,5%,18%,4,23,23,100%,16.4,15.2,16.3,16.3,0,PIKE,5503011,5503000,2021
145,LAFAYETTE COUNTY HIGH SCHOOL,7-12,LAFAYETTE COUNTY SCHOOL DISTRICT,3%,17%,13%,7%,3%,242,84%,34%,3%,60%,3%,66%,4,33,30,91%,15.3,13.7,15.8,16.7,0,LAFAYETTE,3704013,3704000,2021
146,LAKE HAMILTON HIGH SCHOOL,10-12,LAKE HAMILTON SCHOOL DISTRICT,20%,54%,36%,28%,12%,951,47%,77%,13%,3%,7%,23%,3,337,269,80%,18,18.3,19.2,19.2,0,GARLAND,2605034,2605000,2021
147,LAKESIDE HIGH SCHOOL,9-12,LAKESIDE SCHOOL DISTRICT (CHICOT),0%,13%,8%,7%,0%,249,78%,10%,17%,72%,1%,90%,5,66,62,94%,14.7,13,14.5,15.8,0,CHICOT,903018,903000,2021
148,LAKESIDE HIGH SCHOOL,9-12,LAKESIDE SCHOOL DISTRICT (GARLAND),22%,58%,38%,25%,16%,1054,34%,73%,12%,8%,7%,27%,3,236,208,88%,18,19.3,19.7,19.4,0,GARLAND,2606044,2606000,2021
149,LAMAR HIGH SCHOOL,9-12,LAMAR SCHOOL DISTRICT,6%,39%,30%,17%,5%,364,66%,87%,6%,1%,5%,13%,1,85,64,75%,17,16.5,17.8,18.7,0,JOHNSON,3604019,3604000,2021
150,LAVACA HIGH SCHOOL,9-12,LAVACA SCHOOL DISTRICT,30%,50%,33%,28%,20%,256,45%,81%,8%,1%,10%,19%,1,58,54,93%,18.2,17.8,19,18.8,0,SEBASTIAN,6605057,6605000,2021
151,LEAD HILL HIGH SCHOOL,7-12,LEAD HILL SCHOOL DISTRICT,25%,75%,69%,19%,19%,198,72%,91%,2%,1%,7%,9%,1,32,16,50%,18.8,21.2,22.6,20.5,0,BOONE,506032,506000,2021
152,LEE HIGH SCHOOL,7-12,LEE COUNTY SCHOOL DISTRICT,5%,9%,9%,5%,5%,271,87%,7%,2%,90%,0%,93%,5,30,22,73%,14.8,12.5,12.5,14.7,0,LEE,3904011,3904000,2021
153,LINCOLN HIGH SCHOOL,9-12,LINCOLN SCHOOL DISTRICT,15%,49%,39%,26%,8%,357,60%,77%,11%,1%,11%,23%,1,86,61,71%,16.7,17.5,19.3,19.3,0,WASHINGTON,7205706,7205000,2021
