unique_id,year,tract_number,county_name,state_name,Total number of households,Median household income (dollars),Mean household income (dollars)
05001480100,2022,480100,Arkansas County,Arkansas,488,58710,80918
05001480200,2022,480200,Arkansas County,Arkansas,461,73849,75791
05001480300,2022,480300,Arkansas County,Arkansas,1009,64886,89364
05001480400,2022,480400,Arkansas County,Arkansas,899,22875,40614
05001480500,2022,480500,Arkansas County,Arkansas,1370,71392,66466
05001480600,2022,480600,Arkansas County,Arkansas,729,69679,79095
05001480700,2022,480700,Arkansas County,Arkansas,1120,46574,65108
05001480800,2022,480800,Arkansas County,Arkansas,483,71442,83338
05003960100,2022,960100,Ashley County,Arkansas,506,53750,62255
05003960200,2022,960200,Ashley County,Arkansas,901,54653,59068
05003960300,2022,960300,Ashley County,Arkansas,1566,29038,53497
05003960400,2022,960400,Ashley County,Arkansas,533,47350,55540
05003960500,2022,960500,Ashley County,Arkansas,876,39390,45917
05003960600,2022,960600,Ashley County,Arkansas,2231,44276,81049
05003960700,2022,960700,Ashley County,Arkansas,581,55234,76596
05005950100,2022,950100,Baxter County,Arkansas,2278,46450,59633
05005950200,2022,950200,Baxter County,Arkansas,2086,45769,60682
05005950300,2022,950300,Baxter County,Arkansas,2413,39909,62590
05005950400,2022,950400,Baxter County,Arkansas,1492,45606,83559
05005950500,2022,950500,Baxter County,Arkansas,2039,48433,62603
05005950600,2022,950600,Baxter County,Arkansas,1712,56396,107754
05005950700,2022,950700,Baxter County,Arkansas,1624,48794,57618
05005950801,2022,950801,Baxter County,Arkansas,2075,51096,63251
05005950802,2022,950802,Baxter County,Arkansas,802,51272,52776
05005950900,2022,950900,Baxter County,Arkansas,2500,44308,56667
05007020102,2022,20102,Benton County,Arkansas,2646,100743,120616
05007020103,2022,20103,Benton County,Arkansas,1640,79583,92947
05007020104,2022,20104,Benton County,Arkansas,586,80125,98808
05007020201,2022,20201,Benton County,Arkansas,1676,67719,94567
05007020203,2022,20203,Benton County,Arkansas,1011,67159,112812
05007020205,2022,20205,Benton County,Arkansas,1606,58934,82347
05007020206,2022,20206,Benton County,Arkansas,2293,67820,73950
05007020301,2022,20301,Benton County,Arkansas,1775,33053,44874
05007020302,2022,20302,Benton County,Arkansas,1465,75106,86807
05007020304,2022,20304,Benton County,Arkansas,1813,67907,89354
05007020305,2022,20305,Benton County,Arkansas,1488,85491,91288
05007020401,2022,20401,Benton County,Arkansas,2716,66687,92782
05007020402,2022,20402,Benton County,Arkansas,1939,75417,87522
05007020404,2022,20404,Benton County,Arkansas,1624,64457,78058
05007020405,2022,20405,Benton County,Arkansas,2127,106968,143207
05007020501,2022,20501,Benton County,Arkansas,2281,87064,140790
05007020503,2022,20503,Benton County,Arkansas,1878,63906,72744
05007020504,2022,20504,Benton County,Arkansas,1338,59508,84151
05007020604,2022,20604,Benton County,Arkansas,1874,93500,136258
05007020605,2022,20605,Benton County,Arkansas,1456,86582,114883
05007020606,2022,20606,Benton County,Arkansas,1508,147361,181128
05007020607,2022,20607,Benton County,Arkansas,4361,104665,123388
05007020608,2022,20608,Benton County,Arkansas,1424,108071,115309
05007020701,2022,20701,Benton County,Arkansas,2284,85167,103264
05007020703,2022,20703,Benton County,Arkansas,2113,110446,122105
05007020704,2022,20704,Benton County,Arkansas,1731,88185,123617
05007020801,2022,20801,Benton County,Arkansas,2122,92589,113177
05007020803,2022,20803,Benton County,Arkansas,2047,83854,173542
05007020805,2022,20805,Benton County,Arkansas,2033,79390,116129
05007020806,2022,20806,Benton County,Arkansas,2537,92875,215052
05007020903,2022,20903,Benton County,Arkansas,1887,96869,110553
05007020904,2022,20904,Benton County,Arkansas,2453,108639,132208
05007020905,2022,20905,Benton County,Arkansas,1058,72453,96840
05007020906,2022,20906,Benton County,Arkansas,2031,96472,124012
05007021001,2022,21001,Benton County,Arkansas,1825,58514,75271
05007021003,2022,21003,Benton County,Arkansas,946,63115,71415
05007021004,2022,21004,Benton County,Arkansas,1437,70677,80931
05007021101,2022,21101,Benton County,Arkansas,1760,66803,79952
05007021102,2022,21102,Benton County,Arkansas,1266,65938,72228
05007021201,2022,21201,Benton County,Arkansas,1566,75147,109043
05007021202,2022,21202,Benton County,Arkansas,1237,44105,56224
05007021304,2022,21304,Benton County,Arkansas,3886,118684,139831
05007021305,2022,21305,Benton County,Arkansas,2799,77009,120538
05007021306,2022,21306,Benton County,Arkansas,1844,208750,271784
05007021308,2022,21308,Benton County,Arkansas,2276,155846,178216
