school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
essex north shore agricultural and technical school district - essex north shore agricultural and technical school,8170505,363,526,952.0,17.2,1486.0,58.0,41.9,17.3,0.3,16.1,8170000.0,1.2,1.4,13.1,79.7,0.3,0.1,4.1,Essex North Shore Agricultural and Technical School District,"          $27,300,446.72",1397.4,"              $19,536.60","          $27,723,999.72",1404.2,19743.63,2019.0,501.0,509.0,519.0,501.0,510.0
everett - everett high,930505,418,494,1056.0,18.4,2039.0,48.3,51.7,51.0,22.5,9.9,930000.0,19.5,5.0,53.4,20.1,0.4,0.2,1.5,Everett,"          $98,837,678.00",7144.5,"              $13,834.09","         $117,989,739.00",8031.4,14691.05,2019.0,492.0,493.0,495.0,474.0,477.0
excel academy charter (district) - excel academy charter school,4100205,170,500,468.0,23.6,1354.0,50.2,49.8,48.7,8.8,20.4,4100000.0,5.8,1.0,79.8,11.7,0.6,0.4,0.6,Excel Academy Charter (District),"          $22,903,282.25",1295.4,"              $17,680.06","          $22,903,282.25",1295.4,17680.06,2019.0,528.0,503.0,474.0,484.0,464.0
fairhaven - fairhaven high,940505,143,553,351.0,16.2,709.0,53.5,46.5,24.5,1.4,14.7,940000.0,2.0,2.4,5.8,87.3,0.6,0.0,2.0,Fairhaven,"          $25,331,875.33",2030.9,"              $12,473.23","          $27,574,133.41",2089.7,13195.26,2019.0,572.0,562.0,591.0,555.0,542.0
fall river - b m c durfee high,950505,474,470,854.0,17.7,2191.0,50.2,49.8,64.4,17.3,15.4,950000.0,9.1,5.3,27.7,52.7,0.2,0.1,5.0,Fall River,"         $154,122,982.00",10234.6,"              $15,059.01","         $186,558,142.00",12256.2,15221.53,2019.0,462.0,526.0,510.0,500.0,477.0
falmouth - falmouth high,960505,232,567,724.0,13.4,832.0,50.1,49.3,24.4,2.8,11.1,960000.0,5.1,2.2,5.1,81.5,0.8,0.0,5.4,Falmouth,"          $61,882,873.36",3342.4,"              $18,514.50","          $66,955,651.36",3548.7,18867.66,2019.0,555.0,554.0,570.0,573.0,558.0
fitchburg - fitchburg high,970505,320,480,571.0,17.0,1247.0,46.7,53.3,57.1,11.2,16.8,970000.0,7.9,5.5,50.1,28.6,0.0,0.0,7.9,Fitchburg,"          $75,118,416.97",5292.8,"              $14,192.57","          $90,664,939.21",6029.3,15037.39,2019.0,475.0,460.0,503.0,454.0,444.0
foxborough - foxborough high,990505,262,559,532.0,13.7,800.0,49.5,50.5,17.1,0.6,16.9,990000.0,7.0,2.9,6.0,81.8,0.5,0.0,1.9,Foxborough,"          $44,593,266.89",2571.2,"              $17,343.37","          $49,445,943.10",2716.1,18204.76,2019.0,568.0,579.0,568.0,578.0,564.0
foxborough regional charter (district) - foxborough regional charter school,4460550,94,549,670.0,21.1,1660.0,52.1,48.0,26.6,7.5,10.0,4460000.0,49.4,10.1,5.4,29.4,0.3,0.2,5.2,Foxborough Regional Charter (District),"          $21,689,547.59",1619.3,"              $13,394.65","          $21,689,547.59",1619.3,13394.65,2019.0,518.0,543.0,534.0,525.0,505.0
framingham - framingham high school,1000515,537,547,1058.0,17.5,2366.0,49.7,50.3,35.9,17.6,16.2,1000000.0,6.9,5.0,30.6,53.6,0.1,0.1,3.6,Framingham,"         $162,795,056.00",8852.8,"              $18,389.10","         $187,711,485.60",9602.7,19547.78,2019.0,574.0,589.0,612.0,571.0,573.0
francis w. parker charter essential (district) - francis w. parker charter essential school,4780505,60,615,240.0,17.8,396.0,52.8,46.5,7.8,0.0,15.4,4780000.0,1.0,2.0,3.0,87.9,0.3,0.0,5.8,Francis W. Parker Charter Essential (District),"           $5,986,426.60",394.6,"              $15,170.10","           $5,986,426.60",394.6,15170.1,2019.0,567.0,572.0,554.0,560.0,564.0
franklin - franklin high,1010505,597,574,912.0,16.9,1749.0,50.0,49.9,7.7,0.5,14.2,1010000.0,1.4,6.5,3.3,85.9,0.2,0.3,2.3,Franklin,"          $74,748,010.83",5235.9,"              $14,276.06","          $87,057,405.39",5677.4,15334.03,2019.0,571.0,572.0,571.0,569.0,575.0
freetown-lakeville - apponequet regional high,6650505,200,557,350.0,15.4,717.0,49.8,50.2,14.0,0.0,14.4,6650000.0,1.1,1.1,2.5,93.9,0.0,0.3,1.1,Freetown-Lakeville,"          $36,927,571.06",2799.9,"              $13,188.89","          $40,843,234.72",2923.3,13971.62,2019.0,567.0,575.0,569.0,568.0,557.0
frontier - frontier regional,6700505,93,558,544.0,12.6,647.0,46.2,53.8,19.2,1.1,17.6,6700000.0,2.5,2.9,4.6,86.6,0.0,0.2,3.3,Frontier,"          $11,230,352.46",655.1,"              $17,142.96","          $13,207,554.09",751.9,17565.57,2019.0,566.0,570.0,596.0,576.0,595.0
gardner - gardner high,1030505,119,525,337.0,15.3,669.0,47.4,52.6,45.9,5.4,20.6,1030000.0,3.3,2.5,22.0,66.1,0.3,0.0,5.8,Gardner,"          $31,786,923.13",2284.8,"              $13,912.34","          $35,631,726.89",2628.7,13554.89,2019.0,507.0,470.0,504.0,465.0,449.0
gateway - gateway regional high,6720505,44,553,252.0,10.0,208.0,49.5,50.5,28.9,3.4,17.8,6720000.0,0.0,1.0,3.9,90.9,0.5,0.0,3.9,Gateway,"          $15,350,942.79",840.8,"              $18,257.54","          $16,286,947.96",943.7,17258.61,2019.0,531.0,523.0,559.0,549.0,521.0
georgetown - georgetown high school,1050505,134,578,317.0,12.0,374.0,49.5,50.5,8.6,0.0,16.8,1050000.0,0.8,1.3,2.7,93.6,0.0,0.0,1.6,Georgetown,"          $20,006,386.46",1361.6,"              $14,693.29","          $21,927,507.66",1402.0,15640.16,2019.0,575.0,570.0,569.0,556.0,543.0
gloucester - gloucester high,1070505,159,543,434.0,14.1,780.0,43.6,56.3,34.7,7.3,28.7,1070000.0,1.7,0.8,12.8,80.4,0.1,0.8,3.5,Gloucester,"          $49,643,711.05",2917.8,"              $17,014.09","          $56,556,399.92",3285.8,17212.37,2019.0,544.0,553.0,532.0,552.0,556.0
grafton - grafton high school,1100505,225,572,392.0,17.7,867.0,50.3,49.7,12.2,1.7,13.8,1100000.0,1.9,10.3,4.0,81.1,0.0,0.0,2.8,Grafton,"          $40,497,320.42",3168.6,"              $12,780.82","          $43,246,446.31",3274.3,13207.84,2019.0,581.0,574.0,588.0,580.0,579.0
granby - granby jr sr high school,1110505,33,543,208.0,14.0,346.0,44.2,55.8,24.0,4.1,16.2,1110000.0,0.3,1.2,7.8,87.6,0.0,0.0,3.2,Granby,"          $10,273,667.00",738.1,"              $13,919.07","          $11,798,519.00",833.8,14150.3,2019.0,542.0,543.0,558.0,567.0,542.0
greater fall river regional vocational technical - diman regional vocational technical high,8210605,139,508,906.0,15.8,1419.0,44.5,55.5,38.1,1.3,10.0,8210000.0,3.2,2.3,12.1,76.4,0.6,0.1,5.4,Greater Fall River Regional Vocational Technical,"          $28,843,459.00",1438.0,"              $20,058.04","          $28,938,366.00",1451.2,19940.99,2019.0,503.0,498.0,506.0,504.0,507.0
greater lowell regional vocational technical - gr lowell regional vocational technical,8280605,199,500,1432.0,18.4,2241.0,46.7,53.0,45.7,7.8,18.5,8280000.0,4.3,16.2,35.2,41.3,0.2,0.0,2.7,Greater Lowell Regional Vocational Technical,"          $46,617,207.94",2259.4,"              $20,632.56","          $46,835,134.94",2297.5,20385.26,2019.0,507.0,483.0,492.0,497.0,496.0
greater new bedford regional vocational technical - gr new bedford vocational technical,8250605,254,513,1972.0,15.1,2113.0,48.0,52.0,41.2,3.6,10.5,8250000.0,8.5,1.0,24.0,60.8,0.2,0.1,5.4,Greater New Bedford Regional Vocational Technical,"          $42,838,819.39",2114.6,"              $20,258.59","          $42,861,302.39",2117.2,20244.33,2019.0,502.0,494.0,533.0,510.0,499.0
groton-dunstable - groton dunstable regional,6730505,232,590,384.0,17.4,731.0,48.7,51.2,5.3,0.1,12.3,6730000.0,0.7,7.9,2.2,87.7,0.1,0.3,1.1,Groton-Dunstable,"          $38,089,750.00",2404.8,"              $15,839.05","          $41,541,212.00",2523.3,16463.05,2019.0,610.0,623.0,621.0,613.0,611.0
hadley - hopkins academy,1170505,29,567,152.0,14.8,248.0,47.2,52.8,18.6,4.0,12.5,1170000.0,2.4,5.7,10.1,75.4,0.4,3.2,2.8,Hadley,"           $9,314,766.61",538.2,"              $17,307.26","          $11,675,308.02",686.7,17002.05,2019.0,554.0,595.0,575.0,532.0,554.0
hamilton-wenham - hamilton-wenham regional high,6750505,177,600,314.0,15.6,554.0,53.6,46.4,6.9,0.5,14.1,6750000.0,0.7,4.0,4.7,88.3,0.0,0.0,2.4,Hamilton-Wenham,"          $31,225,904.02",1752.7,"              $17,815.89","          $35,139,313.75",1807.8,19437.61,2019.0,592.0,591.0,587.0,598.0,589.0
hampden charter school of science east (district) - hampden charter school of science east,4990305,58,521,224.0,19.1,523.0,50.7,49.3,44.9,4.0,11.3,4990000.0,30.8,1.9,33.5,30.6,0.2,0.0,3.1,Hampden Charter School of Science East (District),"           $7,266,584.00",498.1,"              $14,587.43","           $7,266,584.00",498.1,14587.43,2019.0,556.0,607.0,532.0,534.0,498.0
hampden-wilbraham - minnechaug regional high,6800505,314,564,550.0,15.6,1048.0,52.3,47.7,14.8,0.3,13.4,6800000.0,3.0,4.3,6.6,82.9,0.5,0.0,2.8,Hampden-Wilbraham,"          $46,697,894.00",3045.0,"              $15,335.93","          $49,566,841.00",3119.4,15889.86,2019.0,574.0,558.0,566.0,579.0,570.0
hampshire - hampshire regional high,6830505,92,587,547.0,12.9,737.0,54.3,45.6,17.4,1.6,23.6,6830000.0,0.3,1.0,4.3,91.6,0.0,0.0,2.9,Hampshire,"          $13,268,918.00",719.0,"              $18,454.68","          $15,158,018.00",824.1,18393.42,2019.0,577.0,576.0,576.0,591.0,616.0
hanover - hanover high,1220505,265,559,405.0,14.5,767.0,48.1,51.9,8.6,0.3,14.5,1220000.0,0.8,2.7,1.3,95.2,0.0,0.0,0.0,Hanover,"          $37,504,520.86",2658.7,"              $14,106.34","          $39,905,253.56",2723.5,14652.2,2019.0,547.0,561.0,558.0,544.0,551.0
harvard - bromfield,1250505,119,614,321.0,14.5,617.0,52.4,47.5,5.7,0.2,9.9,1250000.0,2.3,11.2,4.5,78.4,0.0,0.0,3.6,Harvard,"          $20,469,052.12",1072.1,"              $19,092.48","          $22,274,410.32",1116.1,19957.36,2019.0,601.0,626.0,628.0,631.0,625.0
haverhill - haverhill high,1280505,327,541,1286.0,17.5,1943.0,49.9,50.0,40.3,6.4,18.1,1280000.0,4.9,1.9,33.5,58.2,0.1,0.2,1.3,Haverhill,"         $108,110,971.00",8091.6,"              $13,360.89","         $120,748,211.00",8728.4,13833.95,2019.0,534.0,540.0,545.0,548.0,542.0
hingham - hingham high,1310505,366,603,628.0,15.1,1298.0,48.8,51.2,6.6,0.2,9.8,1310000.0,1.2,3.2,3.6,89.3,0.0,0.0,2.7,Hingham,"          $59,167,727.00",4217.6,"              $14,028.77","          $64,025,240.00",4295.4,14905.54,2019.0,600.0,583.0,615.0,611.0,608.0
holliston - holliston high,1360505,230,594,517.0,15.8,850.0,48.5,51.5,6.2,1.2,13.5,1360000.0,1.2,7.9,4.4,84.2,0.6,0.0,1.8,Holliston,"          $39,155,245.70",2887.3,"              $13,561.20","          $43,966,433.61",2978.3,14762.26,2019.0,598.0,589.0,601.0,603.0,601.0
holyoke - holyoke high,1370505,188,492,957.0,16.7,1484.0,47.6,52.4,72.8,22.2,22.5,1370000.0,2.4,0.5,79.3,16.5,0.1,0.1,1.2,Holyoke,"          $92,527,480.44",5231.4,"              $17,686.94","         $116,410,288.44",6589.8,17665.22,2019.0,481.0,464.0,493.0,458.0,460.0
hopedale - hopedale jr sr high,1380505,68,580,330.0,13.2,466.0,48.5,51.5,12.0,2.4,16.5,1380000.0,1.5,2.6,6.9,86.9,0.4,0.2,1.5,Hopedale,"          $16,585,425.00",1091.0,"              $15,202.04","          $18,430,731.00",1166.2,15804.09,2019.0,558.0,556.0,565.0,566.0,580.0
hopkinton - hopkinton high,1390505,309,605,942.0,18.3,1235.0,50.8,49.2,5.9,0.8,12.9,1390000.0,1.2,14.2,2.4,79.9,0.4,0.0,1.9,Hopkinton,"          $54,138,199.91",3715.2,"              $14,572.08","          $57,235,136.79",3793.8,15086.49,2019.0,620.0,624.0,640.0,635.0,635.0
hudson - hudson high,1410505,210,570,493.0,15.6,906.0,53.8,46.3,23.3,8.2,14.8,1410000.0,2.0,1.4,13.0,81.6,0.2,0.1,1.7,Hudson,"          $42,656,450.94",2571.5,"              $16,588.16","          $49,444,852.77",2782.3,17771.22,2019.0,553.0,545.0,538.0,565.0,536.0
hull - hull high,1420505,79,560,255.0,9.7,278.0,44.6,55.4,30.2,0.7,19.1,1420000.0,1.8,1.8,3.2,91.4,0.0,0.0,1.8,Hull,"          $18,907,854.25",878.3,"              $21,527.79","          $21,786,684.25",944.6,23064.46,2019.0,549.0,564.0,550.0,542.0,551.0
innovation academy charter (district) - innovation academy charter school,4350305,108,556,423.0,19.4,795.0,51.8,48.1,14.7,2.5,20.9,4350000.0,6.7,8.7,10.1,69.1,0.1,0.0,5.4,Innovation Academy Charter (District),"          $12,202,345.45",793.7,"              $15,374.20","          $12,202,345.45",793.7,15374.2,2019.0,549.0,529.0,702.0,650.0,612.0
ipswich - ipswich high,1440505,161,594,404.0,11.7,541.0,52.5,47.3,14.8,0.9,11.1,1440000.0,0.9,1.5,5.4,88.0,0.0,0.0,4.3,Ipswich,"          $29,545,742.58",1691.8,"              $17,464.09","          $31,785,925.58",1742.8,18238.42,2019.0,575.0,573.0,572.0,585.0,579.0
king philip - king philip regional high,6900505,428,572,475.0,18.4,1239.0,50.2,49.7,8.8,0.3,12.5,6900000.0,2.1,2.4,2.8,90.0,0.1,0.1,2.5,King Philip,"          $29,355,493.54",2021.4,"              $14,522.36","          $35,822,665.38",2112.2,16959.88,2019.0,560.0,565.0,556.0,578.0,570.0
lawrence - lawrence high school,1490515,472,474,1375.0,18.5,3275.0,46.4,53.2,71.5,36.7,15.3,1490000.0,1.2,1.6,94.4,2.6,0.0,0.0,0.2,Lawrence,"         $214,172,063.56",13729.7,"              $15,599.18","         $254,357,918.23",15803.7,16094.83,2019.0,486.0,477.0,541.0,423.0,415.0
lee - lee middle/high school,1500505,38,575,262.0,11.2,346.0,50.0,50.0,29.5,3.8,13.0,1500000.0,0.9,3.2,8.7,83.5,0.3,0.0,3.5,Lee,"          $13,471,287.18",706.0,"              $19,081.14","          $14,379,583.42",818.8,17561.78,2019.0,572.0,540.0,542.0,514.0,531.0
leicester - leicester high,1510505,117,535,209.0,19.1,462.0,49.1,50.4,23.4,3.3,13.6,1510000.0,4.8,2.6,11.3,77.9,0.2,0.2,3.0,Leicester,"          $21,197,210.59",1527.4,"              $13,877.97","          $24,342,730.25",1698.3,14333.59,2019.0,519.0,519.0,535.0,530.0,564.0
lenox - lenox memorial high,1520505,59,594,391.0,12.3,460.0,49.6,50.4,18.7,2.2,7.8,1520000.0,0.7,4.6,8.7,82.8,0.0,0.0,3.3,Lenox,"          $15,181,438.92",752.4,"              $20,177.35","          $15,731,271.68",792.2,19857.7,2019.0,578.0,601.0,582.0,569.0,639.0
leominster - center for technical education innovation,1530605,74,532,139.0,14.9,738.0,34.7,65.3,41.6,5.6,27.6,1530000.0,9.1,2.9,38.6,46.2,0.0,0.3,3.0,Leominster,"          $84,101,497.93",6024.1,"              $13,960.84","          $95,553,965.93",6478.7,14748.94,2019.0,542.0,532.0,592.0,532.0,553.0
leominster - leominster high school,1530505,257,528,675.0,19.1,1722.0,50.3,49.6,38.6,7.0,18.8,1530000.0,9.7,3.4,34.0,49.2,0.1,0.2,3.4,Leominster,"          $84,101,497.93",6024.1,"              $13,960.84","          $95,553,965.93",6478.7,14748.94,2019.0,547.0,536.0,540.0,545.0,544.0
lexington - lexington high,1550505,625,649,1110.0,18.9,2293.0,49.6,50.3,5.6,2.6,11.3,1550000.0,3.5,40.8,4.0,46.0,0.1,0.0,5.7,Lexington,"         $125,915,692.90",7261.4,"              $17,340.42","         $137,703,036.07",7381.8,18654.4,2019.0,676.0,684.0,689.0,688.0,679.0
lincoln-sudbury - lincoln-sudbury regional high,6950505,354,613,1200.0,17.7,1522.0,48.6,51.5,6.2,0.7,18.9,6950000.0,5.1,5.3,5.2,78.3,0.1,0.0,6.1,Lincoln-Sudbury,"          $30,507,081.42",1493.6,"              $20,425.20","          $35,484,951.63",1559.3,22756.98,2019.0,632.0,628.0,645.0,641.0,640.0
littleton - littleton high school,1580505,138,588,246.0,12.6,434.0,55.5,44.2,7.1,0.7,11.8,1580000.0,0.5,8.5,2.8,83.9,0.5,0.0,3.9,Littleton,"          $24,015,657.06",1645.7,"              $14,592.97","          $28,698,611.06",1783.0,16095.69,2019.0,587.0,620.0,620.0,596.0,597.0
longmeadow - longmeadow high,1590505,268,606,411.0,18.4,939.0,49.3,50.7,7.7,0.5,16.4,1590000.0,2.5,10.1,3.6,80.5,0.1,0.1,3.1,Longmeadow,"          $43,190,554.01",2858.2,"              $15,111.10","          $45,745,743.44",2920.3,15664.74,2019.0,613.0,590.0,619.0,606.0,603.0
lowell - lowell high,1600505,703,511,2022.0,20.1,3076.0,50.0,50.0,53.9,17.9,11.3,1600000.0,11.9,30.5,27.7,26.7,0.0,0.0,3.2,Lowell,"         $215,310,263.84",14618.8,"              $14,728.31","         $250,167,865.84",16778.3,14910.2,2019.0,523.0,533.0,533.0,532.0,535.0
ludlow - ludlow senior high,1610505,196,549,396.0,15.4,864.0,51.4,48.4,23.8,2.0,13.8,1610000.0,2.2,1.0,7.2,86.5,0.0,0.2,2.9,Ludlow,"          $42,970,855.12",2562.1,"              $16,771.73","          $45,421,275.69",2680.3,16946.34,2019.0,549.0,561.0,541.0,559.0,562.0
lunenburg - lunenburg high,1620505,115,583,242.0,14.6,459.0,49.0,51.0,13.5,0.4,9.2,1620000.0,2.6,2.0,7.0,85.4,0.9,0.4,1.7,Lunenburg,"          $22,407,777.83",1654.0,"              $13,547.63","          $24,595,105.83",1784.4,13783.4,2019.0,576.0,570.0,581.0,582.0,591.0
lynn - classical high,1630505,278,508,615.0,19.9,1647.0,48.2,51.9,54.5,27.3,11.1,1630000.0,8.7,9.9,59.9,18.5,0.4,0.0,2.6,Lynn,"         $220,115,576.00",15768.2,"              $13,959.46","         $259,359,466.00",17800.0,14570.76,2019.0,517.0,514.0,528.0,507.0,502.0
lynn - lynn english high,1630510,303,493,686.0,19.7,1824.0,48.1,51.9,57.6,31.9,9.9,1630000.0,9.7,9.2,67.2,11.2,0.4,0.0,2.3,Lynn,"         $220,115,576.00",15768.2,"              $13,959.46","         $259,359,466.00",17800.0,14570.76,2019.0,486.0,503.0,528.0,520.0,484.0
lynn - lynn vocational technical institute,1630605,113,477,807.0,18.7,1413.0,42.8,57.1,60.1,13.9,19.7,1630000.0,6.9,5.1,70.4,14.4,0.3,0.0,2.9,Lynn,"         $220,115,576.00",15768.2,"              $13,959.46","         $259,359,466.00",17800.0,14570.76,2019.0,458.0,463.0,480.0,450.0,447.0
lynnfield - lynnfield high,1640505,197,575,273.0,15.2,602.0,52.3,47.5,8.1,0.7,16.8,1640000.0,2.5,4.8,4.3,86.5,0.0,0.0,1.8,Lynnfield,"          $34,467,564.50",2202.4,"              $15,650.00","          $36,924,659.50",2236.3,16511.5,2019.0,574.0,566.0,565.0,586.0,567.0
match charter public school (district) - match charter public school,4690505,86,477,355.0,20.4,1219.0,52.3,47.7,63.7,19.1,22.7,4690000.0,48.0,0.5,46.8,1.6,0.4,0.3,2.4,MATCH Charter Public School (District),"          $26,395,315.00",1220.3,"              $21,630.54","          $26,395,315.00",1220.3,21630.54,2019.0,526.0,521.0,503.0,485.0,448.0
malden - malden high,1650505,429,509,706.0,18.9,1791.0,48.8,51.1,47.6,14.2,15.8,1650000.0,21.7,23.1,28.8,23.5,0.3,0.0,2.6,Malden,"          $95,029,562.43",6483.6,"              $14,656.91","         $115,427,175.64",7560.8,15266.53,2019.0,543.0,549.0,584.0,520.0,511.0
manchester essex regional - manchester essex regional high school,6980510,137,598,312.0,13.4,486.0,50.2,49.8,10.1,0.0,9.7,6980000.0,0.0,1.4,1.4,96.5,0.0,0.0,0.6,Manchester Essex Regional,"          $25,299,971.38",1385.1,"              $18,265.81","          $26,717,041.22",1418.3,18837.37,2019.0,590.0,601.0,626.0,606.0,594.0
mansfield - mansfield high,1670505,384,582,730.0,15.1,1239.0,49.7,50.3,13.6,0.5,11.4,1670000.0,3.7,5.7,4.1,82.7,0.0,0.0,3.7,Mansfield,"          $61,443,850.13",3728.3,"              $16,480.39","          $66,765,137.06",3865.7,17271.16,2019.0,595.0,590.0,587.0,583.0,574.0
marblehead - marblehead high,1680505,343,600,828.0,11.9,1004.0,51.2,48.8,8.7,2.3,19.2,1680000.0,2.9,1.7,5.8,87.4,0.0,0.0,2.3,Marblehead,"          $50,569,014.79",3057.2,"              $16,540.96","          $57,069,202.00",3267.6,17465.17,2019.0,593.0,592.0,599.0,571.0,570.0
marlborough - marlborough high,1700505,278,526,680.0,13.7,1109.0,48.2,51.8,39.0,20.7,15.0,1700000.0,3.3,2.0,55.8,36.8,0.1,0.0,2.0,Marlborough,"          $77,478,896.75",4728.4,"              $16,385.86","          $92,820,538.37",5467.8,16975.85,2019.0,528.0,518.0,515.0,527.0,496.0
marshfield - marshfield high,1710505,451,565,544.0,18.2,1296.0,47.9,52.1,12.0,1.2,14.2,1710000.0,0.4,1.2,3.5,93.8,0.0,0.1,1.1,Marshfield,"          $55,062,487.88",4045.4,"              $13,611.14","          $60,496,498.48",4148.7,14582.04,2019.0,559.0,564.0,569.0,558.0,563.0
martha's vineyard - martha's vineyard regional high,7000505,170,567,470.0,12.1,688.0,47.2,52.8,32.0,12.5,20.5,7000000.0,4.8,1.2,20.4,67.0,2.0,0.3,4.4,Martha's Vineyard,"          $20,853,356.00",618.1,"              $33,737.84","          $22,510,167.00",658.6,34178.81,2019.0,560.0,561.0,564.0,537.0,550.0
masconomet - masconomet regional high school,7050505,355,582,584.0,15.8,1141.0,53.3,46.7,6.7,0.4,15.5,7050000.0,0.4,4.1,2.6,90.5,0.1,0.2,2.1,Masconomet,"          $32,272,185.95",1758.5,"              $18,352.11","          $35,786,300.83",1812.6,19743.08,2019.0,588.0,596.0,601.0,579.0,574.0
maynard - maynard high,1740505,102,574,192.0,13.5,337.0,48.4,51.3,14.8,3.3,14.5,1740000.0,2.4,3.0,11.0,80.7,0.3,0.0,2.7,Maynard,"          $25,484,402.66",1348.5,"              $18,898.33","          $29,541,592.45",1492.6,19792.04,2019.0,546.0,542.0,621.0,555.0,573.0
medfield - medfield senior high,1750505,250,599,394.0,17.4,806.0,50.4,49.6,6.5,0.3,9.1,1750000.0,1.0,5.6,2.2,87.8,0.1,0.0,3.2,Medfield,"          $41,284,157.10",2578.1,"              $16,013.40","          $43,987,866.29",2613.8,16829.09,2019.0,607.0,616.0,599.0,599.0,603.0
medford - medford high,1760505,328,541,699.0,14.3,1339.0,47.1,53.0,33.6,8.2,19.6,1760000.0,14.2,10.5,13.5,57.7,0.2,0.1,3.8,Medford,"          $76,660,900.37",4243.0,"              $18,067.62","          $86,669,306.11",4745.1,18265.01,2019.0,545.0,543.0,555.0,561.0,557.0
medway - medway high,1770505,243,567,339.0,14.9,685.0,50.2,49.8,8.6,0.2,14.2,1770000.0,1.0,3.9,4.5,88.9,0.3,0.0,1.3,Medway,"          $33,269,182.76",2216.4,"              $15,010.46","          $37,120,793.92",2318.5,16010.69,2019.0,572.0,575.0,584.0,577.0,564.0
melrose - melrose high,1780505,370,567,406.0,16.9,984.0,52.2,47.8,10.0,1.6,14.2,1780000.0,6.3,5.7,3.9,80.0,0.0,0.0,4.2,Melrose,"          $46,485,166.14",3949.0,"              $11,771.38","          $52,531,791.15",4236.1,12400.98,2019.0,549.0,558.0,563.0,551.0,561.0
mendon-upton - nipmuc regional high,7100510,197,568,354.0,14.7,635.0,53.9,46.1,9.8,0.6,10.9,7100000.0,1.3,2.4,4.3,89.5,0.3,0.0,2.4,Mendon-Upton,"          $35,593,327.18",2288.6,"              $15,552.45","          $40,183,301.18",2394.4,16782.2,2019.0,559.0,557.0,551.0,558.0,548.0
methuen - methuen high,1810505,427,511,1044.0,17.7,1990.0,49.1,50.9,35.0,7.9,9.9,1810000.0,2.1,4.4,41.0,47.8,0.1,0.1,4.6,Methuen,"          $90,399,909.48",7004.1,"              $12,906.71","         $106,243,270.84",7347.4,14459.98,2019.0,513.0,520.0,544.0,541.0,538.0
middleborough - middleborough high,1820505,170,534,414.0,16.0,814.0,48.3,51.7,22.1,1.0,16.5,1820000.0,2.8,1.1,3.7,88.1,1.2,0.0,3.1,Middleborough,"          $43,776,662.93",2976.9,"              $14,705.45","          $47,366,527.93",3123.9,15162.63,2019.0,531.0,553.0,526.0,529.0,541.0
milford - milford high,1850505,259,548,567.0,19.3,1298.0,48.1,51.9,37.9,13.8,12.9,1850000.0,3.2,2.1,29.9,59.6,1.6,0.0,3.6,Milford,"          $62,901,730.65",4276.6,"              $14,708.35","          $69,723,191.52",4563.3,15279.12,2019.0,543.0,548.0,556.0,526.0,528.0
millbury - millbury junior/senior high,1860505,91,537,429.0,16.7,747.0,49.9,49.4,26.6,2.1,18.5,1860000.0,4.0,3.2,9.6,79.3,0.0,0.0,3.9,Millbury,"          $27,238,407.00",1683.8,"              $16,176.75","          $30,017,378.00",1767.5,16982.96,2019.0,550.0,545.0,517.0,539.0,525.0
millis - millis high school,1870505,129,565,170.0,13.5,336.0,48.8,51.2,9.8,0.6,12.8,1870000.0,2.1,3.3,7.7,85.1,0.0,0.3,1.5,Millis,"          $19,789,819.21",1222.2,"              $16,191.96","          $21,454,908.82",1284.5,16702.93,2019.0,540.0,533.0,573.0,567.0,544.0
milton - milton high,1890505,362,577,520.0,17.2,1073.0,51.0,48.9,12.3,1.3,15.0,1890000.0,18.8,6.3,5.8,65.7,0.2,0.2,3.0,Milton,"          $62,097,614.72",4280.7,"              $14,506.42","          $69,080,912.48",4376.4,15784.87,2019.0,592.0,579.0,594.0,566.0,571.0
minuteman regional vocational technical - minuteman regional high,8300605,84,554,566.0,12.2,586.0,36.2,63.0,20.1,1.9,36.4,8300000.0,3.6,4.4,6.3,80.7,0.2,0.0,4.8,Minuteman Regional Vocational Technical,"          $20,195,145.00",519.3,"              $38,889.17","          $20,244,380.00",525.0,38560.72,2019.0,537.0,529.0,541.0,561.0,529.0
monomoy regional school district - monomoy regional high school,7120515,150,571,437.0,13.1,636.0,50.2,49.8,27.0,3.0,13.2,7120000.0,8.0,1.6,7.4,78.0,0.8,0.3,3.9,Monomoy Regional School District,"          $36,092,035.19",1888.8,"              $19,108.45","          $39,585,688.39",2158.4,18340.29,2019.0,563.0,558.0,570.0,558.0,566.0
montachusett regional vocational technical - montachusett regional vocational technical,8320605,195,529,609.0,18.8,1415.0,49.9,49.8,25.9,1.0,14.8,8320000.0,1.8,1.8,17.2,75.4,0.0,0.0,3.7,Montachusett Regional Vocational Technical,"          $28,959,994.18",1414.5,"              $20,473.66","          $29,260,556.18",1462.0,20014.06,2019.0,515.0,522.0,546.0,540.0,542.0
