school_name,School Code,tests_taken,SAT_reading_writing,Total # of Classes,avg_class_size,number_of_students,Female %,Male %,perc_english_learner,perc_disabilities,perc_econ_disadvg,District Code,perc_african_american,perc_asian,perc_hispanic,perc_white,perc_native_american,perc_hawaiian_pacific_isl,perc_multi_race_non_hisp,District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,total_exp_per_pupil,year,SAT_math_19,SAT_math_20,SAT_math_21,SAT_math_22,SAT_math_23
baystate academy charter public school (district) - baystate academy charter public school,35020405,34,465,308.0,15.0,462.0,48.9,51.1,66.7,9.3,19.3,35020000.0,28.4,0.7,57.4,11.5,0.0,0.4,1.7,Baystate Academy Charter Public School (District),"           $7,815,903.16",488.8,"              $15,988.67","           $7,815,903.16",488.8,15988.67,2019.0,462.0,447.0,467.0,443.0,458.0
bedford - bedford high,230505,200,611,563.0,12.8,836.0,50.4,49.6,7.8,1.2,14.7,230000.0,6.7,14.2,10.1,64.5,0.1,0.0,4.4,Bedford,"          $48,611,869.60",2652.8,"              $18,324.74","          $54,096,545.03",2715.0,19925.06,2019.0,615.0,617.0,626.0,620.0,637.0
belchertown - belchertown high,240505,145,567,430.0,14.3,694.0,48.4,51.6,16.6,0.1,14.4,240000.0,2.0,1.3,2.9,90.8,0.1,0.3,2.6,Belchertown,"          $31,897,507.55",2275.7,"              $14,016.57","          $35,352,573.74",2467.7,14326.12,2019.0,557.0,562.0,584.0,559.0,543.0
bellingham - bellingham high school,250505,157,533,346.0,18.1,749.0,49.4,50.6,18.8,1.2,19.1,250000.0,3.1,3.3,5.3,85.1,0.3,0.0,2.9,Bellingham,"          $36,221,824.79",2221.1,"              $16,308.06","          $41,553,163.72",2445.8,16989.6,2019.0,526.0,540.0,558.0,531.0,517.0
belmont - belmont high,260505,351,612,463.0,20.7,1327.0,50.5,49.5,7.6,1.7,5.7,260000.0,3.3,18.2,4.3,68.6,0.0,0.0,5.6,Belmont,"          $61,722,257.00",4613.2,"              $13,379.49","          $70,137,376.00",4732.5,14820.36,2019.0,624.0,641.0,673.0,662.0,656.0
berkshire arts and technology charter public (district) - berkshire arts and technology charter public school,4140305,49,575,149.0,18.6,366.0,43.7,56.0,44.5,0.8,20.0,4140000.0,12.0,2.7,10.1,69.4,0.3,0.0,5.5,Berkshire Arts and Technology Charter Public (District),"           $6,343,118.59",369.4,"              $17,169.55","           $6,343,118.59",369.4,17169.55,2019.0,546.0,586.0,492.0,535.0,530.0
berkshire hills - monument mt regional high,6180505,106,591,330.0,13.2,509.0,50.5,49.5,25.2,3.3,13.2,6180000.0,1.0,2.4,10.2,83.1,0.2,0.6,2.6,Berkshire Hills,"          $26,907,389.16",1197.9,"              $22,462.13","          $28,934,800.16",1319.6,21926.95,2019.0,559.0,556.0,546.0,539.0,532.0
berlin-boylston - tahanto regional high,6200505,98,574,309.0,16.2,560.0,48.4,51.6,15.9,2.0,16.3,6200000.0,2.5,4.6,5.2,84.6,0.0,0.4,2.7,Berlin-Boylston,"           $8,525,877.00",580.9,"              $14,677.01","          $10,140,409.40",625.9,16201.33,2019.0,578.0,588.0,594.0,563.0,581.0
beverly - beverly high,300505,306,566,552.0,21.1,1305.0,47.9,52.0,24.1,1.6,16.3,300000.0,3.5,2.5,14.1,76.6,0.1,0.1,3.2,Beverly,"          $62,601,953.21",4612.4,"              $13,572.53","          $71,714,569.38",4809.0,14912.57,2019.0,554.0,568.0,522.0,517.0,521.0
billerica - billerica memorial high school,310505,386,551,707.0,19.2,1814.0,48.6,51.4,16.9,0.9,17.2,310000.0,5.0,8.3,6.2,78.3,0.1,0.1,2.0,Billerica,"          $79,411,570.00",4782.4,"              $16,604.96","          $86,305,246.00",5023.9,17178.93,2019.0,561.0,569.0,535.0,529.0,551.0
blackstone valley regional vocational technical - blackstone valley,8050605,312,559,818.0,16.9,1224.0,50.7,49.1,10.0,0.3,10.0,8050000.0,1.0,1.7,6.1,89.1,0.0,0.1,2.0,Blackstone Valley Regional Vocational Technical,"          $24,931,775.02",1240.1,"              $20,104.65","          $24,931,775.02",1240.1,20104.65,2019.0,549.0,564.0,570.0,542.0,540.0
blackstone-millville - blackstone millville rhs,6220505,94,539,229.0,13.0,429.0,47.6,52.5,23.8,1.6,15.2,6220000.0,1.6,0.9,6.5,88.6,0.0,0.0,2.3,Blackstone-Millville,"          $22,845,115.84",1725.2,"              $13,242.01","          $25,550,989.84",1851.3,13801.65,2019.0,536.0,541.0,524.0,509.0,495.0
blue hills regional vocational technical - blue hills regional vocational technical,8060605,176,492,435.0,14.4,843.0,45.1,54.9,26.9,0.8,26.2,8060000.0,21.5,1.8,14.7,55.6,0.6,0.1,5.7,Blue Hills Regional Vocational Technical,"          $21,016,283.13",859.5,"              $24,451.75","          $21,016,283.13",859.5,24451.75,2019.0,490.0,480.0,535.0,501.0,505.0
boston - boston arts academy,350546,166,474,276.0,14.7,476.0,66.0,33.6,48.7,6.1,18.7,350000.0,44.8,2.5,38.9,9.2,0.4,0.2,4.0,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,468.0,468.0,456.0,466.0,471.0
boston - boston community leadership academy,350558,170,442,190.0,17.1,489.0,45.0,55.0,65.6,30.9,21.3,350000.0,34.4,3.5,56.2,4.7,0.2,0.2,0.8,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,451.0,474.0,413.0,410.0,429.0
boston - boston latin academy,350545,407,578,609.0,22.8,1765.0,58.9,41.0,34.1,0.0,4.3,350000.0,21.2,19.9,25.1,30.1,0.1,0.1,3.5,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,601.0,602.0,574.0,568.0,567.0
boston - community academy of science and health,350581,85,417,165.0,14.0,388.0,45.9,54.1,71.1,25.0,36.9,350000.0,62.6,2.6,28.1,2.3,0.5,0.0,3.9,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,418.0,467.0,406.0,403.0,397.0
boston - excel high school,350522,73,436,185.0,17.2,544.0,37.9,62.1,69.5,23.7,24.6,350000.0,33.6,19.5,37.5,7.2,0.6,0.2,1.5,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,463.0,475.0,525.0,463.0,451.0
boston - fenway high school,350540,107,451,111.0,19.7,397.0,53.4,46.6,64.2,20.7,21.4,350000.0,30.2,2.3,60.7,4.3,0.3,0.3,2.0,Boston,"       $1,260,411,345.13",52211.4,"              $24,140.54","       $1,528,412,495.35",66445.7,23002.43,2019.0,467.0,458.0,445.0,451.0,457.0
