school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,Year,year
Centerpoint High School,6-12,Centerpoint School District,18.39,58.0,514.0,67.0,77.0,21.0,0.0,2.0,23.0,4,275,58%,18.97,17.83,16.9,19.14,18.39,79,98,18%,0,5502013,5502000,2022,2022.0
Central High School,7-12,Helena/ West Helena School District,15.5,35.0,493.0,96.0,3.0,1.0,94.0,2.0,97.0,5,335,35%,15.75,13.98,14.89,16.75,15.5,49,58,RV,0,5403019,5403000,2022,2022.0
Central High School,9-12,Little Rock School District,20.76,41.0,2338.0,53.0,29.0,9.0,51.0,11.0,71.0,3,2338,41%,21.53,20.31,19.72,20.88,20.76,778,1826,66%,0,6001001,6001000,2022,2022.0
Charleston High School,7-12,Charleston School District,20.67,39.0,435.0,44.0,89.0,4.0,1.0,6.0,11.0,1,294,39%,21.11,20.13,20.07,20.78,20.67,35,45,49%,0,2402007,2402000,2022,2022.0
Clarendon High School,7-12,Clarendon School District,16.66,40.0,213.0,90.0,30.0,7.0,54.0,9.0,70.0,5,142,40%,16.97,15.5,16.31,17.13,16.66,19,21,RV,0,4802010,4802000,2022,2022.0
Clarksville High School,10-12,Clarksville School District,18.53,61.0,561.0,66.0,49.0,36.0,1.0,13.0,51.0,1,561,61%,19.53,17.99,17.18,18.97,18.53,78,90,41%,0,3601005,3601000,2022,2022.0
Clinton High School,9-12,Clinton School District,19.6,46.0,416.0,63.0,94.0,3.0,0.0,3.0,6.0,1,415,46%,19.86,18.65,18.85,20.45,19.6,34,42,71%,0,7102006,7102000,2022,2022.0
Concord High School,7-12,Concord School District,18.58,39.0,189.0,51.0,95.0,4.0,1.0,1.0,5.0,2,121,39%,19.84,16.47,17.53,19.63,18.58,11,12,RV,0,1201002,1201000,2022,2022.0
Conway High School,10-12,Conway School District,20.24,62.0,2181.0,47.0,54.0,12.0,28.0,6.0,46.0,3,2181,62%,20.71,19.92,19.17,20.57,20.24,680,1188,63%,0,2301006,2301000,2022,2022.0
Corning High School,9-12,Corning School District,18.1,48.0,228.0,71.0,94.0,4.0,1.0,1.0,6.0,2,228,48%,19.06,18.1,16.24,18.59,18.1,56,61,RV,0,1101004,1101000,2022,2022.0
Cossatot River High School,7-12,Cossatot River School District,17.92,45.0,374.0,72.0,59.0,32.0,0.0,9.0,41.0,4,246,45%,18.7,17.46,16.92,18.12,17.92,23,22,RV,0,5707023,5707000,2022,2022.0
Cotter High School,7-12,Cotter School District,18.23,44.0,331.0,65.0,94.0,4.0,0.0,2.0,6.0,1,219,44%,18.78,18.05,16.98,18.6,18.23,39,67,22%,0,302007,302000,2022,2022.0
County Line High School,7-12,County Line School District,19.52,45.0,254.0,68.0,88.0,1.0,2.0,9.0,12.0,1,155,45%,19.68,19.06,18.81,19.94,19.52,17,21,62%,0,2403012,2403000,2022,2022.0
Creative Action Team School,K-12,Hope School District,13.42,91.0,54.0,89.0,13.0,35.0,52.0,0.0,87.0,4,46,91%,13.19,12.1,13.61,14.29,13.42, N/A , N/A ,,0,2903015,2903000,2022,2022.0
Cross County High A New Tech School,7-12,Cross County School District,18.54,46.0,292.0,73.0,88.0,3.0,8.0,1.0,12.0,2,207,46%,19.59,17.41,17.05,19.46,18.54,33,37,RV,0,1901703,1901000,2022,2022.0
Crossett High School,9-12,Crossett School District,17.66,40.0,455.0,56.0,59.0,5.0,34.0,2.0,41.0,5,455,40%,18.19,16.61,16.8,18.48,17.66,85,166,8%,0,201006,201000,2022,2022.0
Cutter-Morning Star High School,7-12,Cutter-Morning Star School District,17.43,47.0,334.0,72.0,75.0,12.0,4.0,9.0,25.0,3,233,47%,18.02,16.31,16.75,18.18,17.43,18,25,RV,0,2601002,2601000,2022,2022.0
Danville High School,9-12,Danville School District,19.0,44.0,245.0,71.0,45.0,50.0,1.0,4.0,55.0,1,245,44%,19.64,17.73,18.11,19.98,19.0, N/A , N/A ,,0,7503006,7503000,2022,2022.0
Dardanelle High School,9-12,Dardanelle School District,21.89,24.0,624.0,64.0,54.0,40.0,2.0,4.0,46.0,1,622,24%,22.18,22.13,20.34,22.15,21.89,86,107,48%,0,7504011,7504000,2022,2022.0
Decatur High School,9-12,Decatur School District,15.89,38.0,171.0,71.0,48.0,36.0,4.0,12.0,52.0,1,171,38%,16.5,14.57,15.79,16.57,15.89,21,20,RV,0,402009,402000,2022,2022.0
Deer K-12 School,K-12,Deer/Mt. Judea School District,20.0,39.0,158.0,68.0,92.0,3.0,1.0,4.0,8.0,1,64,39%,21.44,19.88,17.69,20.31,20.0, N/A , N/A ,,0,5106003,5106000,2022,2022.0
DeQueen High School,10-12,DeQueen School District,18.56,89.0,481.0,69.0,28.0,63.0,1.0,7.0,72.0,4,481,89%,19.34,17.22,17.8,19.15,18.56, N<10 ,13,RV,0,6701003,6701000,2022,2022.0
Dermott High School,7-12,Dermott School District,15.18,41.0,147.0,94.0,3.0,3.0,93.0,1.0,97.0,5,91,41%,15.27,14.36,14.77,15.5,15.18, N/A , N/A ,,0,901003,901000,2022,2022.0
Des Arc High School,7-12,Des Arc School District,19.66,44.0,254.0,70.0,87.0,3.0,9.0,1.0,13.0,5,172,44%,20.07,19.28,19.14,19.97,19.66,16,29,34%,0,5901002,5901000,2022,2022.0
DeWitt High School,9-12,DeWitt School District,19.19,48.0,354.0,57.0,76.0,5.0,14.0,4.0,24.0,5,354,48%,18.99,18.49,18.75,19.96,19.19,45,77,30%,0,101004,101000,2022,2022.0
Dierks High School,7-12,Dierks School District,21.94,74.0,235.0,74.0,91.0,8.0,0.0,1.0,9.0,4,152,74%,23.06,21.16,20.84,21.9,21.94,36,43,26%,0,3102002,3102000,2022,2022.0
Dollarway High School,10-12,Pine Bluff School District,13.35,53.0,163.0,90.0,2.0,1.0,94.0,2.0,98.0,3,163,53%,12.78,12.1,13.78,14.3,13.35,39,59,RV,0,3505010,3505000,2022,2022.0
Don Tyson School Of Innovation,K-12,Springdale School District,19.84,43.0,2116.0,58.0,42.0,47.0,2.0,8.0,58.0,1,1098,43%,20.55,19.85,18.24,20.21,19.84,204,264,43%,0,7207703,7207000,2022,2022.0
Dover High School,9-12,Dover School District,19.39,45.0,380.0,49.0,91.0,4.0,0.0,4.0,9.0,1,380,45%,20.51,18.87,17.47,20.1,19.39,79,95,24%,0,5802006,5802000,2022,2022.0
Drew Central High School,9-12,Drew Central School District,17.48,47.0,316.0,65.0,66.0,6.0,26.0,3.0,34.0,5,316,47%,17.93,16.48,16.75,18.13,17.48,58,61,RV,0,2202005,2202000,2022,2022.0
Driven Virtual Academy,K-12,Pulaski County Special School District,16.67,16.0,303.0,48.0,29.0,9.0,57.0,5.0,71.0,3,152,16%,18.11,14.78,15.33,17.56,16.67, N<10 ,4,RV,0,6003703,6003000,2022,2022.0
Dumas High School,9-12,Dumas School District,16.15,43.0,314.0,74.0,17.0,15.0,66.0,3.0,83.0,5,314,43%,16.17,15.19,15.96,16.74,16.15,74,131,RV,0,2104021,2104000,2022,2022.0
Earle High School,7-12,Earle School District,14.64,37.0,204.0,94.0,0.0,1.0,95.0,3.0,100.0,2,139,37%,13.96,12.72,15.4,15.72,14.64,21,36,RV,0,1802007,1802000,2022,2022.0
East Poinsett Co. High School,7-12,East Poinsett Co. School District,18.65,56.0,276.0,72.0,75.0,6.0,13.0,6.0,25.0,2,185,56%,19.93,17.48,17.72,19.02,18.65,38,49,35%,0,5608037,5608000,2022,2022.0
El Dorado High School,9-12,El Dorado School District,17.56,46.0,1303.0,58.0,39.0,10.0,46.0,6.0,61.0,4,1303,46%,18.12,16.25,17.2,18.08,17.56,349,570,34%,0,7001012,7001000,2022,2022.0
Elkins High School,9-12,Elkins School District,17.68,50.0,418.0,36.0,84.0,5.0,1.0,9.0,16.0,1,418,50%,18.05,16.64,16.76,18.68,17.68,63,61,23%,0,7201002,7201000,2022,2022.0
Emerson High School,7-12,Emerson-Taylor-Bradley School District,20.33,47.0,156.0,49.0,67.0,4.0,23.0,5.0,33.0,4,96,47%,21.93,20.47,18.8,19.93,20.33, N<10 ,12,RV,0,1408002,1408000,2022,2022.0
England High School,7-12,England School District,17.4,40.0,288.0,75.0,45.0,9.0,41.0,5.0,55.0,3,187,40%,18.05,16.64,16.29,18.24,17.4,38,61,RV,0,4302018,4302000,2022,2022.0
ESTEM High School,10-12,ESTEM Public Charter School,19.11,67.0,528.0,58.0,21.0,9.0,62.0,8.0,79.0,3,528,67%,19.57,18.44,18.19,19.69,19.11,195,404,47%,1,6047703,6047700,2022,2022.0
Eureka Springs High School,9-12,Eureka Springs School District,19.86,45.0,222.0,51.0,84.0,10.0,3.0,3.0,16.0,1,222,45%,21.51,18.73,18.41,20.67,19.86,25,30,60%,0,802007,802000,2022,2022.0
Farmington High School,10-12,Farmington School District,20.12,65.0,639.0,24.0,78.0,10.0,3.0,9.0,22.0,1,639,65%,21.44,19.36,18.46,20.57,20.12,182,286,54%,0,7202012,7202000,2022,2022.0
Fayetteville High School,9-12,Fayetteville School District,23.45,46.0,2685.0,27.0,64.0,14.0,9.0,13.0,36.0,1,2685,46%,24.56,23.6,21.61,23.38,23.45,913,1595,65%,0,7203020,7203000,2022,2022.0
Fayetteville Virtual Academy A District Conversion Charter School,K-12,Fayetteville School District,20.45,42.0,179.0,15.0,78.0,3.0,8.0,11.0,22.0,1,102,42%,21.5,20.55,18.18,21.32,20.45,10,17,RV,0,7203703,7203000,2022,2022.0
Flippin High School,9-12,Flippin School District,18.9,45.0,267.0,69.0,92.0,3.0,0.0,5.0,8.0,1,266,45%,19.77,18.42,17.37,19.55,18.9,14,15,RV,0,4501002,4501000,2022,2022.0
Fordyce High School,7-12,Fordyce School District,17.52,48.0,361.0,46.0,36.0,4.0,58.0,1.0,64.0,4,228,48%,17.8,16.98,17.07,17.52,17.52,37,63,RV,0,2002007,2002000,2022,2022.0
Foreman High School,7-12,Foreman School District,17.4,53.0,235.0,66.0,77.0,8.0,8.0,6.0,23.0,4,154,53%,18.0,16.77,16.77,17.69,17.4,31,51,RV,0,4102010,4102000,2022,2022.0
Forrest City High School,9-12,Forrest City School District,14.58,42.0,580.0,73.0,4.0,2.0,92.0,1.0,96.0,2,580,42%,14.63,12.97,14.91,15.31,14.58,81,85,RV,0,6201011,6201000,2022,2022.0
Fouke High School,9-12,Fouke School District,18.96,36.0,337.0,59.0,96.0,3.0,0.0,1.0,4.0,4,337,36%,19.85,18.75,17.04,19.56,18.96,21,13,RV,0,4603010,4603000,2022,2022.0
Fountain Lake Charter High School,9-12,Fountain Lake School District,19.58,52.0,406.0,32.0,86.0,6.0,1.0,6.0,14.0,3,403,52%,19.88,18.92,18.7,20.27,19.58,59,77,30%,0,2602703,2602000,2022,2022.0
Future School Of Fort Smith,9-12,Future School Of Fort Smith,15.58,40.0,241.0,73.0,48.0,22.0,18.0,12.0,52.0,1,241,40%,15.93,14.28,15.2,16.35,15.58, N/A , N/A ,,1,6640703,6640700,2022,2022.0
Genoa Central High School,10-12,Genoa Central School District,19.44,76.0,289.0,40.0,97.0,1.0,0.0,2.0,3.0,4,289,76%,20.27,18.99,18.21,19.73,19.44,62,78,42%,0,4602006,4602000,2022,2022.0
Gentry High School,9-12,Gentry School District,18.64,30.0,505.0,45.0,61.0,20.0,0.0,19.0,39.0,1,505,30%,19.04,17.77,17.56,19.69,18.64,47,46,46%,0,403017,403000,2022,2022.0
Glen Rose High School,9-12,Glen Rose School District,18.51,43.0,304.0,34.0,89.0,6.0,0.0,5.0,11.0,3,304,43%,18.58,17.42,18.19,18.75,18.51,22,33,36%,0,3002009,3002000,2022,2022.0
Gosnell High School,7-12,Gosnell School District,19.19,42.0,612.0,69.0,61.0,8.0,25.0,6.0,39.0,2,410,42%,19.29,18.32,18.78,19.59,19.19,35,61,RV,0,4708031,4708000,2022,2022.0
Graduate Arkansas  Charter High,9-12,Graduate Arkansas  Charter,15.68,8.0,381.0,99.0,35.0,12.0,44.0,9.0,65.0,3,381,8%,16.6,14.44,14.84,15.88,15.68, N/A , N/A ,,1,6052703,6052700,2022,2022.0
Gravette High School,9-12,Gravette School District,19.92,44.0,616.0,33.0,82.0,8.0,0.0,9.0,18.0,1,616,44%,20.44,19.3,18.98,20.35,19.92,59,37,49%,0,404022,404000,2022,2022.0
Green Forest High School,9-12,Green Forest School District,17.19,36.0,441.0,68.0,38.0,48.0,0.0,15.0,62.0,1,441,36%,17.93,15.55,16.87,17.7,17.19,55,78,31%,0,803012,803000,2022,2022.0
Greenbrier High School,10-12,Greenbrier School District,20.89,71.0,817.0,33.0,92.0,3.0,1.0,4.0,8.0,3,817,71%,21.28,20.55,20.05,21.08,20.89,425,741,38%,0,2303017,2303000,2022,2022.0
Greene County Tech High School,10-12,Greene County Tech School District,18.79,70.0,798.0,35.0,90.0,4.0,3.0,3.0,10.0,2,797,70%,19.37,17.58,18.13,19.45,18.79,233,439,29%,0,2807008,2807000,2022,2022.0
Greenland High School,9-12,Greenland School District,19.48,37.0,269.0,66.0,83.0,9.0,0.0,7.0,17.0,1,269,37%,20.38,19.32,17.6,19.62,19.48,20,26,RV,0,7204028,7204000,2022,2022.0
Greenwood High School,10-12,Greenwood School District,21.39,74.0,879.0,20.0,85.0,5.0,0.0,9.0,15.0,1,875,74%,21.8,21.09,20.49,21.5,21.39,202,313,86%,0,6602043,6602000,2022,2022.0
Gurdon High School,9-12,Gurdon School District,17.65,34.0,209.0,72.0,51.0,20.0,26.0,3.0,49.0,4,209,34%,18.13,16.35,16.39,19.03,17.65,33,34,RV,0,1003018,1003000,2022,2022.0
Guy-Perkins High School,7-12,Guy-Perkins School District,16.92,40.0,149.0,65.0,85.0,1.0,11.0,3.0,15.0,3,107,40%,16.92,15.62,17.27,17.31,16.92, N<10 ,12,RV,0,2304022,2304000,2022,2022.0
Haas Hall Academy,7-12,Haas Hall Academy,28.14,61.0,433.0,5.0,65.0,9.0,4.0,22.0,35.0,1,289,61%,29.18,28.79,26.61,27.38,28.14,235,609,60%,1,7240703,7240700,2022,2022.0
Haas Hall Academy At The Lane,7-12,Haas Hall Academy,27.49,52.0,255.0,15.0,64.0,17.0,2.0,17.0,36.0,1,167,52%,29.63,28.14,25.31,26.29,27.49,121,218,66%,1,7240709,7240700,2022,2022.0
Haas Hall Academy Jones Center,7-12,Haas Hall Academy,22.55,58.0,155.0,17.0,51.0,35.0,4.0,10.0,49.0,1,118,58%,23.24,22.39,21.27,22.45,22.55,87,166,59%,1,7240706,7240700,2022,2022.0
Haas Hall Bentonville,7-12,Haas Hall Academy,27.47,58.0,405.0,4.0,51.0,9.0,4.0,36.0,49.0,1,248,58%,28.38,28.3,26.72,26.13,27.47,215,466,71%,1,7240712,7240700,2022,2022.0
Hackett High School,7-12,Hackett School District,18.03,34.0,327.0,64.0,87.0,3.0,1.0,9.0,13.0,1,231,34%,19.19,17.35,16.7,18.41,18.03,27,35,RV,0,6603048,6603000,2022,2022.0
Hamburg High School,9-12,Hamburg School District,17.75,50.0,498.0,56.0,58.0,20.0,21.0,2.0,42.0,5,498,50%,17.92,16.87,17.38,18.02,17.75,74,102,21%,0,203018,203000,2022,2022.0
Hampton High School,7-12,Hampton School District,17.03,39.0,258.0,72.0,69.0,5.0,25.0,1.0,31.0,4,168,39%,17.65,15.84,15.61,18.19,17.03,28,28,RV,0,701002,701000,2022,2022.0
Har-Ber High School,10-12,Springdale School District,20.49,57.0,2274.0,53.0,42.0,43.0,2.0,13.0,58.0,1,2273,57%,21.17,20.28,19.36,20.58,20.49,749,1204,61%,0,7207062,7207000,2022,2022.0
Harmony Grove High School,7-12,Harmony Grove School District (Ouachita),17.96,49.0,423.0,35.0,76.0,4.0,17.0,3.0,24.0,4,284,49%,18.26,17.28,16.81,18.6,17.96,18,17,71%,0,5205029,5205000,2022,2022.0
Harmony Grove High School,10-12,Harmony Grove School District (Saline),17.85,66.0,299.0,27.0,92.0,4.0,2.0,2.0,8.0,3,299,66%,18.1,16.84,17.58,18.27,17.85,62,99,RV,0,6304030,6304000,2022,2022.0
Harrisburg High School,7-12,Harrisburg School District,18.53,39.0,480.0,70.0,90.0,5.0,4.0,2.0,10.0,2,300,39%,19.32,17.0,18.19,18.91,18.53,30,38,32%,0,5602009,5602000,2022,2022.0
Harrison High School,9-12,Harrison School District,20.49,49.0,868.0,42.0,91.0,5.0,1.0,4.0,9.0,1,868,49%,21.01,20.29,19.79,20.33,20.49,82,82,57%,0,503019,503000,2022,2022.0
Hazen High School,7-12,Hazen School District,17.26,57.0,271.0,70.0,80.0,3.0,14.0,2.0,20.0,5,176,57%,17.83,16.66,17.0,17.0,17.26,17,22,RV,0,5903012,5903000,2022,2022.0
Heber Springs High School,9-12,Heber Springs School District,21.07,39.0,484.0,40.0,92.0,5.0,0.0,2.0,8.0,2,484,39%,21.29,21.08,19.81,21.51,21.07,48,46,39%,0,1202006,1202000,2022,2022.0
Hector High School,7-12,Hector School District,19.41,33.0,306.0,72.0,94.0,4.0,0.0,2.0,6.0,1,192,33%,20.48,18.62,18.31,19.66,19.41, N<10 ,13,77%,0,5803010,5803000,2022,2022.0
Hermitage High School,7-12,Hermitage School District,15.87,46.0,211.0,68.0,57.0,29.0,13.0,0.0,43.0,5,142,46%,15.52,14.19,16.16,17.03,15.87,11,13,RV,0,601007,601000,2022,2022.0
Highland High School,9-12,Highland School District,18.24,44.0,526.0,71.0,93.0,3.0,1.0,3.0,7.0,2,525,44%,18.79,17.35,17.83,18.56,18.24,56,67,54%,0,6804010,6804000,2022,2022.0
Hillcrest High School,7-12,Hillcrest School District,17.23,40.0,181.0,59.0,96.0,3.0,0.0,1.0,4.0,2,122,40%,16.86,17.64,16.59,17.23,17.23, N<10 ,11,RV,0,3809023,3809000,2022,2022.0
Hope High School,9-12,Hope School District,16.79,41.0,590.0,73.0,22.0,34.0,42.0,2.0,78.0,4,588,41%,18.04,15.37,15.69,17.47,16.79,45,53,RV,0,2903012,2903000,2022,2022.0
Horatio High School,7-12,Horatio School District,17.49,42.0,321.0,81.0,68.0,27.0,1.0,4.0,32.0,4,221,42%,18.03,15.6,16.8,18.69,17.49,41,78,RV,0,6703013,6703000,2022,2022.0
Hot Springs World Class High School,10-12,Hot Springs School District,16.99,51.0,739.0,73.0,31.0,24.0,34.0,11.0,69.0,3,734,51%,17.82,16.2,16.04,17.49,16.99,48,59,51%,0,2603703,2603000,2022,2022.0
Hoxie High School,7-12,Hoxie School District,17.56,54.0,366.0,67.0,91.0,2.0,2.0,5.0,9.0,2,263,54%,18.14,17.32,16.43,17.62,17.56,35,53,RV,0,3804010,3804000,2022,2022.0
Huntsville High School,9-12,Huntsville School District,17.37,37.0,622.0,62.0,78.0,11.0,1.0,9.0,22.0,1,622,37%,17.42,16.42,16.88,18.01,17.37,66,66,32%,0,4401003,4401000,2022,2022.0
Izard Co. Cons. High School,9-12,Izard County Consolidated School District,18.09,37.0,193.0,72.0,94.0,3.0,1.0,2.0,6.0,2,193,37%,17.88,17.15,17.94,18.64,18.09,10,12,RV,0,3306015,3306000,2022,2022.0
Jacksonville High School,9-12,Jacksonville North Pulaski School District,16.16,37.0,1168.0,57.0,29.0,8.0,58.0,4.0,71.0,3,1168,37%,16.7,14.89,15.89,16.72,16.16,162,184,23%,0,6004009,6004000,2022,2022.0
Jacksonville Lighthouse College Prep Academy High,7-12,Jacksonville Lighthouse Charter,16.63,39.0,179.0,46.0,15.0,11.0,70.0,4.0,85.0,3,116,39%,17.54,16.17,15.33,17.17,16.63,13,10,RV,1,6050703,6050700,2022,2022.0
Jasper High School,7-12,Jasper School District,16.38,45.0,208.0,61.0,99.0,0.0,1.0,0.0,1.0,1,145,45%,17.13,15.06,16.28,16.69,16.38, N/A , N/A ,,0,5102006,5102000,2022,2022.0
Jessieville High School,9-12,Jessieville School District,19.17,40.0,273.0,66.0,83.0,5.0,2.0,10.0,17.0,3,273,40%,19.77,18.92,17.9,19.73,19.17,75,118,25%,0,2604030,2604000,2022,2022.0
Joe T. Robinson High School,9-12,Pulaski County Special School District,19.53,51.0,783.0,24.0,54.0,9.0,33.0,4.0,46.0,3,782,51%,20.59,19.27,17.74,19.97,19.53,232,357,31%,0,6003127,6003000,2022,2022.0
Junction City High School,7-12,Junction City School District,16.25,53.0,318.0,68.0,54.0,3.0,42.0,1.0,46.0,4,209,53%,16.83,15.35,15.25,16.93,16.25,25,20,RV,0,7003028,7003000,2022,2022.0
Kingston High School,7-12,Jasper School District,15.73,43.0,109.0,51.0,90.0,3.0,0.0,7.0,10.0,1,80,43%,16.53,14.93,14.27,16.27,15.73, N/A , N/A ,,0,5102008,5102000,2022,2022.0
KIPP Blytheville Collegiate High School,7-12,KIPP Delta Public Schools,18.0,64.0,134.0,86.0,11.0,7.0,76.0,6.0,89.0,5,75,64%,17.81,17.94,17.44,18.31,18.0, N/A , N/A ,,1,5440706,5440700,2022,2022.0
KIPP Delta Collegiate High School,9-12,KIPP Delta Public Schools,16.53,57.0,199.0,88.0,3.0,1.0,95.0,1.0,97.0,5,199,57%,15.91,15.97,16.09,17.47,16.53, N/A , N/A ,,1,5440703,5440700,2022,2022.0
Kirby High School,7-12,Kirby School District,17.3,41.0,198.0,70.0,82.0,13.0,1.0,5.0,18.0,4,130,41%,18.17,16.3,16.78,17.39,17.3, N/A , N/A ,,0,5503011,5503000,2022,2022.0
Lafayette County High School,7-12,Lafayette County School District,16.04,35.0,252.0,82.0,36.0,6.0,54.0,4.0,64.0,4,156,35%,16.61,13.93,15.61,17.43,16.04,15,15,RV,0,3704013,3704000,2022,2022.0
Lake Hamilton High School,10-12,Lake Hamilton School District,19.47,79.0,936.0,59.0,75.0,14.0,3.0,8.0,25.0,3,936,79%,19.91,18.91,18.71,19.86,19.47,226,421,29%,0,2605034,2605000,2022,2022.0
Lakeside High School,9-12,Lakeside School District (Chicot),15.38,43.0,267.0,78.0,7.0,16.0,75.0,1.0,93.0,5,267,43%,15.56,13.82,14.93,16.57,15.38,21,20,RV,0,903018,903000,2022,2022.0
Lakeside High School,9-12,Lakeside School District (Garland),19.93,53.0,1112.0,41.0,72.0,13.0,8.0,8.0,28.0,3,1109,53%,20.55,19.9,18.38,20.2,19.93,246,503,56%,0,2606044,2606000,2022,2022.0
Lamar High School,9-12,Lamar School District,18.39,33.0,358.0,59.0,88.0,6.0,2.0,4.0,12.0,1,358,33%,18.49,17.28,17.46,19.79,18.39,21,24,RV,0,3604019,3604000,2022,2022.0
Lavaca High School,9-12,Lavaca School District,19.53,50.0,260.0,43.0,81.0,9.0,1.0,9.0,19.0,1,260,50%,20.08,18.94,19.2,19.45,19.53,42,49,RV,0,6605057,6605000,2022,2022.0
Lead Hill High School,7-12,Lead Hill School District,21.0,24.0,190.0,72.0,93.0,1.0,0.0,6.0,7.0,1,126,24%,22.56,21.31,18.75,20.69,21.0, N/A , N/A ,,0,506032,506000,2022,2022.0
Lee High School,7-12,Lee County School District,14.25,39.0,255.0,87.0,7.0,4.0,90.0,0.0,93.0,5,171,39%,13.45,13.75,14.15,15.2,14.25, N<10 ,12,RV,0,3904011,3904000,2022,2022.0
Lincoln High School,9-12,Lincoln School District,18.68,38.0,349.0,65.0,77.0,11.0,1.0,11.0,23.0,1,349,38%,19.61,17.55,16.98,19.75,18.68,14,19,RV,0,7205706,7205000,2022,2022.0
LISA Academy Arkansas Hybrid School,K-12,LISA Academy,15.62,56.0,222.0,56.0,25.0,11.0,54.0,10.0,75.0,3,77,56%,16.23,14.54,14.69,16.62,15.62, N<10 ,4,RV,1,6041709,6041700,2022,2022.0
LISA Academy North High School,9-12,LISA Academy,19.77,64.0,299.0,57.0,25.0,27.0,39.0,9.0,75.0,3,299,64%,19.77,19.23,19.43,20.3,19.77,83,126,51%,1,6041706,6041700,2022,2022.0
LISA Academy West High  School,9-12,LISA Academy,18.83,64.0,412.0,67.0,14.0,38.0,40.0,8.0,86.0,3,412,64%,18.9,18.3,18.67,18.79,18.83,149,293,30%,1,6041703,6041700,2022,2022.0
Little Rock Hall Steam Magnet High School,9-12,Little Rock School District,14.98,24.0,335.0,76.0,9.0,13.0,77.0,1.0,91.0,3,335,24%,15.38,13.72,14.5,15.84,14.98,33,30,RV,0,6001083,6001000,2022,2022.0
Little Rock Southwest High School,9-12,Little Rock School District,14.25,31.0,2014.0,79.0,4.0,31.0,64.0,1.0,96.0,3,2013,31%,14.13,12.66,14.65,15.06,14.25,306,302,8%,0,6001082,6001000,2022,2022.0
Little Rock West High School Of Innovation,9-12,Little Rock School District,17.2,38.0,325.0,62.0,30.0,8.0,56.0,6.0,70.0,3,325,38%,17.92,16.16,16.33,17.74,17.2,76,152,32%,0,6001081,6001000,2022,2022.0
Lonoke High School,9-12,Lonoke School District,18.98,40.0,487.0,60.0,63.0,9.0,25.0,3.0,37.0,3,487,40%,19.96,17.91,17.91,19.44,18.98,62,76,18%,0,4301029,4301000,2022,2022.0
Magazine High School,7-12,Magazine School District,18.93,38.0,209.0,71.0,91.0,2.0,1.0,5.0,9.0,1,143,38%,19.07,18.18,17.68,19.96,18.93,11,13,RV,0,4202008,4202000,2022,2022.0
Magnet Cove High School,7-12,Magnet Cove School District,18.77,49.0,326.0,35.0,92.0,2.0,1.0,5.0,8.0,3,205,49%,19.0,18.36,17.69,19.51,18.77,26,25,60%,0,3003014,3003000,2022,2022.0
Magnolia High School,9-12,Magnolia School District,17.37,47.0,780.0,58.0,36.0,6.0,54.0,4.0,64.0,4,780,47%,17.45,16.48,16.89,17.99,17.37,112,197,34%,0,1402009,1402000,2022,2022.0
Malvern High School,9-12,Malvern School District,17.8,35.0,575.0,66.0,46.0,11.0,31.0,11.0,54.0,3,572,35%,18.81,16.62,16.88,18.17,17.8,137,174,10%,0,3004023,3004000,2022,2022.0
Mammoth Spring High School,7-12,Mammoth Spring School District,17.44,41.0,223.0,72.0,96.0,2.0,0.0,2.0,4.0,2,147,41%,18.06,16.78,17.11,17.72,17.44, N<10 ,13,RV,0,2501002,2501000,2022,2022.0
Manila High School,7-12,Manila School District,18.57,67.0,466.0,57.0,96.0,3.0,0.0,0.0,4.0,2,315,67%,19.03,17.6,17.68,19.57,18.57,55,74,14%,0,4712044,4712000,2022,2022.0
Mansfield High School,9-12,Mansfield School District,19.15,41.0,254.0,61.0,85.0,4.0,2.0,9.0,15.0,1,254,41%,21.0,17.98,17.81,19.23,19.15,13,24,RV,0,6606062,6606000,2022,2022.0
Marion High School,10-12,Marion School District,17.45,65.0,850.0,77.0,36.0,6.0,53.0,5.0,64.0,2,850,65%,17.87,16.8,16.85,17.62,17.45,268,381,17%,0,1804015,1804000,2022,2022.0
Marked Tree High School,7-12,Marked Tree School District,15.33,68.0,234.0,71.0,59.0,4.0,36.0,1.0,41.0,2,152,68%,15.89,13.17,15.28,16.42,15.33,17,42,RV,0,5604017,5604000,2022,2022.0
Marmaduke High School,7-12,Marmaduke School District,17.42,40.0,299.0,52.0,96.0,3.0,0.0,0.0,4.0,2,207,40%,17.77,16.21,16.42,18.74,17.42, N<10 , N/A ,,0,2803017,2803000,2022,2022.0
Marshall High School,7-12,Searcy County School District,17.83,46.0,358.0,70.0,90.0,5.0,0.0,5.0,10.0,1,246,46%,18.91,17.81,16.26,17.96,17.83,21,23,RV,0,6502006,6502000,2022,2022.0
