school_name,Grade,District Name, Average % ACT Composite Score ,perc_test_taking_grades_9_12_students,number_of_students,perc_frl,perc_white,perc_hispanic,perc_african_american,perc_other_race,perc_minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,ACT_reading,ACT_english,ACT_math,ACT_science,Average ACT Composite Score,number_AP_exam_taking_students,number_AP_exams_taken,% of Exams that scored 3 or Above,is_open_enrollment_charter,School LEA,DLEA,Year,year
Stuttgart High School,9-12,Stuttgart School District,17.91,45.0,471.0,41.0,48.0,9.0,39.0,3.0,52.0,5,471,45%,18.59,16.41,18.06,17.99,17.91,107,183,21%,0,104025,104000,2022,2022.0
Sylvan Hills High School,10-12,Pulaski County Special School District,18.57,57.0,1017.0,38.0,40.0,7.0,47.0,7.0,60.0,3,1016,57%,18.93,17.95,17.72,19.07,18.57,270,438,43%,0,6003128,6003000,2022,2022.0
Taylor High School,7-12,Emerson-Taylor-Bradley School District,19.68,55.0,236.0,25.0,96.0,3.0,0.0,1.0,4.0,4,150,55%,20.32,19.0,18.72,20.16,19.68, N/A , N/A ,,0,1408019,1408000,2022,2022.0
The Academies At Jonesboro High School,10-12,Jonesboro School District,17.55,62.0,1386.0,66.0,35.0,16.0,44.0,5.0,65.0,2,1385,62%,18.32,16.21,17.16,17.95,17.55,569,934,26%,0,1608027,1608000,2022,2022.0
The Academies Of West Memphis Charter School,10-12,West Memphis School District,16.82,49.0,952.0,72.0,19.0,2.0,78.0,1.0,81.0,2,952,49%,16.74,16.2,16.57,17.23,16.82,140,172,19%,0,1803703,1803000,2022,2022.0
Timbo High School,7-12,Mountain View School District,20.2,34.0,108.0,88.0,94.0,4.0,0.0,2.0,6.0,2,62,34%,20.9,20.4,17.9,20.4,20.2, N/A , N/A ,,0,6901016,6901000,2022,2022.0
Trumann High School,9-12,Trumann School District,17.02,43.0,457.0,70.0,76.0,8.0,14.0,3.0,24.0,2,451,43%,17.76,15.98,16.57,17.12,17.02,68,120,RV,0,5605023,5605000,2022,2022.0
Tuckerman High School,8-12,Jackson Co. School District,20.31,61.0,297.0,62.0,89.0,2.0,5.0,4.0,11.0,2,227,61%,20.92,20.24,18.81,20.41,20.31,60,84,30%,0,3405025,3405000,2022,2022.0
Two Rivers High School,5-12,Two Rivers School District,18.15,43.0,470.0,78.0,76.0,17.0,1.0,7.0,24.0,1,249,43%,18.54,17.79,17.1,18.72,18.15,16,18,RV,0,7510019,7510000,2022,2022.0
Umpire K-12 School,K-12,Cossatot River School District,15.25,40.0,92.0,77.0,71.0,29.0,0.0,0.0,29.0,4,25,40%,16.5,13.0,16.0,14.75,15.25, N<10 , N/A ,,0,5707024,5707000,2022,2022.0
Valley Springs High School,9-12,Valley Springs School District,20.09,53.0,267.0,37.0,96.0,3.0,0.0,1.0,4.0,1,267,53%,20.74,19.62,18.53,20.93,20.09,36,51,76%,0,505027,505000,2022,2022.0
