District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
POTTSVILLE SCHOOL DISTRICT,POTTSVILLE HIGH SCHOOL,123,17.6,17.90%,18.6,50.40%,19,31.70%,18.8,24.40%,10.60%,Arkansas,35.2389165,-93.0287288,500 Apache Drive,72858,Pope County,Pottsville,5115,"500 Apache Drive, Pottsville, Arkansas, 72858",951202,5115951202,2022,951202,Pope County,Arkansas,401,6,229,91,75,3137,136,189,1341,409,274,565,223,1.5,57.1,22.7,18.7,4.3,6,42.7,13,8.7,18,7.1,1923,60703,108574,5117,410,8,4707,92,4378,85.6,182,3.6,0,0,15,0.3,0,0,0,0,132,2.6,17.6,19
RUSSELLVILLE SCHOOL DISTRICT,RUSSELLVILLE HIGH SCHOOL,283,18.4,24.00%,18.5,51.90%,19.8,37.10%,19.8,29.70%,16.60%,Arkansas,35.2578473,-93.1179535,2203 South Knoxville Avenue,72802,Pope County,Russellville,5115,"2203 South Knoxville Avenue, Russellville, Arkansas, 72802",951601,5115951601,2022,951601,Pope County,Arkansas,578,75,92,384,27,3793,203,354,1500,841,248,410,237,13,15.9,66.4,4.7,5.4,9.3,39.5,22.2,6.5,10.8,6.2,2583,40433,67158,6038,1851,30.7,4187,69.3,3778,62.6,66,1.1,0,0,24,0.4,28,0.5,0,0,291,4.8,18.4,19.8
DES ARC SCHOOL DISTRICT,DES ARC HIGH SCHOOL,32,18.2,25.00%,18.7,62.50%,18.8,31.30%,19.1,28.10%,12.50%,Arkansas,34.977855,-91.4990196,601 Main Street,72040,Prairie County,Des Arc,5117,"601 Main Street, Des Arc, Arkansas, 72040",460100,5117460100,2022,460100,Prairie County,Arkansas,299,34,99,147,19,2607,175,217,1278,396,239,143,159,11.4,33.1,49.2,6.4,6.7,8.3,49,15.2,9.2,5.5,6.1,1449,37854,60930,3557,135,3.8,3422,96.2,3110,87.4,193,5.4,0,0,0,0,0,0,0,0,119,3.3,18.2,18.8
HAZEN SCHOOL DISTRICT,HAZEN HIGH SCHOOL,43,16.6,11.60%,15.3,32.60%,16.4,25.60%,16.4,11.60%,7.00%,Arkansas,34.7843835,-91.580752,477 North Hazen Avenue,72064,Prairie County,Hazen,5117,"477 North Hazen Avenue, Hazen, Arkansas, 72064",460200,5117460200,2022,460200,Prairie County,Arkansas,231,12,104,65,50,2084,139,110,663,559,102,355,156,5.2,45,28.1,21.6,6.7,5.3,31.8,26.8,4.9,17,7.5,1089,63177,77028,2958,36,1.2,2922,98.8,2421,81.8,375,12.7,4,0.1,17,0.6,0,0,17,0.6,88,3,16.6,16.4
LITTLE ROCK SCHOOL DISTRICT,CENTRAL HIGH SCHOOL,414,19.3,31.20%,19.3,53.60%,20.1,41.50%,20,36.20%,25.80%,Arkansas,34.7367998,-92.2986873,1500 S Little Rock Nine Way,72202,Pulaski County,Little Rock,5119,"1500 S Little Rock Nine Way, Little Rock, Arkansas, 72202",4500,5119004500,2022,4500,Pulaski County,Arkansas,549,31,36,482,0,1256,41,87,481,310,81,158,98,5.6,6.6,87.8,0,3.3,6.9,38.3,24.7,6.4,12.6,7.8,747,34550,49524,2130,65,3.1,2065,96.9,227,10.7,1766,82.9,5,0.2,24,1.1,0,0,0,0,43,2,19.3,20.1
LITTLE ROCK SCHOOL DISTRICT,PARKVIEW MAGNET HIGH SCHOOL,254,17,13.80%,16.1,35.00%,17.7,24.40%,18.2,21.30%,9.40%,Arkansas,34.7314138,-92.3702359,2501 John Barrow Road,72204,Pulaski County,Little Rock,5119,"2501 John Barrow Road, Little Rock, Arkansas, 72204",2403,5119002403,2022,2403,Pulaski County,Arkansas,351,18,94,114,125,2707,29,155,846,666,417,388,206,5.1,26.8,32.5,35.6,1.1,5.7,31.3,24.6,15.4,14.3,7.6,1697,48750,58579,4005,172,4.3,3833,95.7,806,20.1,2820,70.4,0,0,67,1.7,0,0,0,0,140,3.5,17,17.7
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK WEST HIGH SCHOOL OF INNOVATION,51,16.4,9.80%,14.7,27.50%,16.7,17.60%,16.7,15.70%,5.90%,Arkansas,34.8074017,-92.4591332,5619 Ranch Drive,72223,Pulaski County,Little Rock,5119,"5619 Ranch Drive, Little Rock, Arkansas, 72223",4205,5119004205,2022,4205,Pulaski County,Arkansas,317,0,61,127,129,2974,31,200,270,652,80,971,770,0,19.2,40.1,40.7,1,6.7,9.1,21.9,2.7,32.6,25.9,2188,66050,99218,4580,299,6.5,4281,93.5,2534,55.3,829,18.1,0,0,621,13.6,0,0,0,0,297,6.5,16.4,16.7
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK SOUTHWEST HIGH SCHOOL,291,14.4,0.70%,12.3,9.30%,13.3,4.80%,14.5,2.10%,0.30%,Arkansas,34.6622517,-92.3858553,9715 Mabelvale Pike,72103,Pulaski County,Little Rock,5119,"9715 Mabelvale Pike, Little Rock, Arkansas, 72103",4105,5119004105,2022,4105,Pulaski County,Arkansas,532,97,288,147,0,3882,318,433,1398,929,152,391,261,18.2,54.1,27.6,0,8.2,11.2,36,23.9,3.9,10.1,6.7,2333,50868,62263,6598,1777,26.9,4821,73.1,981,14.9,3704,56.1,30,0.5,0,0,0,0,48,0.7,58,0.9,14.4,13.3
LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK HALL STEAM MAGNET HIGH SCHOOL,66,14.1,0.00%,13.2,13.60%,15,7.60%,15.5,1.50%,0.00%,Arkansas,34.7605212,-92.3474361,6700 H Street,72205,Pulaski County,Little Rock,5119,"6700 H Street, Little Rock, Arkansas, 72205",2104,5119002104,2022,2104,Pulaski County,Arkansas,256,0,54,143,59,4024,17,58,655,338,80,1834,1042,0,21.1,55.9,23,0.4,1.4,16.3,8.4,2,45.6,25.9,2367,111026,130209,5420,0,0,5420,100,4301,79.4,790,14.6,27,0.5,138,2.5,0,0,0,0,164,3,14.1,15
NORTH LITTLE ROCK SCHOOL DISTRICT,NORTH LITTLE ROCK HIGH SCHOOL,333,16.6,13.20%,16.1,32.70%,17.2,22.50%,17.2,15.60%,7.50%,Arkansas,34.7765663,-92.2690704,201 West 22nd Street,72114,Pulaski County,North Little Rock,5119,"201 West 22nd Street, North Little Rock, Arkansas, 72114",2900,5119002900,2022,2900,Pulaski County,Arkansas,137,72,65,0,0,756,27,87,247,259,29,80,27,52.6,47.4,0,0,3.6,11.5,32.7,34.3,3.8,10.6,3.6,565,30625,34569,1190,174,14.6,1016,85.4,93,7.8,900,75.6,0,0,0,0,0,0,0,0,23,1.9,16.6,17.2
