District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),Math Scores,RW Scores
RESPONSIVE ED SOLUTIONS PREMIER HIGH SCHOOL OF NOR,PREMIER HIGH SCHOOL OF NORTH LITTLE ROCK,11,14.4,0.00%,13.5,9.10%,14.8,0.00%,15.8,0.00%,0.00%,Arkansas,34.756104,-92.2677497,,N/A,Pulaski County,North Little Rock,5119,,2500,5119002500,2022,2500,Pulaski County,Arkansas,129,0,34,37,58,996,31,59,186,133,106,232,249,0,26.4,28.7,45,3.1,5.9,18.7,13.4,10.6,23.3,25,823,47011,64247,1207,59,4.9,1148,95.1,649,53.8,372,30.8,6,0.5,43,3.6,8,0.7,22,1.8,48,4,14.4,14.8
ARKANSAS SCHOOL FOR THE BLIND,ARKANSAS SCHOOL FOR THE BLIND HIGH SCHOOL,10,15.3,0.00%,14.7,40.00%,19.5,30.00%,17.3,0.00%,0.00%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,15.3,19.5
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-ALEXANDER,15,14.6,6.70%,11.9,6.70%,14.1,6.70%,14.5,6.70%,6.70%,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,14.6,14.1
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-DERMOTT,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,33.524958,-91.436095,,71638,Chicot County,Dermott,5017,,80200,5017080200,2022,80200,Chicot County,Arkansas,203,14,111,78,0,1401,106,195,563,303,54,174,6,6.9,54.7,38.4,0,7.6,13.9,40.2,21.6,3.9,12.4,0.4,914,24390,48812,2150,1,0,2149,100,562,26.1,1567,72.9,0,0,13,0.6,0,0,0,0,7,0.3,,
DIVISION OF YOUTH SERVICES SCHOOL SYSTEM,ARKANSAS CONSOLIDATED HIGH SCHOOL-MANSFIELD,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.20105,-91.8318334,,N/A,White County,N/A,5145,,71001,5145071001,2022,71001,White County,Arkansas,53,12,28,6,7,2664,42,86,1239,416,152,551,178,22.6,52.8,11.3,13.2,1.6,3.2,46.5,15.6,5.7,20.7,6.7,1444,59014,89069,3283,128,3.9,3155,96.1,2885,87.9,82,2.5,24,0.7,0,0,0,0,0,0,164,5,,
MAYNARD SCHOOL DISTRICT,MAYNARD HIGH SCHOOL,34,15.5,2.90%,15.6,41.20%,16.7,11.80%,18.1,8.80%,2.90%,Arkansas,36.4179869,-90.899011,74 Campus Drive,72444,Randolph County,Maynard,5121,"74 Campus Drive, Maynard, Arkansas, 72444",960100,5121960100,2022,960100,Randolph County,Arkansas,235,46,95,84,10,3101,178,216,1185,684,446,300,92,19.6,40.4,35.7,4.3,5.7,7,38.2,22.1,14.4,9.7,3,1569,50488,56795,4223,119,2.8,4104,97.2,3970,94,2,0,26,0.6,1,0,0,0,6,0.1,99,2.3,15.5,16.7
POCAHONTAS SCHOOL DISTRICT,POCAHONTAS HIGH SCHOOL,155,17.1,16.10%,17.5,47.10%,17.6,26.50%,17.6,18.10%,9.00%,Arkansas,36.2803717,-90.9817087,2312 Stadium Drive,72455,Randolph County,Pocahontas,5121,"2312 Stadium Drive, Pocahontas, Arkansas, 72455",960301,5121960301,2022,960301,Randolph County,Arkansas,335,81,154,91,9,3015,124,177,1265,577,221,361,290,24.2,46,27.2,2.7,4.1,5.9,42,19.1,7.3,12,9.6,1715,38513,57013,4643,135,2.9,4508,97.1,4024,86.7,74,1.6,26,0.6,40,0.9,103,2.2,0,0,241,5.2,17.1,17.6
FORREST CITY SCHOOL DISTRICT,FORREST CITY HIGH SCHOOL,128,14.8,3.10%,12.6,12.50%,13.8,7.80%,14.5,2.30%,1.60%,Arkansas,35.0203693,-90.7946678,467 Victoria Avenue,72335,St. Francis County,Forrest City,5123,"467 Victoria Avenue, Forrest City, Arkansas, 72335",960400,5123960400,2022,960400,St. Francis County,Arkansas,571,242,145,184,0,2332,91,284,871,757,136,176,17,42.4,25.4,32.2,0,3.9,12.2,37.3,32.5,5.8,7.5,0.7,1439,32134,55661,4230,0,0,4230,100,265,6.3,3942,93.2,0,0,16,0.4,0,0,0,0,7,0.2,14.8,13.8
PALESTINE-WHEATLEY SCHOOL DISTRICT,PALESTINE-WHEATLEY SENIOR HIGH,32,15.8,3.10%,16.2,37.50%,16.5,9.40%,16.8,6.30%,3.10%,Arkansas,34.9910985,-90.9438468,,N/A,St. Francis County,N/A,5123,,960300,5123960300,2022,960300,St. Francis County,Arkansas,163,38,71,54,0,1754,93,94,885,361,144,149,28,23.3,43.6,33.1,0,5.3,5.4,50.5,20.6,8.2,8.5,1.6,958,42273,57546,2540,67,2.6,2473,97.4,1666,65.6,725,28.5,0,0,0,0,0,0,0,0,82,3.2,15.8,16.5
BAUXITE SCHOOL DISTRICT,BAUXITE HIGH SCHOOL,108,16.8,11.10%,17.1,44.40%,17.8,27.80%,18.3,20.40%,6.50%,Arkansas,34.5535477,-92.5108387,800 School Street,72011,Saline County,Bauxite,5125,"800 School Street, Bauxite, Arkansas, 72011",10602,5125010602,2022,10602,Saline County,Arkansas,202,34,144,24,0,1501,0,199,680,364,100,119,39,16.8,71.3,11.9,0,0,13.3,45.3,24.3,6.7,7.9,2.6,899,52841,56731,2270,31,1.4,2239,98.6,1917,84.4,201,8.9,0,0,0,0,0,0,0,0,121,5.3,16.8,17.8
BAUXITE SCHOOL DISTRICT,MINER ACADEMY,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,34.504805,-92.5197932,,N/A,Saline County,N/A,5125,,10407,5125010407,2022,10407,Saline County,Arkansas,371,21,229,121,0,3172,35,297,1126,742,308,489,175,5.7,61.7,32.6,0,1.1,9.4,35.5,23.4,9.7,15.4,5.5,1814,68182,87827,4719,349,7.4,4370,92.6,4209,89.2,27,0.6,0,0,0,0,0,0,0,0,134,2.8,,
BENTON SCHOOL DISTRICT,BENTON HIGH SCHOOL,393,19.9,37.40%,19.8,58.00%,20.4,43.80%,20.3,34.60%,24.20%,Arkansas,34.5654181,-92.5743607,211 North Border Street,72015,Saline County,Benton,5125,"211 North Border Street, Benton, Arkansas, 72015",10101,5125010101,2022,10101,Saline County,Arkansas,508,54,325,129,0,2532,39,432,825,699,238,220,79,10.6,64,25.4,0,1.5,17.1,32.6,27.6,9.4,8.7,3.1,1633,58141,59960,3883,367,9.5,3516,90.5,3217,82.8,242,6.2,6,0.2,0,0,0,0,0,0,51,1.3,19.9,20.4
BRYANT SCHOOL DISTRICT,BRYANT HIGH SCHOOL,609,18.5,25.80%,18.9,54.00%,20,37.40%,19.5,28.90%,18.90%,Arkansas,34.6088451,-92.4937164,1511 North Reynolds Road,72022,Saline County,Bryant,5125,"1511 North Reynolds Road, Bryant, Arkansas, 72022",10107,5125010107,2022,10107,Saline County,Arkansas,332,0,132,167,33,3584,131,248,1236,701,316,590,362,0,39.8,50.3,9.9,3.7,6.9,34.5,19.6,8.8,16.5,10.1,2534,49332,68224,5310,127,2.4,5183,97.6,4228,79.6,467,8.8,16,0.3,203,3.8,0,0,0,0,269,5.1,18.5,20
HARMONY GROVE SCHOOL DISTRICT (SALINE),HARMONY GROVE HIGH SCHOOL,88,17.2,17.00%,16.7,44.30%,17.6,22.70%,18,19.30%,12.50%,Arkansas,34.508336,-92.6435323,2621 Arkansas 229,72015,Saline County,Benton,5125,"2621 Arkansas 229, Benton, Arkansas, 72015",10514,5125010514,2022,10514,Saline County,Arkansas,257,104,111,40,2,2548,129,256,916,401,195,407,244,40.5,43.2,15.6,0.8,5.1,10,35.9,15.7,7.7,16,9.6,1035,89757,92281,3339,225,6.7,3114,93.3,2771,83,238,7.1,0,0,9,0.3,0,0,0,0,96,2.9,17.2,17.6
WALDRON SCHOOL DISTRICT,WALDRON HIGH SCHOOL,103,16.9,11.70%,16.5,37.90%,18.3,27.20%,18.3,23.30%,11.70%,Arkansas,34.9002949,-94.11506,736 Arkansas 80,72958,Scott County,Waldron,5127,"736 Arkansas 80, Waldron, Arkansas, 72958",950200,5127950200,2022,950200,Scott County,Arkansas,348,67,126,95,60,2569,210,306,1065,498,219,206,65,19.3,36.2,27.3,17.2,8.2,11.9,41.5,19.4,8.5,8,2.5,1452,41905,47516,3932,738,18.8,3194,81.2,3022,76.9,0,0,0,0,0,0,5,0.1,0,0,167,4.2,16.9,18.3
SEARCY COUNTY SCHOOL DISTRICT,MARSHALL HIGH SCHOOL,52,16.5,7.70%,17.8,46.20%,18,34.60%,17.3,15.40%,3.80%,Arkansas,35.9091004,-92.6590391,950 U.S. 65,72650,Searcy County,Marshall,5129,"950 U.S. 65, Marshall, Arkansas, 72650",970200,5129970200,2022,970200,Searcy County,Arkansas,206,0,161,43,2,2584,313,295,962,495,189,215,115,0,78.2,20.9,1,12.1,11.4,37.2,19.2,7.3,8.3,4.5,1298,31791,47430,3492,91,2.6,3401,97.4,2931,83.9,33,0.9,23,0.7,0,0,0,0,0,0,414,11.9,16.5,18
OZARK MOUNTAIN SCHOOL DISTRICT,ST. JOE K-12 SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,36.0998069,-92.8178291,,N/A,Marion County,N/A,5089,,960100,5089960100,2022,960100,Marion County,Arkansas,228,0,67,161,0,3233,214,199,1107,898,347,258,210,0,29.4,70.6,0,6.6,6.2,34.2,27.8,10.7,8,6.5,1963,43980,60910,3998,92,2.3,3906,97.7,3798,95,0,0,43,1.1,8,0.2,0,0,0,0,57,1.4,,
OZARK MOUNTAIN SCHOOL DISTRICT,WESTERN GROVE K-12 SCHOOL,17,16.4,0.00%,16.6,41.20%,19.4,29.40%,18.4,11.80%,0.00%,Arkansas,36.0998069,-92.8178291,,N/A,Marion County,N/A,5089,,960100,5089960100,2022,960100,Marion County,Arkansas,228,0,67,161,0,3233,214,199,1107,898,347,258,210,0,29.4,70.6,0,6.6,6.2,34.2,27.8,10.7,8,6.5,1963,43980,60910,3998,92,2.3,3906,97.7,3798,95,0,0,43,1.1,8,0.2,0,0,0,0,57,1.4,16.4,19.4
OZARK MOUNTAIN SCHOOL DISTRICT,BRUNO-PYATT K-12 SCHOOL,12,16.8,8.30%,17.6,41.70%,20.4,41.70%,19.3,8.30%,8.30%,Arkansas,36.1807031,-92.8497424,4754 Arkansas 125,72633,Marion County,Everton,5089,"4754 Arkansas 125, Everton, Arkansas, 72633",960100,5089960100,2022,960100,Marion County,Arkansas,228,0,67,161,0,3233,214,199,1107,898,347,258,210,0,29.4,70.6,0,6.6,6.2,34.2,27.8,10.7,8,6.5,1963,43980,60910,3998,92,2.3,3906,97.7,3798,95,0,0,43,1.1,8,0.2,0,0,0,0,57,1.4,16.8,20.4
FORT SMITH SCHOOL DISTRICT,BELLE POINT ALTERNATIVE CENTER,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,Arkansas,35.3729158,-94.4172264,1501 Dodson Avenue,72901,Sebastian County,Fort Smith,5131,"1501 Dodson Avenue, Fort Smith, Arkansas, 72901",800,5131000800,2022,800,Sebastian County,Arkansas,622,72,195,344,11,2653,69,461,917,735,61,271,139,11.6,31.4,55.3,1.8,2.6,17.4,34.6,27.7,2.3,10.2,5.2,1899,30090,55230,4138,892,21.6,3246,78.4,2353,56.9,422,10.2,7,0.2,33,0.8,0,0,0,0,431,10.4,,
FORT SMITH SCHOOL DISTRICT,NORTHSIDE HIGH SCHOOL,384,16.9,13.00%,16.5,37.80%,17.9,26.30%,18,16.90%,8.90%,Arkansas,35.3783893,-94.4056193,North 25th Street,72901,Sebastian County,Fort Smith,5131,"North 25th Street, Fort Smith, Arkansas, 72901",800,5131000800,2022,800,Sebastian County,Arkansas,622,72,195,344,11,2653,69,461,917,735,61,271,139,11.6,31.4,55.3,1.8,2.6,17.4,34.6,27.7,2.3,10.2,5.2,1899,30090,55230,4138,892,21.6,3246,78.4,2353,56.9,422,10.2,7,0.2,33,0.8,0,0,0,0,431,10.4,16.9,17.9
FORT SMITH SCHOOL DISTRICT,SOUTHSIDE HIGH SCHOOL,396,19.5,32.10%,20,61.40%,20.9,40.40%,20.5,35.60%,23.50%,Arkansas,35.3487722,-94.3875396,4100 Gary Street,72903,Sebastian County,Fort Smith,5131,"4100 Gary Street, Fort Smith, Arkansas, 72903",1102,5131001102,2022,1102,Sebastian County,Arkansas,362,103,153,79,27,2289,127,74,577,597,208,487,219,28.5,42.3,21.8,7.5,5.5,3.2,25.2,26.1,9.1,21.3,9.6,1430,58567,77057,3370,633,18.8,2737,81.2,1960,58.2,364,10.8,28,0.8,68,2,0,0,0,0,317,9.4,19.5,20.9
GREENWOOD SCHOOL DISTRICT,GREENWOOD HIGH SCHOOL,245,20,36.70%,20.5,61.60%,20.5,44.90%,20.9,39.20%,26.90%,Arkansas,35.2198584,-94.2522473,501 Bulldog Loop,72936,Sebastian County,Greenwood,5131,"501 Bulldog Loop, Greenwood, Arkansas, 72936",10201,5131010201,2022,10201,Sebastian County,Arkansas,458,39,129,275,15,3434,59,277,1063,830,360,528,317,8.5,28.2,60,3.3,1.7,8.1,31,24.2,10.5,15.4,9.2,1946,68525,82197,4995,39,0.8,4956,99.2,4610,92.3,9,0.2,41,0.8,11,0.2,0,0,0,0,285,5.7,20,20.5
HACKETT SCHOOL DISTRICT,HACKETT HIGH SCHOOL,32,16.8,9.40%,17.6,56.30%,18.9,21.90%,18.3,15.60%,6.30%,Arkansas,35.1866287,-94.4092473,102 North Oak Street,72937,Sebastian County,Hackett,5131,"102 North Oak Street, Hackett, Arkansas, 72937",10301,5131010301,2022,10301,Sebastian County,Arkansas,356,16,171,111,58,4429,206,532,1510,1079,280,487,335,4.5,48,31.2,16.3,4.7,12,34.1,24.4,6.3,11,7.6,2413,55625,95912,6030,255,4.2,5775,95.8,5154,85.5,119,2,20,0.3,73,1.2,0,0,0,0,409,6.8,16.8,18.9
LAVACA SCHOOL DISTRICT,LAVACA HIGH SCHOOL,54,18.2,29.60%,17.8,50.00%,19,33.30%,18.8,27.80%,20.40%,Arkansas,35.3318303,-94.1752146,311 West Holly Street,72941,Sebastian County,Lavaca,5131,"311 West Holly Street, Lavaca, Arkansas, 72941",10101,5131010101,2022,10101,Sebastian County,Arkansas,495,63,251,155,26,3895,345,221,1388,989,303,452,197,12.7,50.7,31.3,5.3,8.9,5.7,35.6,25.4,7.8,11.6,5.1,2301,68285,84865,5910,202,3.4,5708,96.6,5352,90.6,50,0.8,14,0.2,4,0.1,0,0,0,0,288,4.9,18.2,19
MANSFIELD SCHOOL DISTRICT,MANSFIELD HIGH SCHOOL,51,17.7,23.50%,16.7,35.30%,19.2,27.50%,18.3,19.60%,7.80%,Arkansas,35.0679629,-94.222523,2500 U.S. 71,72944,Scott County,Mansfield,5127,"2500 U.S. 71, Mansfield, Arkansas, 72944",950100,5127950100,2022,950100,Scott County,Arkansas,201,15,100,51,35,2877,156,220,1295,711,239,200,56,7.5,49.8,25.4,17.4,5.4,7.6,45,24.7,8.3,7,1.9,1579,46182,64413,3921,16,0.4,3905,99.6,3474,88.6,0,0,46,1.2,0,0,0,0,0,0,385,9.8,17.7,19.2
FUTURE SCHOOL OF FORT SMITH,FUTURE SCHOOL OF FORT SMITH,47,15.4,6.40%,14.8,31.90%,16,19.10%,16.4,8.50%,0.00%,Arkansas,35.3914905,-94.4193372,622 North 7th Street,72901,Sebastian County,Fort Smith,5131,"622 North 7th Street, Fort Smith, Arkansas, 72901",300,5131000300,2022,300,Sebastian County,Arkansas,240,30,91,109,10,1709,316,130,613,350,44,142,114,12.5,37.9,45.4,4.2,18.5,7.6,35.9,20.5,2.6,8.3,6.7,942,42885,50774,2508,1091,43.5,1417,56.5,779,31.1,270,10.8,24,1,72,2.9,0,0,0,0,272,10.8,15.4,16
DEQUEEN SCHOOL DISTRICT,DEQUEEN HIGH SCHOOL,144,17.5,13.90%,16.4,41.70%,18,24.30%,18.3,20.10%,7.60%,Arkansas,34.028774,-94.358886,1803 West Coulter Drive,71832,Sevier County,De Queen,5133,"1803 West Coulter Drive, De Queen, Arkansas, 71832",80200,5133080200,2022,80200,Sevier County,Arkansas,282,9,91,173,9,2506,279,277,755,594,250,236,115,3.2,32.3,61.3,3.2,11.1,11.1,30.1,23.7,10,9.4,4.6,1347,48563,80976,3798,993,26.1,2805,73.9,2332,61.4,43,1.1,220,5.8,43,1.1,0,0,41,1.1,126,3.3,17.5,18
HORATIO SCHOOL DISTRICT,HORATIO HIGH SCHOOL,37,16,2.70%,15.3,32.40%,17.7,21.60%,17.3,10.80%,0.00%,Arkansas,33.9479754,-94.347479,1101 Metcalf Lane,71842,Sevier County,Horatio,5133,"1101 Metcalf Lane, Horatio, Arkansas, 71842",80200,5133080200,2022,80200,Sevier County,Arkansas,282,9,91,173,9,2506,279,277,755,594,250,236,115,3.2,32.3,61.3,3.2,11.1,11.1,30.1,23.7,10,9.4,4.6,1347,48563,80976,3798,993,26.1,2805,73.9,2332,61.4,43,1.1,220,5.8,43,1.1,0,0,41,1.1,126,3.3,16,17.7
CAVE CITY SCHOOL DISTRICT,CAVE CITY HIGH CAREER & COLLEGIATE PREPARATORY SCH,82,18.2,24.40%,18.4,50.00%,18.7,25.60%,19.4,22.00%,12.20%,Arkansas,35.9486873,-91.5596117,,N/A,Sharp County,N/A,5135,,470402,5135470402,2022,470402,Sharp County,Arkansas,241,14,152,74,1,1951,164,333,823,349,110,136,36,5.8,63.1,30.7,0.4,8.4,17.1,42.2,17.9,5.6,7,1.8,1061,42520,54316,2961,218,7.4,2743,92.6,2613,88.2,10,0.3,3,0.1,26,0.9,0,0,0,0,91,3.1,18.2,18.7
HIGHLAND SCHOOL DISTRICT,HIGHLAND HIGH SCHOOL,105,17.5,17.10%,16.8,41.90%,17.8,24.80%,17.9,20.00%,12.40%,Arkansas,36.2617891,-91.5314326,1 Rebel Circle,72542,Sharp County,Highland,5135,"1 Rebel Circle, Highland, Arkansas, 72542",470202,5135470202,2022,470202,Sharp County,Arkansas,177,29,61,87,0,2154,43,203,740,617,192,236,123,16.4,34.5,49.2,0,2,9.4,34.4,28.6,8.9,11,5.7,1213,35491,51479,2926,46,1.6,2880,98.4,2706,92.5,0,0,1,0,31,1.1,0,0,0,0,142,4.9,17.5,17.8
MOUNTAIN VIEW SCHOOL DISTRICT,MOUNTAIN VIEW HIGH SCHOOL,73,17.1,11.00%,18.4,50.70%,19.7,39.70%,19.5,31.50%,9.60%,Arkansas,35.8602104,-92.084938,210 High School Drive,72560,Stone County,Mountain View,5137,"210 High School Drive, Mountain View, Arkansas, 72560",950204,5137950204,2022,950204,Stone County,Arkansas,126,45,8,70,3,3201,86,355,1196,710,445,254,155,35.7,6.3,55.6,2.4,2.7,11.1,37.4,22.2,13.9,7.9,4.8,1700,29196,43843,3936,24,0.6,3912,99.4,3795,96.4,17,0.4,6,0.2,0,0,0,0,0,0,94,2.4,17.1,19.7
MOUNTAIN VIEW SCHOOL DISTRICT,RURAL SPECIAL HIGH SCHOOL,12,19.1,33.30%,21.8,75.00%,20.8,41.70%,20.5,25.00%,25.00%,Arkansas,35.7542959,-92.2879692,13237 Arkansas 263,72051,Stone County,Fox,5137,"13237 Arkansas 263, Fox, Arkansas, 72051",950100,5137950100,2022,950100,Stone County,Arkansas,374,68,208,67,31,3060,143,372,1035,795,293,268,154,18.2,55.6,17.9,8.3,4.7,12.2,33.8,26,9.6,8.8,5,1554,43105,52842,4521,3,0.1,4518,99.9,4055,89.7,0,0,39,0.9,10,0.2,0,0,0,0,414,9.2,19.1,20.8
MOUNTAIN VIEW SCHOOL DISTRICT,TIMBO HIGH SCHOOL,11,16.9,0.00%,18.3,54.50%,20.6,54.50%,20.5,36.40%,0.00%,Arkansas,35.8743453,-92.3177396,23747 Arkansas 263,72680,Stone County,Timbo,5137,"23747 Arkansas 263, Timbo, Arkansas, 72680",950100,5137950100,2022,950100,Stone County,Arkansas,374,68,208,67,31,3060,143,372,1035,795,293,268,154,18.2,55.6,17.9,8.3,4.7,12.2,33.8,26,9.6,8.8,5,1554,43105,52842,4521,3,0.1,4518,99.9,4055,89.7,0,0,39,0.9,10,0.2,0,0,0,0,414,9.2,16.9,20.6
EL DORADO SCHOOL DISTRICT,EL DORADO HIGH SCHOOL,296,17,13.90%,15.9,35.50%,17.4,26.00%,17.5,17.90%,9.80%,Arkansas,33.1998926,-92.6937606,2000 Wildcat Drive,71730,Union County,El Dorado,5139,"2000 Wildcat Drive, El Dorado, Arkansas, 71730",950900,5139950900,2022,950900,Union County,Arkansas,122,34,78,0,10,1556,35,296,627,455,21,110,12,27.9,63.9,0,8.2,2.2,19,40.3,29.2,1.3,7.1,0.8,848,33333,41651,2455,4,0.2,2451,99.8,551,22.4,1864,75.9,0,0,0,0,0,0,0,0,36,1.5,17,17.4
JUNCTION CITY SCHOOL DISTRICT,JUNCTION CITY HIGH SCHOOL,48,15.5,2.10%,14.8,27.10%,16,8.30%,15.4,4.20%,2.10%,Arkansas,33.0202734,-92.7282967,538 North Elm Street,71749,Union County,Junction City,5139,"538 North Elm Street, Junction City, Arkansas, 71749",950402,5139950402,2022,950402,Union County,Arkansas,221,1,149,71,0,2459,79,159,849,602,161,489,120,0.5,67.4,32.1,0,3.2,6.5,34.5,24.5,6.5,19.9,4.9,1405,65341,84492,3467,177,5.1,3290,94.9,2425,69.9,736,21.2,0,0,0,0,0,0,0,0,129,3.7,15.5,16
PARKERS CHAPEL SCHOOL DISTRICT,PARKERS CHAPEL HIGH SCHOOL,42,18.5,23.80%,19.8,64.30%,19.5,38.10%,19.5,31.00%,19.00%,Arkansas,33.1690169,-92.7215989,209 Parkers Chapel Road,71730,Union County,El Dorado,5139,"209 Parkers Chapel Road, El Dorado, Arkansas, 71730",950501,5139950501,2022,950501,Union County,Arkansas,198,0,55,72,71,2167,28,128,671,709,270,256,105,0,27.8,36.4,35.9,1.3,5.9,31,32.7,12.5,11.8,4.8,1295,73661,103889,3167,152,4.8,3015,95.2,2796,88.3,135,4.3,8,0.3,0,0,0,0,0,0,76,2.4,18.5,19.5
SMACKOVER-NORPHLET SCHOOL DISTRICT,SMACKOVER HIGH SCHOOL,68,15.5,4.40%,14,23.50%,15.2,7.40%,15.9,5.90%,2.90%,Arkansas,33.3656761,-92.7313276,1 Buckaroo Lane,71762,Union County,Smackover,5139,"1 Buckaroo Lane, Smackover, Arkansas, 71762",950300,5139950300,2022,950300,Union County,Arkansas,254,23,9,133,89,1801,31,107,682,481,75,246,179,9.1,3.5,52.4,35,1.7,5.9,37.9,26.7,4.2,13.7,9.9,1049,58304,66101,2636,0,0,2636,100,1872,71,669,25.4,0,0,0,0,0,0,0,0,95,3.6,15.5,15.2
STRONG-HUTTIG SCHOOL DISTRICT,STRONG-HUTTIG SCHOOLS,13,15.2,0.00%,12.5,7.70%,13.9,15.40%,14.6,7.70%,0.00%,Arkansas,33.1019992,-92.341887,,N/A,Union County,N/A,5139,,950100,5139950100,2022,950100,Union County,Arkansas,53,0,53,0,0,2240,33,229,1041,646,129,104,58,0,100,0,0,1.5,10.2,46.5,28.8,5.8,4.6,2.6,1342,36043,62319,2893,18,0.6,2875,99.4,1293,44.7,1512,52.3,0,0,58,2,0,0,2,0.1,10,0.3,15.2,13.9
CLINTON SCHOOL DISTRICT,CLINTON HIGH SCHOOL,91,18.4,28.60%,18,51.60%,19.4,30.80%,20.1,29.70%,15.40%,Arkansas,35.5837245,-92.4999918,,N/A,Van Buren County,N/A,5141,,460200,5141460200,2022,460200,Van Buren County,Arkansas,145,55,66,9,15,2189,148,244,1036,401,130,150,80,37.9,45.5,6.2,10.3,6.8,11.1,47.3,18.3,5.9,6.9,3.7,1153,38528,52071,3111,311,10,2800,90,2755,88.6,18,0.6,23,0.7,0,0,0,0,0,0,4,0.1,18.4,19.4
SHIRLEY SCHOOL DISTRICT,SHIRLEY HIGH SCHOOL,19,14.9,10.50%,13.6,21.10%,14.7,5.30%,15.9,10.50%,5.30%,Arkansas,35.652848,-92.3221622,,N/A,Van Buren County,N/A,5141,,460100,5141460100,2022,460100,Van Buren County,Arkansas,234,28,146,27,33,2467,273,363,922,477,139,181,112,12,62.4,11.5,14.1,11.1,14.7,37.4,19.3,5.6,7.3,4.5,1400,40208,54117,3678,25,0.7,3653,99.3,3628,98.6,0,0,0,0,7,0.2,0,0,0,0,18,0.5,14.9,14.7
SOUTH SIDE SCHOOL DISTRICT (VANBUREN),SOUTH SIDE HIGH SCHOOL,46,17.8,21.70%,17.8,47.80%,19.8,32.60%,18.9,19.60%,13.00%,Arkansas,35.4286139,-92.3885454,334 Southside Road,72013,Van Buren County,Bee Branch,5141,"334 Southside Road, Bee Branch, Arkansas, 72013",460400,5141460400,2022,460400,Van Buren County,Arkansas,343,30,127,175,11,2779,138,281,1355,512,125,203,165,8.7,37,51,3.2,5,10.1,48.8,18.4,4.5,7.3,5.9,1580,50278,59567,3746,3,0.1,3743,99.9,3369,89.9,59,1.6,97,2.6,0,0,0,0,0,0,218,5.8,17.8,19.8
