District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,IZARD COUNTY CONSOLIDATED HIGH SCHOOL,39,17.3,23.1%,16.1,35.9%,17.0,23.1%,17.6,20.5%,12.8%
NEWPORT SCHOOL DISTRICT,NEWPORT HIGH SCHOOL,82,15.3,3.7%,14.3,20.7%,15.8,13.4%,16.4,4.9%,2.4%
JACKSON CO. SCHOOL DISTRICT,TUCKERMAN HIGH SCHOOL,58,18.1,25.9%,20.2,56.9%,19.7,34.5%,19.9,36.2%,20.7%
PINE BLUFF SCHOOL DISTRICT,PINE BLUFF HIGH SCHOOL,117,14.9,4.3%,14.4,22.2%,15.5,13.7%,16.2,6.0%,2.6%
WATSON CHAPEL SCHOOL DISTRICT,WATSON CHAPEL HIGH SCHOOL,154,14.7,1.9%,14.0,18.8%,15.3,11.0%,15.6,5.2%,1.3%
WHITE HALL SCHOOL DISTRICT,WHITE HALL HIGH SCHOOL,201,17.5,19.9%,16.7,39.3%,17.9,26.9%,18.3,22.9%,13.4%
FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF,FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF HIG,19,13.6,0.0%,10.5,0.0%,12.2,5.3%,13.3,0.0%,0.0%
CLARKSVILLE SCHOOL DISTRICT,CLARKSVILLE HIGH SCHOOL,146,17.0,11.0%,17.6,47.9%,18.8,27.4%,18.7,19.9%,6.8%
LAMAR SCHOOL DISTRICT,LAMAR HIGH SCHOOL,64,17.0,6.3%,16.5,39.1%,17.8,29.7%,18.7,17.2%,4.7%
WESTSIDE SCHOOL DISTRICT (JOHNSON),WESTSIDE HIGH SCHOOL,38,15.2,2.6%,13.2,13.2%,15.6,10.5%,15.5,5.3%,0.0%
LAFAYETTE COUNTY SCHOOL DISTRICT,LAFAYETTE COUNTY HIGH SCHOOL,30,15.3,3.3%,13.7,16.7%,15.8,13.3%,16.7,6.7%,3.3%
HOXIE SCHOOL DISTRICT,HOXIE HIGH SCHOOL,61,16.2,4.9%,17.2,47.5%,17.5,24.6%,17.0,6.6%,3.3%
SLOAN-HENDRIX SCHOOL DISTRICT,SLOAN-HENDRIX HIGH SCHOOL,47,17.5,14.9%,18.6,44.7%,18.8,29.8%,19.3,19.1%,10.6%
HILLCREST SCHOOL DISTRICT,HILLCREST HIGH SCHOOL,24,16.3,8.3%,16.7,45.8%,16.7,20.8%,17.3,20.8%,4.2%
LAWRENCE COUNTY SCHOOL DISTRICT,WALNUT RIDGE HIGH SCHOOL,66,17.0,13.6%,19.4,62.1%,18.9,24.2%,18.8,18.2%,7.6%
LEE COUNTY SCHOOL DISTRICT,LEE HIGH SCHOOL,22,14.8,4.5%,12.5,9.1%,12.5,9.1%,14.7,4.5%,4.5%
STAR CITY SCHOOL DISTRICT,STAR CITY HIGH SCHOOL,107,16.1,8.4%,16.0,33.6%,16.4,20.6%,16.8,14.0%,6.5%
ASHDOWN SCHOOL DISTRICT,ASHDOWN HIGH SCHOOL,90,17.2,16.7%,16.5,36.7%,17.4,20.0%,17.7,21.1%,13.3%
FOREMAN SCHOOL DISTRICT,FOREMAN HIGH SCHOOL,34,16.6,11.8%,16.5,41.2%,16.9,17.6%,16.3,11.8%,5.9%
BOONEVILLE SCHOOL DISTRICT,BOONEVILLE HIGH SCHOOL,80,17.7,18.8%,17.8,46.3%,18.5,31.3%,18.8,21.3%,12.5%
MAGAZINE SCHOOL DISTRICT,MAGAZINE HIGH SCHOOL,29,16.8,3.4%,16.2,34.5%,17.6,24.1%,18.3,13.8%,0.0%
