District Name,School Name,Number of Test Takers,Math Avg,Math % Met,English Avg,English % Met,Reading Avg,Reading % Met,Science Avg,Science % Met,All % Met
WALDRON SCHOOL DISTRICT,WALDRON HIGH SCHOOL,103,16.9,11.7%,16.5,37.9%,18.3,27.2%,18.3,23.3%,11.7%
SEARCY COUNTY SCHOOL DISTRICT,MARSHALL HIGH SCHOOL,52,16.5,7.7%,17.8,46.2%,18.0,34.6%,17.3,15.4%,3.8%
OZARK MOUNTAIN SCHOOL DISTRICT,ST. JOE K-12 SCHOOL,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
OZARK MOUNTAIN SCHOOL DISTRICT,WESTERN GROVE K-12 SCHOOL,17,16.4,0.0%,16.6,41.2%,19.4,29.4%,18.4,11.8%,0.0%
OZARK MOUNTAIN SCHOOL DISTRICT,BRUNO-PYATT K-12 SCHOOL,12,16.8,8.3%,17.6,41.7%,20.4,41.7%,19.3,8.3%,8.3%
FORT SMITH SCHOOL DISTRICT,BELLE POINT ALTERNATIVE CENTER,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10,N<10
FORT SMITH SCHOOL DISTRICT,NORTHSIDE HIGH SCHOOL,384,16.9,13.0%,16.5,37.8%,17.9,26.3%,18.0,16.9%,8.9%
FORT SMITH SCHOOL DISTRICT,SOUTHSIDE HIGH SCHOOL,396,19.5,32.1%,20.0,61.4%,20.9,40.4%,20.5,35.6%,23.5%
GREENWOOD SCHOOL DISTRICT,GREENWOOD HIGH SCHOOL,245,20.0,36.7%,20.5,61.6%,20.5,44.9%,20.9,39.2%,26.9%
HACKETT SCHOOL DISTRICT,HACKETT HIGH SCHOOL,32,16.8,9.4%,17.6,56.3%,18.9,21.9%,18.3,15.6%,6.3%
LAVACA SCHOOL DISTRICT,LAVACA HIGH SCHOOL,54,18.2,29.6%,17.8,50.0%,19.0,33.3%,18.8,27.8%,20.4%
MANSFIELD SCHOOL DISTRICT,MANSFIELD HIGH SCHOOL,51,17.7,23.5%,16.7,35.3%,19.2,27.5%,18.3,19.6%,7.8%
FUTURE SCHOOL OF FORT SMITH,FUTURE SCHOOL OF FORT SMITH,47,15.4,6.4%,14.8,31.9%,16.0,19.1%,16.4,8.5%,0.0%
DEQUEEN SCHOOL DISTRICT,DEQUEEN HIGH SCHOOL,144,17.5,13.9%,16.4,41.7%,18.0,24.3%,18.3,20.1%,7.6%
HORATIO SCHOOL DISTRICT,HORATIO HIGH SCHOOL,37,16.0,2.7%,15.3,32.4%,17.7,21.6%,17.3,10.8%,0.0%
CAVE CITY SCHOOL DISTRICT,CAVE CITY HIGH CAREER & COLLEGIATE PREPARATORY SCH,82,18.2,24.4%,18.4,50.0%,18.7,25.6%,19.4,22.0%,12.2%
HIGHLAND SCHOOL DISTRICT,HIGHLAND HIGH SCHOOL,105,17.5,17.1%,16.8,41.9%,17.8,24.8%,17.9,20.0%,12.4%
MOUNTAIN VIEW SCHOOL DISTRICT,MOUNTAIN VIEW HIGH SCHOOL,73,17.1,11.0%,18.4,50.7%,19.7,39.7%,19.5,31.5%,9.6%
MOUNTAIN VIEW SCHOOL DISTRICT,RURAL SPECIAL HIGH SCHOOL,12,19.1,33.3%,21.8,75.0%,20.8,41.7%,20.5,25.0%,25.0%
MOUNTAIN VIEW SCHOOL DISTRICT,TIMBO HIGH SCHOOL,11,16.9,0.0%,18.3,54.5%,20.6,54.5%,20.5,36.4%,0.0%
EL DORADO SCHOOL DISTRICT,EL DORADO HIGH SCHOOL,296,17.0,13.9%,15.9,35.5%,17.4,26.0%,17.5,17.9%,9.8%
JUNCTION CITY SCHOOL DISTRICT,JUNCTION CITY HIGH SCHOOL,48,15.5,2.1%,14.8,27.1%,16.0,8.3%,15.4,4.2%,2.1%
PARKERS CHAPEL SCHOOL DISTRICT,PARKERS CHAPEL HIGH SCHOOL,42,18.5,23.8%,19.8,64.3%,19.5,38.1%,19.5,31.0%,19.0%
SMACKOVER-NORPHLET SCHOOL DISTRICT,SMACKOVER HIGH SCHOOL,68,15.5,4.4%,14.0,23.5%,15.2,7.4%,15.9,5.9%,2.9%
STRONG-HUTTIG SCHOOL DISTRICT,STRONG-HUTTIG SCHOOLS,13,15.2,0.0%,12.5,7.7%,13.9,15.4%,14.6,7.7%,0.0%
CLINTON SCHOOL DISTRICT,CLINTON HIGH SCHOOL,91,18.4,28.6%,18.0,51.6%,19.4,30.8%,20.1,29.7%,15.4%
SHIRLEY SCHOOL DISTRICT,SHIRLEY HIGH SCHOOL,19,14.9,10.5%,13.6,21.1%,14.7,5.3%,15.9,10.5%,5.3%
SOUTH SIDE SCHOOL DISTRICT (VANBUREN),SOUTH SIDE HIGH SCHOOL,46,17.8,21.7%,17.8,47.8%,19.8,32.6%,18.9,19.6%,13.0%
ELKINS SCHOOL DISTRICT,ELKINS HIGH SCHOOL,99,16.6,10.1%,16.1,35.4%,17.6,20.2%,18.2,21.2%,7.1%
FARMINGTON SCHOOL DISTRICT,FARMINGTON HIGH SCHOOL,184,17.8,19.6%,18.5,53.3%,20.8,39.7%,20.1,28.3%,13.0%
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE HIGH SCHOOL,531,20.6,41.6%,22.1,70.8%,22.4,57.3%,21.8,45.4%,33.0%
FAYETTEVILLE SCHOOL DISTRICT,AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,31,15.5,3.2%,14.9,29.0%,16.5,9.7%,16.5,3.2%,0.0%
FAYETTEVILLE SCHOOL DISTRICT,FAYETTEVILLE VIRTUAL ACADEMY A DISTRICT CONVERSION,23,17.9,21.7%,20.4,60.9%,21.4,39.1%,20.5,26.1%,13.0%
GREENLAND SCHOOL DISTRICT,GREENLAND HIGH SCHOOL,51,16.8,9.8%,18.4,60.8%,19.2,31.4%,18.6,17.6%,3.9%
LINCOLN SCHOOL DISTRICT,LINCOLN HIGH SCHOOL,61,16.7,14.8%,17.5,49.2%,19.3,39.3%,19.3,26.2%,8.2%
PRAIRIE GROVE SCHOOL DISTRICT,PRAIRIE GROVE HIGH SCHOOL,146,17.4,17.1%,16.9,43.2%,18.0,29.5%,18.9,21.9%,12.3%
SPRINGDALE SCHOOL DISTRICT,SPRINGDALE HIGH SCHOOL,353,17.5,17.6%,16.5,37.7%,17.5,24.4%,18.1,18.4%,9.3%
SPRINGDALE SCHOOL DISTRICT,HAR-BER HIGH SCHOOL,508,19.2,29.5%,20.0,61.8%,20.3,45.1%,20.1,32.3%,21.5%
SPRINGDALE SCHOOL DISTRICT,DON TYSON SCHOOL OF INNOVATION,242,18.0,21.1%,19.5,60.3%,20.0,41.7%,19.9,30.6%,16.9%
WEST FORK SCHOOL DISTRICT,WEST FORK HIGH SCHOOL,61,16.5,6.6%,18.3,55.7%,19.1,34.4%,18.2,21.3%,4.9%
HAAS HALL ACADEMY,HAAS HALL ACADEMY,52,25.7,71.2%,27.4,90.4%,26.4,75.0%,26.3,76.9%,61.5%
HAAS HALL ACADEMY,HAAS HALL ACADEMY JONES CENTER,32,21.8,53.1%,21.9,68.8%,22.2,59.4%,21.4,50.0%,43.8%
HAAS HALL ACADEMY,HAAS HALL ACADEMY AT THE LANE,39,24.5,71.8%,26.6,82.1%,27.0,74.4%,25.1,69.2%,61.5%
HAAS HALL ACADEMY,HAAS HALL BENTONVILLE,45,25.4,80.0%,26.5,91.1%,27.4,77.8%,25.4,77.8%,68.9%
BALD KNOB SCHOOL DISTRICT,BALD KNOB HIGH SCHOOL,55,18.5,20.0%,19.0,49.1%,19.7,41.8%,19.3,25.5%,14.5%
BEEBE SCHOOL DISTRICT,BEEBE HIGH SCHOOL,211,18.7,28.0%,18.4,50.7%,19.0,36.0%,19.2,25.1%,14.2%
BRADFORD SCHOOL DISTRICT,BRADFORD HIGH SCHOOL,23,15.8,4.3%,16.9,39.1%,18.1,30.4%,17.4,17.4%,4.3%
WHITE COUNTY CENTRAL SCHOOL DISTRICT,WHITE COUNTY CENTRAL HIGH SCHOOL,45,17.3,20.0%,16.9,37.8%,18.5,28.9%,19.1,20.0%,8.9%
RIVERVIEW SCHOOL DISTRICT,RIVERVIEW HIGH SCHOOL,77,15.8,5.2%,14.9,24.7%,17.6,26.0%,16.7,14.3%,3.9%
PANGBURN SCHOOL DISTRICT,PANGBURN HIGH SCHOOL,53,17.3,18.9%,16.7,41.5%,18.4,32.1%,17.6,24.5%,13.2%
ROSE BUD SCHOOL DISTRICT,ROSE BUD HIGH SCHOOL,48,17.5,12.5%,16.6,39.6%,18.8,25.0%,18.2,14.6%,8.3%
SEARCY SCHOOL DISTRICT,SEARCY HIGH SCHOOL,230,19.1,29.1%,19.8,58.3%,20.5,40.0%,19.9,30.9%,22.2%
AUGUSTA SCHOOL DISTRICT,AUGUSTA HIGH SCHOOL,20,16.3,10.0%,17.9,50.0%,17.7,20.0%,18.3,15.0%,10.0%
MCCRORY SCHOOL DISTRICT,MCCRORY HIGH SCHOOL,37,18.1,18.9%,18.4,51.4%,19.8,37.8%,19.2,35.1%,16.2%
DANVILLE SCHOOL DISTRICT,DANVILLE HIGH SCHOOL,45,17.3,13.3%,16.8,37.8%,18.6,20.0%,18.9,17.8%,2.2%
DARDANELLE SCHOOL DISTRICT,DARDANELLE HIGH SCHOOL,70,20.5,37.1%,22.3,81.4%,22.2,51.4%,22.0,50.0%,30.0%
WESTERN YELL COUNTY SCHOOL DISTRICT,WESTERN YELL COUNTY HIGH SCHOOL,24,15.5,4.2%,14.5,16.7%,15.0,4.2%,16.0,0.0%,0.0%
TWO RIVERS SCHOOL DISTRICT,TWO RIVERS HIGH SCHOOL,37,17.2,21.6%,18.2,45.9%,18.7,35.1%,18.5,21.6%,21.6%
