School Name,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,      12,593,,528
Abington - Abington High,      64,565,,534
Acton-Boxborough - Acton-Boxborough Regional High,     486,651,,683
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,     164,629,,657
Agawam - Agawam High,      64,578,,564
Amesbury - Amesbury High,      45,596,,570
Amherst-Pelham - Amherst Regional High,      41,656,,669
Andover - Andover High,     454,607,,611
Arlington - Arlington High,     372,623,,617
Ashburnham-Westminster - Oakmont Regional High School,      60,599,,600
Ashland - Ashland High,     174,602,,635
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,      59,519,,502
Athol-Royalston - Athol High,       2,,,
Atlantis Charter (District) - Atlantis Charter School,      75,479,,449
Attleboro - Attleboro High,     262,560,,554
Auburn - Auburn Senior High,      44,558,,566
Avon - Avon Middle High School,       6,,,
Ayer Shirley School District - Ayer Shirley Regional High School,      24,578,,535
Barnstable - Barnstable High,      82,555,,553
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,      22,474,,467
Bedford - Bedford High,     249,611,,626
Belchertown - Belchertown High,      64,580,,584
Bellingham - Bellingham High School,      61,568,,558
Bellingham - Keough Memorial Academy,       2,,,
Belmont - Belmont High,     396,650,,673
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,      63,541,,492
Berkshire Hills - Monument Mt Regional High,     107,583,,546
Berlin-Boylston - Tahanto Regional High,      63,599,,594
Beverly - Beverly High,     185,548,,522
Billerica - Billerica Memorial High School,     258,538,,535
Blackstone Valley Regional Vocational Technical - Blackstone Valley,     183,584,,570
Blackstone-Millville - Blackstone Millville RHS,      42,527,,524
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,      19,544,,535
Boston - Another Course To College,       7,,,
Boston - Boston Arts Academy,      46,493,,456
Boston - Boston Collaborative High School,       1,,,
Boston - Boston Community Leadership Academy,      39,433,,413
Boston - Boston International High School,      56,396,,427
Boston - Boston Latin,     676,649,,660
Boston - Boston Latin Academy,     507,558,,574
Boston - Brighton High,      28,444,,446
Boston - Charlestown High,      64,417,,480
Boston - Community Academy of Science and Health,      46,414,,406
Boston - Dearborn,      12,479,,457
Boston - Dr. William Henderson Upper,      25,436,,430
Boston - East Boston High,      89,444,,444
Boston - Excel High School,      38,457,,525
Boston - Fenway High School,      48,464,,445
Boston - Jeremiah E Burke High,      38,436,,440
Boston - Lyon Upper 9-12,      12,468,,453
Boston - Madison Park High,       1,,,
Boston - Margarita Muniz Academy,      15,398,,423
Boston - New Mission High School,      42,443,,465
Boston - O'Bryant School Math/Science,     265,524,,562
Boston - Quincy Upper School,      23,466,,464
Boston - Snowden International School at Copley,      33,452,,433
