School Name,Tests Taken,Reading / Writing,Writing,Math
Boston - TechBoston Academy,     122,433,,418
Boston - The English High,      66,403,,409
Boston Collegiate Charter (District) - Boston Collegiate Charter School,      64,498,,511
Boston Day and Evening Academy Charter (District) - Boston Day and Evening Academy Charter School,       5,,,
Boston Green Academy Horace Mann Charter School (District) - Boston Green Academy Horace Mann Charter School,      32,430,,445
Boston Preparatory Charter Public (District) - Boston Preparatory Charter Public School,      79,448,,474
Bourne - Bourne High School,      91,527,,506
Braintree - Braintree High,     526,557,,570
Bridgewater-Raynham - Bridgewater-Raynham Regional,     153,563,,568
Bristol County Agricultural - Bristol County Agricultural High,      23,552,,505
Bristol-Plymouth Regional Vocational Technical - Bristol-Plymouth Vocational Technical,      57,544,,536
Brockton - Brockton High,      46,523,,496
Brooke Charter School (District) - Brooke Charter School,      47,499,,545
Brookline - Brookline High,     533,639,,652
Burlington - Burlington High,     293,540,,534
Cambridge - Cambridge Rindge and Latin,     302,615,,601
Canton - Canton High,     352,568,,567
Cape Cod Regional Vocational Technical - Cape Cod Region Vocational Technical,       3,,,
Carver - Carver Middle/High School,      96,531,,521
Central Berkshire - Wahconah Regional High,      56,523,,533
Chelmsford - Chelmsford High,     326,574,,579
Chelsea - Chelsea High,      22,523,,520
Chicopee - Chicopee Comprehensive High School,      77,570,,555
Chicopee - Chicopee High,      33,533,,523
City on a Hill Charter Public School Circuit Street (District) - City on a Hill Charter Public School Circuit Street,       8,,,
Clinton - Clinton Senior High,      72,525,,498
Codman Academy Charter Public (District) - Codman Academy Charter Public School,      29,418,,417
Cohasset - Cohasset High School,     116,616,,585
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,       4,,,
Concord-Carlisle - Concord Carlisle High,     375,639,,647
Danvers - Danvers High,     145,549,,530
Dartmouth - Dartmouth High,     113,572,,559
Dedham - Dedham High,      92,578,,586
Dennis-Yarmouth - Dennis-Yarmouth Regional High,      56,558,,531
Dighton-Rehoboth - Dighton-Rehoboth Regional High School,     219,549,,537
Douglas - Douglas High School,      46,560,,535
Dover-Sherborn - Dover-Sherborn Regional High,     206,631,,642
Dracut - Dracut Senior High,     157,519,,512
Dudley-Charlton Reg - Shepherd Hill Regional High,     218,568,,569
Duxbury - Duxbury High,     344,592,,572
East Bridgewater - East Bridgewater JR./SR. High School,      75,556,,521
East Longmeadow - East Longmeadow High,     115,569,,572
Easthampton - Easthampton High,      33,534,,504
Easton - Oliver Ames High,     340,577,,567
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),      87,429,,425
Essex North Shore Agricultural and Technical School District - Essex North Shore Agricultural and Technical School,     203,544,,519
Everett - Everett High,      52,510,,495
Excel Academy Charter (District) - Excel Academy Charter School,     142,465,,474
Fairhaven - Fairhaven High,      53,575,,591
Fall River - B M C Durfee High,     154,518,,510
Falmouth - Falmouth High,     110,583,,570
Fitchburg - Fitchburg High,     103,519,,503
Fitchburg - Goodrich Academy,       2,,,
Foxborough - Foxborough High,     198,554,,568
Foxborough Regional Charter (District) - Foxborough Regional Charter School,      50,560,,534
Framingham - Framingham High School,     197,592,,612
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,      64,604,,554
Franklin - Franklin High,     531,580,,571
Franklin County Regional Vocational Technical - Franklin County Technical,      11,503,,514
Freetown-Lakeville - Apponequet Regional High,      90,575,,569
Frontier - Frontier Regional,      13,616,,596
Gardner - Gardner Academy for Learning and Technology,       4,,,
Gardner - Gardner High,      61,512,,504
Gateway - Gateway Regional High,      13,583,,559
Georgetown - Georgetown High School,     114,577,,569
Global Learning Charter Public (District) - Global Learning Charter Public School,      13,538,,511
Gloucester - Gloucester High,      95,542,,532
Grafton - Grafton High School,     163,581,,588
Granby - Granby Jr Sr High School,      34,554,,558
Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,      57,525,,506
Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,       8,,,
Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,      37,504,,492
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,      12,543,,533
Greenfield - Greenfield High,       2,,,
Greenfield Commonwealth Virtual District - Greenfield Commonwealth Virtual School,       7,,,
Groton-Dunstable - Groton Dunstable Regional,     264,600,,621
Hadley - Hopkins Academy,      14,595,,575
Hamilton-Wenham - Hamilton-Wenham Regional High,     124,592,,587
Hampden Charter School of Science East (District) - Hampden Charter School of Science East,      42,538,,532
Hampden-Wilbraham - Minnechaug Regional High,     290,557,,566
Hampshire - Hampshire Regional High,      53,604,,576
Hanover - Hanover High,     208,561,,558
Harvard - Bromfield,      80,632,,628
Hatfield - Smith Academy,       6,,,
Haverhill - Haverhill High,     110,547,,545
Hingham - Hingham High,     365,619,,615
Holbrook - Holbrook Middle High School,       4,,,
Holliston - Holliston High,     204,601,,601
Holyoke - Holyoke High,      30,542,,493
Hoosac Valley Regional - Hoosac Valley High School,      30,525,,531
Hopedale - Hopedale Jr Sr High,      81,583,,565
Hopkinton - Hopkinton High,     344,625,,640
Hudson - Hudson High,     150,558,,538
Hull - Hull High,      47,575,,550
Innovation Academy Charter (District) - Innovation Academy Charter School,      17,672,,702
Ipswich - Ipswich High,     145,575,,572
KIPP Academy Lynn Charter (District) - KIPP Academy Lynn Charter School,       2,,,
King Philip - King Philip Regional High,     461,576,,556
Lawrence - Lawrence High School,      13,537,,541
Lee - Lee Middle/High School,      63,546,,542
Leicester - Leicester High,      48,550,,535
Lenox - Lenox Memorial High,      26,600,,582
Leominster - Center For Technical Education Innovation,      18,583,,592
Leominster - Leominster High School,      85,541,,540
Lexington - Lexington High,     639,667,,689
Lincoln-Sudbury - Lincoln-Sudbury Regional High,     449,629,,645
Littleton - Littleton High School,      87,615,,620
Longmeadow - Longmeadow High,     138,615,,619
Lowell - Lowell High,     151,523,,533
Ludlow - Ludlow Senior High,     170,551,,541
Lunenburg - Lunenburg High,      53,573,,581
Lynn - Classical High,      54,538,,528
Lynn - Lynn English High,      44,543,,528
Lynn - Lynn Vocational Technical Institute,      17,488,,480
Lynnfield - Lynnfield High,     168,562,,565
MATCH Charter Public School (District) - MATCH Charter Public School,      72,455,,503
Ma Academy for Math and Science - Ma Academy for Math and Science School,      62,721,,770
Malden - Malden High,      80,554,,584
Manchester Essex Regional - Manchester Essex Regional High School,      60,617,,626
Mansfield - Mansfield High,     280,587,,587
Marblehead - Marblehead High,     289,608,,599
Marlborough - Marlborough High,     149,526,,515
Marshfield - Marshfield High,     272,574,,569
Martha's Vineyard - Martha's Vineyard Regional High,     136,572,,564
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,       2,,,
Masconomet - Masconomet Regional High School,     282,592,,601
Mashpee - Mashpee High,      40,575,,564
Maynard - Maynard High,      31,640,,621
Medfield - Medfield Senior High,     299,588,,599
Medford - Medford High,     179,552,,555
Medway - Medway High,     239,580,,584
Melrose - Melrose High,     150,597,,563
Mendon-Upton - Nipmuc Regional High,     249,573,,551
Methuen - Methuen High,     144,551,,544
Middleborough - Middleborough High,     216,545,,526
Milford - Milford High,      70,581,,556
Millbury - Millbury Junior/Senior High,      54,529,,517
Millis - Millis High School,      72,563,,573
Milton - Milton High,     289,597,,594
Minuteman Regional Vocational Technical - Minuteman Regional High,      41,572,,541
Mohawk Trail - Mohawk Trail Regional School,      33,581,,557
Monomoy Regional School District - Monomoy Regional High School,      77,598,,570
Monson - Monson High School,       2,,,
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,      57,562,,546
Mount Greylock - Mt Greylock Regional High,      54,618,,578
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,     107,576,,594
Nantucket - Nantucket High,     125,524,,507
Narragansett - Narragansett Regional High,      17,588,,606
Nashoba - Nashoba Regional,     333,595,,593
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,      15,561,,536
Natick - Natick High,     377,607,,603
Nauset - Nauset Regional High,     163,564,,534
Needham - Needham High,     356,629,,645
Neighborhood House Charter (District) - Neighborhood House Charter School,      94,440,,448
New Bedford - New Bedford High,      27,516,,490
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,       6,,,
Newburyport - Newburyport High,     182,581,,583
Newton - Newton North High,     425,634,,648
Newton - Newton South High,     501,643,,665
Norfolk County Agricultural - Norfolk County Agricultural,      58,541,,506
North Adams - Drury High,       4,,,
North Andover - North Andover High,     500,576,,567
North Attleborough - North Attleboro High,     232,588,,585
North Brookfield - North Brookfield High,      12,579,,563
North Middlesex - North Middlesex Regional,     197,568,,548
North Reading - North Reading High,     251,575,,571
Northampton - Northampton High,     145,616,,596
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,       4,,,
Northboro-Southboro - Algonquin Regional High,     543,604,,615
Northbridge - Northbridge High,      53,561,,542
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,      57,484,,462
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,      21,528,,480
Norton - Norton High,     103,577,,549
Norwell - Norwell High,     239,601,,581
Norwood - Norwood High,     199,556,,562
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,      10,564,,543
Old Rochester - Old Rochester Regional High,      99,593,,583
Oxford - Oxford High,      77,523,,506
Palmer - Palmer High,       9,,,
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,       3,,,
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,       4,,,
Peabody - Peabody Veterans Memorial High,     169,537,,530
Pembroke - Pembroke High School,     157,573,,561
Pentucket - Pentucket Regional Sr High,     198,581,,572
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,      13,580,,608
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),      26,548,,612
Pioneer Valley - Pioneer Valley Regional,      42,539,,507
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,      57,624,,606
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,      14,621,,556
Pittsfield - Pittsfield High,      87,543,,521
Pittsfield - Taconic High,      56,518,,507
Plymouth - Plymouth North High,     341,534,,521
Plymouth - Plymouth South High,     350,523,,522
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,      38,510,,507
Quabbin - Quabbin Regional High School,      50,569,,577
Quaboag Regional - Quaboag Regional High,      18,583,,552
Quincy - North Quincy High,     196,576,,593
Quincy - Quincy High,     171,558,,560
Ralph C Mahar - Ralph C Mahar Regional,       1,,,
Randolph - Randolph High,      25,564,,580
Reading - Reading Memorial High,     469,581,,589
Revere - Revere High,     308,516,,525
Rising Tide Charter Public (District) - Rising Tide Charter Public School,      84,572,,550
Rockland - Rockland Senior High,      86,526,,521
Rockport - Rockport High,      29,603,,589
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,      29,416,,435
Sabis International Charter (District) - Sabis International Charter School,       6,,,
Salem - Salem High,      60,531,,513
Salem Academy Charter (District) - Salem Academy Charter School,      89,519,,497
Sandwich - Sandwich High,      75,565,,559
Saugus - Saugus High,      56,532,,529
Scituate - Scituate High School,     379,577,,552
Seekonk - Seekonk High,     128,565,,546
Sharon - Sharon High,     312,651,,667
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,     185,523,,504
Shrewsbury - Shrewsbury Sr High,     504,609,,630
Silver Lake - Silver Lake Regional High,     202,587,,589
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,      18,563,,548
Somerset Berkley Regional School District - Somerset Berkley Regional High School,     195,569,,568
Somerville - Somerville High,      90,580,,575
South Hadley - South Hadley High,      86,554,,550
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,      14,586,,587
South Shore Charter Public (District) - South Shore Charter Public School,     123,517,,489
South Shore Regional Vocational Technical - So Shore Vocational Technical High,      17,528,,522
Southbridge - Southbridge High School,       6,,,
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,      22,515,,491
Southern Berkshire - Mt Everett Regional,      29,568,,525
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,      86,537,,527
Southwick-Tolland-Granville Regional School District - Southwick Regional School,      40,542,,540
Spencer-E Brookfield - David Prouty High,       8,,,
Springfield - Conservatory of the Arts,      12,456,,405
Springfield - High School Of Commerce,      83,504,,510
Springfield - John J Duggan Middle,      34,479,,495
Springfield - Roger L. Putnam Vocational Technical Academy,      73,444,,446
Springfield - Springfield Central High,     163,488,,484
Springfield - Springfield High School,       3,,,
Springfield - Springfield High School of Science and Technology,      93,424,,426
Springfield - The Springfield Renaissance School an Expeditionary Learning School,     118,476,,459
Stoneham - Stoneham High,      83,549,,554
Stoughton - Stoughton High,      76,554,,555
Sturgis Charter Public (District) - Sturgis Charter Public School,      98,587,,572
Sutton - Sutton High School,      97,562,,546
Swampscott - Swampscott High,     128,606,,596
Swansea - Joseph Case High,     101,564,,547
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,      39,585,,555
Tantasqua - Tantasqua Regional Sr High,     127,578,,599
Tantasqua - Tantasqua Regional Vocational,      15,547,,567
Taunton - Taunton High,     211,538,,514
Tewksbury - Tewksbury Memorial High,     196,552,,545
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,      38,538,,520
Triton - Triton Regional High School,      63,595,,585
Tyngsborough - Tyngsborough High School,     155,557,,573
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,      17,492,,462
Uxbridge - Uxbridge High,     113,541,,519
Wachusett - Wachusett Regional High,     514,582,,581
Wakefield - Wakefield Memorial High,     248,565,,561
Walpole - Walpole High,     291,587,,569
Waltham - Waltham Sr High,     203,563,,555
Ware - Ware Junior/Senior High School,      27,512,,534
Wareham - Wareham Senior High,       9,,,
Watertown - Watertown High,     144,559,,568
Wayland - Wayland High School,     214,645,,657
Webster - Bartlett High School,      23,523,,509
Wellesley - Wellesley Sr High,     336,657,,670
West Boylston - West Boylston Junior/Senior High,      43,570,,536
West Bridgewater - West Bridgewater Junior/Senior,     111,543,,542
West Springfield - West Springfield High,      62,568,,547
Westborough - Westborough High,     343,625,,639
Westfield - Westfield High,      85,559,,556
Westfield - Westfield Technical Academy,       2,,,
Westford - Westford Academy,     402,632,,654
Weston - Weston High,     156,638,,657
Westport - Westport Junior/Senior High School,      29,521,,490
Westwood - Westwood High,     338,607,,632
Weymouth - Weymouth High School,     110,548,,538
Whitman-Hanson - Whitman Hanson Regional,     272,531,,524
Whittier Regional Vocational Technical - Whittier Regional Vocational,      35,549,,527
Wilmington - Wilmington High,      70,592,,580
Winchendon - Murdock High School,      30,554,,527
Winchester - Winchester High School,     449,627,,643
Winthrop - Winthrop High School,      50,559,,552
Woburn - Woburn High,     220,536,,536
Worcester - Burncoat Senior High,      61,495,,497
Worcester - Claremont Academy,      27,461,,477
Worcester - Doherty Memorial High,     258,523,,535
Worcester - North High,      76,488,,461
Worcester - South High Community,      88,580,,572
Worcester - University Pk Campus School,      14,488,,506
Worcester - Worcester Technical High,     119,510,,513
