unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
17001000100,2021,100,Adams County,Illinois,298,0,66,213,19,3523,20,332,1063,943,434,432,299,0.0,22.1,71.5,6.4,0.6,9.4,30.2,26.8,12.3,12.3,8.5
17001000201,2021,200,Adams County,Illinois,169,9,59,93,8,1400,43,101,507,261,112,257,119,5.3,34.9,55.0,4.7,3.1,7.2,36.2,18.6,8.0,18.4,8.5
17001000202,2021,202,Adams County,Illinois,333,10,102,177,44,1499,22,107,455,282,162,335,136,3.0,30.6,53.2,13.2,1.5,7.1,30.4,18.8,10.8,22.3,9.1
17001000400,2021,400,Adams County,Illinois,180,43,48,83,6,2248,109,176,997,612,102,163,89,23.9,26.7,46.1,3.3,4.8,7.8,44.4,27.2,4.5,7.3,4.0
17001000500,2021,500,Adams County,Illinois,181,10,78,93,0,1402,55,69,572,470,65,131,40,5.5,43.1,51.4,0.0,3.9,4.9,40.8,33.5,4.6,9.3,2.9
17001000600,2021,600,Adams County,Illinois,514,48,209,167,90,2871,0,32,644,631,315,715,534,9.3,40.7,32.5,17.5,0.0,1.1,22.4,22.0,11.0,24.9,18.6
17001000700,2021,700,Adams County,Illinois,89,24,11,47,7,942,98,189,297,214,53,72,19,27.0,12.4,52.8,7.9,10.4,20.1,31.5,22.7,5.6,7.6,2.0
17001000800,2021,800,Adams County,Illinois,134,25,104,5,0,1963,102,372,916,364,117,72,20,18.7,77.6,3.7,0.0,5.2,19.0,46.7,18.5,6.0,3.7,1.0
17001000900,2021,900,Adams County,Illinois,410,42,238,111,19,1600,24,95,480,408,240,302,51,10.2,58.0,27.1,4.6,1.5,5.9,30.0,25.5,15.0,18.9,3.2
17001001001,2021,1001,Adams County,Illinois,157,26,31,75,25,2339,0,40,1033,554,275,307,130,16.6,19.7,47.8,15.9,0.0,1.7,44.2,23.7,11.8,13.1,5.6
17001001002,2021,1002,Adams County,Illinois,152,9,70,52,21,2069,29,68,702,557,184,406,123,5.9,46.1,34.2,13.8,1.4,3.3,33.9,26.9,8.9,19.6,5.9
17001001100,2021,1100,Adams County,Illinois,753,143,448,58,104,5722,172,251,1515,1241,479,1317,747,19.0,59.5,7.7,13.8,3.0,4.4,26.5,21.7,8.4,23.0,13.1
17001010100,2021,10100,Adams County,Illinois,297,54,116,120,7,3126,35,169,1128,722,402,519,151,18.2,39.1,40.4,2.4,1.1,5.4,36.1,23.1,12.9,16.6,4.8
17001010200,2021,10200,Adams County,Illinois,256,20,112,113,11,2544,41,190,1012,582,291,300,128,7.8,43.8,44.1,4.3,1.6,7.5,39.8,22.9,11.4,11.8,5.0
17001010301,2021,10301,Adams County,Illinois,67,0,11,30,26,1889,58,21,689,421,251,363,86,0.0,16.4,44.8,38.8,3.1,1.1,36.5,22.3,13.3,19.2,4.6
