School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Angleton H S,Angleton ISD,507,483,<475,<200,39.9,<25,11.4,<75,27.2,Texas,29.2015422,-95.4135763,1 Campus Drive,77515,Brazoria County,Angleton,48039,"1 Campus Drive, Angleton, Texas, 77515",662200,48039662200,2021,662200,Brazoria County,Texas,839,297,348,153,41,5623,145,396,1823,1169,775,953,362,35.4,41.5,18.2,4.9,2.6,7,32.4,20.8,13.8,16.9,6.4,2901,69844,105735,7938,1345,16.9,6593,83.1,5434,68.5,464,5.8,29,0.4,501,6.3,0,0,0,0,165,2.1,507
Danbury H S,Danbury ISD,519,525,<75,<25,26.2,<25,11.8,<25,47.1,Texas,29.2241275,-95.3422104,5611 1st Street,77534,Brazoria County,Danbury,48039,"5611 1st Street, Danbury, Texas, 77534",662400,48039662400,2021,662400,Brazoria County,Texas,599,21,294,267,17,3380,114,269,1030,1036,424,411,96,3.5,49.1,44.6,2.8,3.4,8,30.5,30.7,12.5,12.2,2.8,1993,71652,88217,5375,1216,22.6,4159,77.4,3557,66.2,435,8.1,0,0,23,0.4,0,0,28,0.5,116,2.2,519
Brazosport H S,Brazosport ISD,464,450,<225,<125,46.5,<25,4,<25,12.9,Texas,28.9589998,-95.3718424,1800 West 2nd Street,77541,Brazoria County,Freeport,48039,"1800 West 2nd Street, Freeport, Texas, 77541",664300,48039664300,2021,664300,Brazoria County,Texas,577,135,366,76,0,3163,458,340,1067,816,218,223,41,23.4,63.4,13.2,0,14.5,10.7,33.7,25.8,6.9,7.1,1.3,1996,48973,55538,5675,3692,65.1,1983,34.9,601,10.6,1193,21,0,0,8,0.1,0,0,8,0.1,173,3,464
Brazoswood H S,Brazosport ISD,534,508,<550,<250,44.7,<75,21,<100,41.6,Texas,29.026378,-95.415316,302 Brazoswood Drive,77531,Brazoria County,Clute,48039,"302 Brazoswood Drive, Clute, Texas, 77531",663800,48039663800,2021,663800,Brazoria County,Texas,738,88,269,381,0,3810,141,478,871,855,286,970,209,11.9,36.4,51.6,0,3.7,12.5,22.9,22.4,7.5,25.5,5.5,2329,81272,107819,5965,3469,58.2,2496,41.8,1773,29.7,543,9.1,0,0,0,0,12,0.2,0,0,168,2.8,534
Brazos Success Academy,Brazosport ISD,422,407,<100,<25,20,<25,5.3,<25,10.5,Texas,29.0442981,-95.442717,308 Winding Way,77566,Brazoria County,Lake Jackson,48039,"308 Winding Way, Lake Jackson, Texas, 77566",663300,48039663300,2021,663300,Brazoria County,Texas,306,29,76,187,14,1519,149,123,498,398,151,155,45,9.5,24.8,61.1,4.6,9.8,8.1,32.8,26.2,9.9,10.2,3,797,59185,71608,2579,973,37.7,1606,62.3,1207,46.8,91,3.5,0,0,125,4.8,0,0,68,2.6,115,4.5,422
Sweeny H S,Sweeny ISD,494,474,<150,<125,82,<25,13.3,<50,25.7,Texas,29.0484786,-95.7042171,600 East Ashley-Wilson Road,77480,Brazoria County,Sweeny,48039,"600 East Ashley-Wilson Road, Sweeny, Texas, 77480",662800,48039662800,2021,662800,Brazoria County,Texas,377,97,134,122,24,4334,248,358,1697,1149,289,541,52,25.7,35.5,32.4,6.4,5.7,8.3,39.2,26.5,6.7,12.5,1.2,2375,71884,83666,6543,1577,24.1,4966,75.9,3947,60.3,690,10.5,0,0,8,0.1,0,0,129,2,192,2.9,494
Columbia H S,Columbia-Brazoria ISD,501,482,<175,<75,36.1,<25,16.4,<25,29.5,Texas,29.137732,-95.6509274,520 South 16th Street,77486,Brazoria County,West Columbia,48039,"520 South 16th Street, West Columbia, Texas, 77486",662600,48039662600,2021,662600,Brazoria County,Texas,445,136,198,96,15,1918,51,218,488,644,223,210,84,30.6,44.5,21.6,3.4,2.7,11.4,25.4,33.6,11.6,10.9,4.4,1248,52602,69406,2921,726,24.9,2195,75.1,1787,61.2,327,11.2,0,0,0,0,0,0,0,0,81,2.8,501
Pearland H S,Pearland ISD,560,545,751,365,48.6,142,38.9,205,56.2,Texas,29.5389855,-95.2711516,3775 South Main Street,77581,Brazoria County,Pearland,48039,"3775 South Main Street, Pearland, Texas, 77581",660302,48039660302,2021,660302,Brazoria County,Texas,84,0,6,78,0,2212,15,0,401,439,375,608,374,0,7.1,92.9,0,0.7,0,18.1,19.8,17,27.5,16.9,1020,127885,151817,3446,269,7.8,3177,92.2,2423,70.3,133,3.9,10,0.3,198,5.7,0,0,0,0,413,12,560
Glenda Dawson H S,Pearland ISD,603,607,616,416,67.5,244,58.7,303,72.8,Texas,29.5733481,-95.3534869,2050 Cullen Boulevard,77581,Brazoria County,Pearland,48039,"2050 Cullen Boulevard, Pearland, Texas, 77581",660609,48039660609,2021,660609,Brazoria County,Texas,598,299,0,214,85,2970,101,279,437,586,308,767,492,50,0,35.8,14.2,3.4,9.4,14.7,19.7,10.4,25.8,16.6,1643,117332,123005,4760,839,17.6,3921,82.4,1555,32.7,1504,31.6,0,0,771,16.2,0,0,0,0,91,1.9,603
Robert Turner College And Career H,Pearland ISD,552,541,283,139,49.1,39,28.1,80,57.6,Texas,29.5680437,-95.2893433,,N/A,Brazoria County,N/A,48039,,660503,48039660503,2021,660503,Brazoria County,Texas,230,0,72,158,0,1854,65,29,566,730,165,212,87,0,31.3,68.7,0,3.5,1.6,30.5,39.4,8.9,11.4,4.7,1096,60592,75662,3017,1393,46.2,1624,53.8,1533,50.8,0,0,51,1.7,0,0,0,0,0,0,40,1.3,552
A & M Cons H S,College Station ISD,588,587,402,219,54.5,113,51.6,152,69.4,Texas,30.6186625,-96.3364251,400 Bizzell Street,77840,Brazos County,College Station,48041,"400 Bizzell Street, College Station, Texas, 77840",2100,48041002100,2021,2100,Brazos County,Texas,10370,0,2343,7729,298,643,0,6,2,117,22,248,248,0,22.6,74.5,2.9,0,0.9,0.3,18.2,3.4,38.6,38.6,959,21238,37897,11147,2433,21.8,8714,78.2,6051,54.3,594,5.3,0,0,1602,14.4,0,0,0,0,467,4.2,588
College Station H S,College Station ISD,578,579,513,281,54.8,125,44.5,185,65.8,Texas,30.5579882,-96.2871783,4002 Victoria Avenue,77845,Brazos County,College Station,48041,"4002 Victoria Avenue, College Station, Texas, 77845",2006,48041002006,2021,2005,Brazos County,Texas,173,15,40,78,40,976,24,33,129,206,40,210,334,8.7,23.1,45.1,23.1,2.5,3.4,13.2,21.1,4.1,21.5,34.2,617,87344,104313,1493,114,7.6,1379,92.4,1004,67.2,95,6.4,0,0,275,18.4,0,0,0,0,5,0.3,578
College View H S,College Station ISD,578,527,<50,<25,58.6,<25,23.5,<25,52.9,Texas,30.6124653,-96.3299368,1300 George Bush Drive,77840,Brazos County,College Station,48041,"1300 George Bush Drive, College Station, Texas, 77840",1608,48041001608,2021,1607,Brazos County,Texas,1414,22,186,1015,191,883,0,141,201,129,11,177,224,1.6,13.2,71.8,13.5,0,16,22.8,14.6,1.2,20,25.4,866,25978,67170,2448,350,14.3,2098,85.7,1864,76.1,158,6.5,0,0,32,1.3,0,0,0,0,44,1.8,578
A & M Consolidated Middle,College Station ISD,,,<25,<25,,<25,100,<25,100,Texas,30.6110561,-96.3264821,304 Holik Street,77840,Brazos County,College Station,48041,"304 Holik Street, College Station, Texas, 77840",1608,48041001608,2021,1607,Brazos County,Texas,1414,22,186,1015,191,883,0,141,201,129,11,177,224,1.6,13.2,71.8,13.5,0,16,22.8,14.6,1.2,20,25.4,866,25978,67170,2448,350,14.3,2098,85.7,1864,76.1,158,6.5,0,0,32,1.3,0,0,0,0,44,1.8,0
Travis B Bryan H S,Bryan ISD,483,477,466,351,75.3,51,14.5,102,29.1,Texas,30.6553094,-96.3349787,3450 Campus Drive,77802,Brazos County,Bryan,48041,"3450 Campus Drive, Bryan, Texas, 77802",1902,48041001902,2021,1902,Brazos County,Texas,397,4,137,201,55,1643,48,38,237,455,153,497,215,1,34.5,50.6,13.9,2.9,2.3,14.4,27.7,9.3,30.2,13.1,1168,55438,62149,2869,608,21.2,2261,78.8,1819,63.4,416,14.5,0,0,17,0.6,0,0,0,0,9,0.3,483
James Earl Rudder H S,Bryan ISD,453,450,<375,<225,54.9,<25,3.5,<50,12.9,Texas,30.6881237,-96.342434,3251 Austins Colony Parkway,77808,Brazos County,Bryan,48041,"3251 Austins Colony Parkway, Bryan, Texas, 77808",107,48041000107,2021,107,Brazos County,Texas,168,36,96,36,0,2998,0,0,579,526,145,1243,505,21.4,57.1,21.4,0,0,0,19.3,17.5,4.8,41.5,16.8,1663,103022,102122,4162,830,19.9,3332,80.1,2860,68.7,219,5.3,0,0,96,2.3,0,0,0,0,157,3.8,453
