School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Cayuga H S,Cayuga ISD,503,476,<50,<25,58.3,<25,19,<25,19,Texas,31.9223523,-95.9237207,17750 North US Highway 287,75861,Anderson County,Bethel,48001,"17750 North US Highway 287, Bethel, Texas, 75861",951100,48001951100,2021,951100,Anderson County,Texas,267,5,120,102,40,3671,158,99,1313,1093,362,392,254,1.9,44.9,38.2,15,4.3,2.7,35.8,29.8,9.9,10.7,6.9,1894,62888,71247,5079,562,11.1,4517,88.9,3784,74.5,331,6.5,6,0.1,147,2.9,0,0,0,0,249,4.9,503
Elkhart H S,Elkhart ISD,499,480,<100,<50,51.6,<25,8.5,<25,27.7,Texas,31.6556921,-95.582224,9002 Texas 19,75839,Anderson County,Elkhart,48001,"9002 Texas 19, Elkhart, Texas, 75839",951002,48001951002,2021,951002,Anderson County,Texas,171,50,74,47,0,2187,96,141,816,500,224,299,111,29.2,43.3,27.5,0,4.4,6.4,37.3,22.9,10.2,13.7,5.1,1113,66046,77254,3157,318,10.1,2839,89.9,2616,82.9,174,5.5,0,0,20,0.6,0,0,19,0.6,10,0.3,499
Frankston H S,Frankston ISD,507,473,<50,<50,90.2,<25,10.8,<25,35.1,Texas,32.0616537,-95.5050231,100 Perry Street,75763,Anderson County,Frankston,48001,"100 Perry Street, Frankston, Texas, 75763",950100,48001950100,2021,950100,Anderson County,Texas,366,76,270,20,0,3648,144,216,1306,1054,332,313,283,20.8,73.8,5.5,0,3.9,5.9,35.8,28.9,9.1,8.6,7.8,1823,61325,70942,5447,644,11.8,4803,88.2,4139,76,212,3.9,1,0,21,0.4,0,0,1,0,429,7.9,507
Neches H S,Neches ISD,520,487,<25,<25,60.9,<25,,<25,14.3,Texas,31.8968767,-95.4987565,,N/A,Anderson County,N/A,48001,,950100,48001950100,2021,950100,Anderson County,Texas,366,76,270,20,0,3648,144,216,1306,1054,332,313,283,20.8,73.8,5.5,0,3.9,5.9,35.8,28.9,9.1,8.6,7.8,1823,61325,70942,5447,644,11.8,4803,88.2,4139,76,212,3.9,1,0,21,0.4,0,0,1,0,429,7.9,520
Palestine H S,Palestine ISD,523,526,<225,<100,43.3,<25,20.7,<50,49.4,Texas,31.738417,-95.6055707,1600 Texas 256 Loop,75801,Anderson County,Palestine,48001,"1600 Texas 256 Loop, Palestine, Texas, 75801",950800,48001950800,2021,950800,Anderson County,Texas,464,24,248,170,22,4166,45,300,1717,740,453,592,319,5.2,53.4,36.6,4.7,1.1,7.2,41.2,17.8,10.9,14.2,7.7,2671,52612,62606,6123,733,12,5390,88,3239,52.9,1898,31,6,0.1,131,2.1,0,0,0,0,116,1.9,523
Westwood H S,Westwood ISD,506,483,<100,<50,38.5,<25,5.4,<25,27,Texas,31.7302275,-95.6802595,1820 Panther Boulevard,75803,Anderson County,Palestine,48001,"1820 Panther Boulevard, Palestine, Texas, 75803",950600,48001950600,2021,950600,Anderson County,Texas,671,259,369,43,0,3770,244,928,1540,659,233,134,32,38.6,55,6.4,0,6.5,24.6,40.8,17.5,6.2,3.6,0.8,1919,32552,44781,5843,1018,17.4,4825,82.6,2920,50,1901,32.5,0,0,0,0,0,0,0,0,4,0.1,506
Slocum H S,Slocum ISD,547,487,<50,<25,9.4,<25,,<25,33.3,Texas,31.6319962,-95.4622184,5765 Texas 294,75839,Anderson County,Elkhart,48001,"5765 Texas 294, Elkhart, Texas, 75839",951001,48001951001,2021,951001,Anderson County,Texas,581,163,274,144,0,2770,26,214,942,880,177,393,138,28.1,47.2,24.8,0,0.9,7.7,34,31.8,6.4,14.2,5,1397,55063,97123,4351,687,15.8,3664,84.2,3102,71.3,356,8.2,0,0,42,1,0,0,0,0,164,3.8,547
Andrews H S,Andrews ISD,525,516,247,90,36.4,23,25.6,36,40,Texas,32.3255514,-102.5680033,1400 Northwest Avenue K,79714,Andrews County,Andrews,48003,"1400 Northwest Avenue K, Andrews, Texas, 79714",950200,48003950200,2021,950200,Andrews County,Texas,378,10,179,189,0,4715,352,406,1379,1021,498,726,333,2.6,47.4,50,0,7.5,8.6,29.2,21.7,10.6,15.4,7.1,2709,81473,97973,7244,3640,50.2,3604,49.8,3283,45.3,75,1,0,0,85,1.2,37,0.5,0,0,124,1.7,525
Pineywoods Community Academy H S,Pineywoods Community Academy,582,550,<75,<25,9.6,<25,40,<25,60,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2021,950100,Runnels County,Texas,66,19,36,11,0,823,20,17,266,201,42,243,34,28.8,54.5,16.7,0,2.4,2.1,32.3,24.4,5.1,29.5,4.1,465,64539,91282,1069,145,13.6,924,86.4,851,79.6,46,4.3,0,0,0,0,0,0,0,0,27,2.5,582
Hudson H S,Hudson ISD,548,561,174,56,32.2,19,33.9,34,60.7,Texas,31.3150453,-94.8274883,6735 Ted Trout Drive,75904,Angelina County,Lufkin,48005,"6735 Ted Trout Drive, Lufkin, Texas, 75904",102,48005000102,2021,102,Angelina County,Texas,228,57,65,60,46,3170,137,199,988,739,422,494,191,25,28.5,26.3,20.2,4.3,6.3,31.2,23.3,13.3,15.6,6,1862,63889,88453,4987,448,9,4539,91,4291,86,138,2.8,0,0,43,0.9,0,0,28,0.6,39,0.8,548
Lufkin H S,Lufkin ISD,468,475,464,429,92.5,45,10.5,97,22.6,Texas,31.3355579,-94.6885604,309 South Medford Drive,75901,Angelina County,Lufkin,48005,"309 South Medford Drive, Lufkin, Texas, 75901",600,48005000600,2021,600,Angelina County,Texas,978,64,564,314,36,3600,494,477,1351,711,163,316,88,6.5,57.7,32.1,3.7,13.7,13.3,37.5,19.8,4.5,8.8,2.4,1655,48250,52037,6316,3813,60.4,2503,39.6,925,14.6,1458,23.1,14,0.2,71,1.1,0,0,0,0,35,0.6,468
Huntington H S,Huntington ISD,516,513,<100,<50,48.3,<25,19,<25,40.5,Texas,31.2637104,-94.5740147,952 South Gibson Street,75949,Angelina County,Huntington,48005,"952 South Gibson Street, Huntington, Texas, 75949",1101,48005001101,2021,1101,Angelina County,Texas,130,31,72,9,18,3042,161,309,1265,560,328,311,108,23.8,55.4,6.9,13.8,5.3,10.2,41.6,18.4,10.8,10.2,3.6,1356,59412,77020,4072,755,18.5,3317,81.5,3128,76.8,31,0.8,0,0,8,0.2,0,0,0,0,150,3.7,516
Diboll H S,Diboll ISD,471,486,<125,<75,57.1,<25,8.3,<25,26.7,Texas,31.1926292,-94.7681288,1000 Lumberjack Drive,75941,Angelina County,Diboll,48005,"1000 Lumberjack Drive, Diboll, Texas, 75941",1002,48005001002,2021,1002,Angelina County,Texas,247,7,190,50,0,2667,227,203,811,618,175,404,229,2.8,76.9,20.2,0,8.5,7.6,30.4,23.2,6.6,15.1,8.6,1418,64375,70488,4181,1325,31.7,2856,68.3,2026,48.5,596,14.3,0,0,106,2.5,0,0,4,0.1,124,3,471
Zavalla H S,Zavalla ISD,524,504,<25,<25,33.3,<25,25,<25,37.5,Texas,31.1434138,-94.356513,,N/A,Angelina County,N/A,48005,,1200,48005001200,2021,1200,Angelina County,Texas,181,86,33,44,18,1813,44,276,620,606,95,136,36,47.5,18.2,24.3,9.9,2.4,15.2,34.2,33.4,5.2,7.5,2,1070,37900,59852,2545,8,0.3,2537,99.7,2455,96.5,0,0,0,0,11,0.4,0,0,0,0,71,2.8,524
Central H S,Central ISD,477,481,<100,<75,70.6,<25,10,<25,26.7,Texas,31.4300897,-94.8123595,7622 U.S. 69,75969,Angelina County,Pollok,48005,"7622 U.S. 69, Pollok, Texas, 75969",103,48005000103,2021,103,Angelina County,Texas,301,0,27,201,73,2805,329,276,720,605,260,426,189,0,9,66.8,24.3,11.7,9.8,25.7,21.6,9.3,15.2,6.7,1197,87971,82137,4022,265,6.6,3757,93.4,3280,81.6,421,10.5,13,0.3,17,0.4,0,0,0,0,26,0.6,477
Rockport-Fulton H S,Aransas County ISD,499,477,<200,<100,53.7,<25,11.6,<25,24.2,Texas,28.0408019,-97.0450123,1801 Omohundro Street,78382,Aransas County,Rockport,48007,"1801 Omohundro Street, Rockport, Texas, 78382",950302,48007950302,2021,950302,Aransas County,Texas,206,0,0,104,102,2325,155,42,491,348,134,844,311,0,0,50.5,49.5,6.7,1.8,21.1,15,5.8,36.3,13.4,1151,84964,113383,3157,656,20.8,2501,79.2,2493,79,8,0.3,0,0,0,0,0,0,0,0,0,0,499
Archer City H S,Archer City ISD,530,526,<50,<25,28.6,<25,,<25,50,Texas,33.5905926,-98.6354816,416-488 South Popular Street,76351,Archer County,Archer City,48009,"416-488 South Popular Street, Archer City, Texas, 76351",20300,48009020300,2021,20300,Archer County,Texas,328,46,122,139,21,2208,121,123,916,498,76,374,100,14,37.2,42.4,6.4,5.5,5.6,41.5,22.6,3.4,16.9,4.5,1318,58261,74585,3441,460,13.4,2981,86.6,2827,82.2,30,0.9,20,0.6,0,0,0,0,0,0,104,3,530
Holliday H S,Holliday ISD,570,555,72,22,30.6,7,31.8,14,63.6,Texas,33.8079075,-98.6885471,751 South College Avenue,76366,Archer County,Holliday,48009,"751 South College Avenue, Holliday, Texas, 76366",20200,48009020200,2021,20200,Archer County,Texas,228,28,109,91,0,1776,19,226,847,293,69,193,129,12.3,47.8,39.9,0,1.1,12.7,47.7,16.5,3.9,10.9,7.3,1014,56735,79915,2559,180,7,2379,93,2269,88.7,0,0,32,1.3,0,0,0,0,1,0,77,3,570
Charlotte H S,Charlotte ISD,464,453,<25,<25,100,<25,8.3,<25,16.7,Texas,28.8622271,-98.7031993,70 Trojan Drive,78011,Atascosa County,Charlotte,48013,"70 Trojan Drive, Charlotte, Texas, 78011",960500,48013960500,2021,960500,Atascosa County,Texas,202,94,82,26,0,1614,315,216,523,323,36,176,25,46.5,40.6,12.9,0,19.5,13.4,32.4,20,2.2,10.9,1.5,902,42375,59967,2621,1814,69.2,807,30.8,784,29.9,6,0.2,0,0,0,0,0,0,0,0,17,0.6,464
Jourdanton H S,Jourdanton ISD,507,499,<100,<50,28.6,<25,7.1,<25,32.1,Texas,28.9102359,-98.5413105,200 Zanderson Avenue,78026,Atascosa County,Jourdanton,48013,"200 Zanderson Avenue, Jourdanton, Texas, 78026",960602,48013960602,2021,960602,Atascosa County,Texas,184,0,180,4,0,2528,135,170,1110,354,34,639,86,0,97.8,2.2,0,5.3,6.7,43.9,14,1.3,25.3,3.4,1426,71338,102676,3694,1360,36.8,2334,63.2,2091,56.6,11,0.3,0,0,112,3,0,0,0,0,120,3.2,507
Lytle H S,Lytle ISD,516,497,<100,<25,14,<25,8.3,<25,41.7,Texas,29.2372722,-98.806751,18975 West Farm to Market 2790 South,78052,Medina County,Lytle,48325,"18975 West Farm to Market 2790 South, Lytle, Texas, 78052",402,48325000402,2021,401,Medina County,Texas,571,101,257,213,0,3423,118,258,1553,666,270,424,134,17.7,45,37.3,0,3.4,7.5,45.4,19.5,7.9,12.4,3.9,1601,54704,84942,4918,2602,52.9,2316,47.1,2237,45.5,8,0.2,9,0.2,62,1.3,0,0,0,0,0,0,516
Pleasanton H S,Pleasanton ISD,502,490,210,144,68.6,16,11.1,45,31.3,Texas,28.9653314,-98.4939658,900 West Adams Street,78064,Atascosa County,Pleasanton,48013,"900 West Adams Street, Pleasanton, Texas, 78064",960102,48013960102,2021,960102,Atascosa County,Texas,358,82,140,136,0,2623,221,387,944,489,195,329,58,22.9,39.1,38,0,8.4,14.8,36,18.6,7.4,12.5,2.2,1464,66186,84598,4190,2976,71,1214,29,1057,25.2,24,0.6,0,0,19,0.5,0,0,0,0,114,2.7,502
Poteet H S,Poteet ISD,440,427,<125,<100,74.3,<25,,<25,8,Texas,29.0442153,-98.5666541,1000 Farm to Market Road 1470,78065,Atascosa County,Poteet,48013,"1000 Farm to Market Road 1470, Poteet, Texas, 78065",960300,48013960300,2021,960300,Atascosa County,Texas,334,24,193,117,0,2166,241,184,1070,354,117,119,81,7.2,57.8,35,0,11.1,8.5,49.4,16.3,5.4,5.5,3.7,1020,55367,63059,3119,2671,85.6,448,14.4,400,12.8,6,0.2,11,0.4,31,1,0,0,0,0,0,0,440
Bellville H S,Bellville ISD,567,550,179,34,19,15,44.1,18,52.9,Texas,29.9247536,-96.25175,850 Schumann Road,77418,Austin County,Bellville,48015,"850 Schumann Road, Bellville, Texas, 77418",760502,48015760502,2021,760502,Austin County,Texas,815,97,556,125,37,3541,283,185,1124,818,173,707,251,11.9,68.2,15.3,4.5,8,5.2,31.7,23.1,4.9,20,7.1,2034,58780,76655,5760,1379,23.9,4381,76.1,3581,62.2,728,12.6,19,0.3,53,0.9,0,0,0,0,0,0,567
Sealy H S,Sealy ISD,517,508,220,85,38.6,17,20,33,38.8,Texas,29.76214,-96.174422,2372 Championship Drive,77474,Austin County,Sealy,48015,"2372 Championship Drive, Sealy, Texas, 77474",760302,48015760302,2021,760302,Austin County,Texas,576,55,355,87,79,3272,218,392,1213,960,129,230,130,9.5,61.6,15.1,13.7,6.7,12,37.1,29.3,3.9,7,4,1904,82938,97424,5251,2449,46.6,2802,53.4,2538,48.3,264,5,0,0,0,0,0,0,0,0,0,0,517
Brazos H S,Brazos ISD,483,479,<75,<25,36,<25,11.1,<25,22.2,Texas,29.6192408,-96.0359779,16621 Texas 36,77485,Austin County,Wallis,48015,"16621 Texas 36, Wallis, Texas, 77485",760100,48015760100,2021,760100,Austin County,Texas,136,8,81,47,0,1696,186,148,641,463,104,133,21,5.9,59.6,34.6,0,11,8.7,37.8,27.3,6.1,7.8,1.2,994,36687,57954,2466,926,37.6,1540,62.4,1003,40.7,345,14,0,0,0,0,0,0,60,2.4,132,5.4,483
Muleshoe H S,Muleshoe ISD,438,457,<100,<100,100,<25,2.3,<25,18.6,Texas,34.2225009,-102.7314319,800 West 3rd Street,79347,Bailey County,Muleshoe,48017,"800 West 3rd Street, Muleshoe, Texas, 79347",950101,48017950101,2021,950101,Bailey County,Texas,273,59,197,17,0,2844,242,695,972,510,61,210,154,21.6,72.2,6.2,0,8.5,24.4,34.2,17.9,2.1,7.4,5.4,1197,64375,77096,4301,2868,66.7,1433,33.3,1324,30.8,13,0.3,61,1.4,35,0.8,0,0,0,0,0,0,438
Medina School,Medina ISD,539,502,<25,<25,41.7,<25,,<25,40,Texas,29.7994493,-99.2484194,1 Bobcat Lane,78055,Bandera County,Medina,48019,"1 Bobcat Lane, Medina, Texas, 78055",200,48019000200,2021,200,Bandera County,Texas,216,78,77,37,24,2126,86,54,784,545,117,309,231,36.1,35.6,17.1,11.1,4,2.5,36.9,25.6,5.5,14.5,10.9,1107,62235,85253,2771,385,13.9,2386,86.1,2221,80.2,119,4.3,2,0.1,0,0,0,0,0,0,44,1.6,539
Bandera H S,Bandera ISD,538,519,131,28,21.4,5,17.9,13,46.4,Texas,29.7334314,-99.0616893,474 Old San Antonio Road,78003,Bandera County,Bandera,48019,"474 Old San Antonio Road, Bandera, Texas, 78003",103,48019000103,2021,103,Bandera County,Texas,223,8,161,54,0,2728,189,193,873,406,338,476,253,3.6,72.2,24.2,0,6.9,7.1,32,14.9,12.4,17.4,9.3,1400,62398,82479,3744,989,26.4,2755,73.6,2568,68.6,31,0.8,0,0,11,0.3,0,0,0,0,145,3.9,538
Bastrop H S,Bastrop ISD,475,450,<325,<250,74.6,<25,9.7,<50,19.7,Texas,30.1179864,-97.3115432,1614 Chambers Street,78602,Bastrop County,Bastrop,48021,"1614 Chambers Street, Bastrop, Texas, 78602",950401,48021950401,2021,950401,Bastrop County,Texas,823,0,512,176,135,3454,72,300,1027,596,338,643,478,0,62.2,21.4,16.4,2.1,8.7,29.7,17.3,9.8,18.6,13.8,2085,69525,91387,5061,1212,23.9,3849,76.1,3376,66.7,272,5.4,34,0.7,167,3.3,0,0,0,0,0,0,475
Cedar Creek H S,Bastrop ISD,468,453,<350,<275,79.8,<50,11,<75,20.5,Texas,30.138126,-97.471385,793 Union Chapel Road,78612,Bastrop County,Cedar Creek,48021,"793 Union Chapel Road, Cedar Creek, Texas, 78612",950303,48021950303,2021,950303,Bastrop County,Texas,505,48,298,100,59,4712,628,325,1432,1001,257,908,161,9.5,59,19.8,11.7,13.3,6.9,30.4,21.2,5.5,19.3,3.4,2351,77146,90030,7910,3317,41.9,4593,58.1,4104,51.9,288,3.6,0,0,0,0,0,0,0,0,201,2.5,468
Colorado River Collegiate Academy,Bastrop ISD,537,525,<50,<25,43.9,<25,5.6,<25,33.3,Texas,30.117392,-97.3154422,1600 Hill Street,78602,Bastrop County,Bastrop,48021,"1600 Hill Street, Bastrop, Texas, 78602",950401,48021950401,2021,950401,Bastrop County,Texas,823,0,512,176,135,3454,72,300,1027,596,338,643,478,0,62.2,21.4,16.4,2.1,8.7,29.7,17.3,9.8,18.6,13.8,2085,69525,91387,5061,1212,23.9,3849,76.1,3376,66.7,272,5.4,34,0.7,167,3.3,0,0,0,0,0,0,537
Elgin H S,Elgin ISD,449,435,<275,<275,98.2,<25,2.3,<50,11.7,Texas,30.366256,-97.4041724,14000 County Line Road,78621,Travis County,Elgin,48453,"14000 County Line Road, Elgin, Texas, 78621",45800,48453045800,2021,45800,Travis County,Texas,192,69,24,99,0,2173,539,70,782,310,77,195,200,35.9,12.5,51.6,0,24.8,3.2,36,14.3,3.5,9,9.2,917,79115,84218,4043,2931,72.5,1112,27.5,844,20.9,86,2.1,0,0,88,2.2,0,0,0,0,94,2.3,449
Smithville H S,Smithville ISD,496,499,<150,<25,19,<25,12.5,<25,29.2,Texas,29.9980617,-97.1664756,285 State Highway 95,78957,Bastrop County,Smithville,48021,"285 State Highway 95, Smithville, Texas, 78957",950700,48021950700,2021,950700,Bastrop County,Texas,221,0,108,113,0,2988,190,75,944,917,234,409,219,0,48.9,51.1,0,6.4,2.5,31.6,30.7,7.8,13.7,7.3,1582,57857,86096,4221,602,14.3,3619,85.7,3029,71.8,381,9,31,0.7,30,0.7,0,0,0,0,148,3.5,496
McDade H S,McDade ISD,443,425,<25,<25,83.3,<25,10,<25,10,Texas,30.2830711,-97.2401656,156 Marlin Street,78650,Bastrop County,McDade,48021,"156 Marlin Street, McDade, Texas, 78650",950102,48021950102,2021,950102,Bastrop County,Texas,210,40,119,43,8,3003,249,74,1104,603,168,501,304,19,56.7,20.5,3.8,8.3,2.5,36.8,20.1,5.6,16.7,10.1,1447,92207,104785,4221,1330,31.5,2891,68.5,2779,65.8,21,0.5,0,0,5,0.1,0,0,0,0,86,2,443
Seymour H S,Seymour ISD,,,<50,<25,2.4,<25,100,<25,100,Texas,33.5920552,-99.2458215,500 Stadium Drive,76380,Baylor County,Seymour,48023,"500 Stadium Drive, Seymour, Texas, 76380",950301,48023950301,2021,950301,Baylor County,Texas,151,0,84,67,0,823,22,114,301,103,132,131,20,0,55.6,44.4,0,2.7,13.9,36.6,12.5,16,15.9,2.4,535,37056,63710,1234,170,13.8,1064,86.2,992,80.4,14,1.1,3,0.2,0,0,16,1.3,0,0,39,3.2,0
A C Jones H S,Beeville ISD,521,490,<200,<25,10.1,<25,10,<25,20,Texas,28.4191996,-97.7541083,1902 North Adams Street,78102,Bee County,Beeville,48025,"1902 North Adams Street, Beeville, Texas, 78102",950300,48025950300,2021,950300,Bee County,Texas,976,81,266,403,226,3244,142,181,840,1278,228,373,202,8.3,27.3,41.3,23.2,4.4,5.6,25.9,39.4,7,11.5,6.2,1961,59353,70340,5571,3888,69.8,1683,30.2,1565,28.1,42,0.8,0,0,38,0.7,0,0,0,0,38,0.7,521
Pettus Secondary,Pettus ISD,533,533,<25,<25,12.5,<25,,<25,66.7,Texas,28.5870772,-97.8286368,,N/A,Bee County,N/A,48025,,950100,48025950100,2021,950100,Bee County,Texas,148,37,43,68,0,1064,65,78,336,313,105,111,56,25,29.1,45.9,0,6.1,7.3,31.6,29.4,9.9,10.4,5.3,624,61186,83938,1812,984,54.3,828,45.7,799,44.1,19,1,0,0,0,0,0,0,0,0,10,0.6,533
Skidmore-Tynan H S,Skidmore-Tynan ISD,524,516,<75,<25,9.1,<25,20,<25,40,Texas,28.2254294,-97.654811,,N/A,Bee County,N/A,48025,,950600,48025950600,2021,950600,Bee County,Texas,147,15,104,28,0,1515,120,122,363,408,214,112,176,10.2,70.7,19,0,7.9,8.1,24,26.9,14.1,7.4,11.6,844,38167,70511,2165,1401,64.7,764,35.3,758,35,6,0.3,0,0,0,0,0,0,0,0,0,0,524
Richard Milburn Academy Pasadena,Richard Milburn Alter H S,,,<50,<25,3.8,<25,,<25,,Texas,29.6981333,-95.2008867,,N/A,Harris County,Pasadena,48201,,323000,48201323000,2021,323000,Harris County,Texas,606,49,387,170,0,4056,1106,626,1383,395,249,278,19,8.1,63.9,28.1,0,27.3,15.4,34.1,9.7,6.1,6.9,0.5,2087,39860,63319,7480,6848,91.6,632,8.4,547,7.3,76,1,0,0,2,0,0,0,0,0,7,0.1,0
Cove Charter Academy,Priority Charter Schools,,,<25,<25,8.3,<25,,<25,,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2021,950100,Runnels County,Texas,66,19,36,11,0,823,20,17,266,201,42,243,34,28.8,54.5,16.7,0,2.4,2.1,32.3,24.4,5.1,29.5,4.1,465,64539,91282,1069,145,13.6,924,86.4,851,79.6,46,4.3,0,0,0,0,0,0,0,0,27,2.5,0
Gateway Tech H S,Orenda Charter School,453,457,<25,<25,23.1,<25,,<25,,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2021,950100,Runnels County,Texas,66,19,36,11,0,823,20,17,266,201,42,243,34,28.8,54.5,16.7,0,2.4,2.1,32.3,24.4,5.1,29.5,4.1,465,64539,91282,1069,145,13.6,924,86.4,851,79.6,46,4.3,0,0,0,0,0,0,0,0,27,2.5,453
Gateway College Preparatory School,Orenda Charter School,570,541,<75,<75,93.2,<25,33.8,<50,60.3,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2021,950100,Runnels County,Texas,66,19,36,11,0,823,20,17,266,201,42,243,34,28.8,54.5,16.7,0,2.4,2.1,32.3,24.4,5.1,29.5,4.1,465,64539,91282,1069,145,13.6,924,86.4,851,79.6,46,4.3,0,0,0,0,0,0,0,0,27,2.5,570
Academy H S,Academy ISD,533,510,<125,<50,32.5,<25,21.6,<25,40.5,Texas,30.990356,-97.341399,850 State Highway 95,76554,Bell County,Little River-Academy,48027,"850 State Highway 95, Little River-Academy, Texas, 76554",21400,48027021400,2021,21400,Bell County,Texas,382,100,118,96,68,2869,137,127,890,684,257,499,275,26.2,30.9,25.1,17.8,4.8,4.4,31,23.8,9,17.4,9.6,1580,77606,107888,4565,906,19.8,3659,80.2,3424,75,31,0.7,0,0,32,0.7,37,0.8,0,0,135,3,533
Belton H S,Belton ISD,500,485,800,703,87.9,106,15.1,227,32.3,Texas,31.0869689,-97.4702095,600 Lake Road,76513,Bell County,Belton,48027,"600 Lake Road, Belton, Texas, 76513",21701,48027021701,2021,21701,Bell County,Texas,400,30,209,145,16,3192,131,92,399,799,286,832,653,7.5,52.3,36.3,4,4.1,2.9,12.5,25,9,26.1,20.5,2028,82982,153826,5780,931,16.1,4849,83.9,4391,76,155,2.7,57,1,113,2,0,0,0,0,133,2.3,500
Holland H S,Holland ISD,520,514,<75,<50,66.7,<25,14.7,<25,44.1,Texas,30.878908,-97.4104513,101 Rose Street,76534,Bell County,Holland,48027,"101 Rose Street, Holland, Texas, 76534",23402,48027023402,2021,23402,Bell County,Texas,487,28,163,248,48,3704,94,283,1168,1083,277,531,268,5.7,33.5,50.9,9.9,2.5,7.6,31.5,29.2,7.5,14.3,7.2,1869,76523,90135,5635,1309,23.2,4326,76.8,4114,73,110,2,9,0.2,38,0.7,0,0,0,0,55,1,520
Killeen H S,Killeen ISD,486,479,409,244,59.7,23,9.4,69,28.3,Texas,31.1123062,-97.6986788,500 North 38th Street,76543,Bell County,Killeen,48027,"500 North 38th Street, Killeen, Texas, 76543",22200,48027022200,2021,22200,Bell County,Texas,1002,0,480,473,49,2677,69,183,868,681,125,530,221,0,47.9,47.2,4.9,2.6,6.8,32.4,25.4,4.7,19.8,8.3,2164,50041,53338,4574,1636,35.8,2938,64.2,1363,29.8,1165,25.5,0,0,154,3.4,73,1.6,21,0.5,162,3.5,486
C E Ellison H S,Killeen ISD,491,474,488,294,60.2,27,9.2,80,27.2,Texas,31.0838677,-97.7388664,909 East Elms Road,76542,Bell County,Killeen,48027,"909 East Elms Road, Killeen, Texas, 76542",23002,48027023002,2021,23002,Bell County,Texas,350,139,46,57,108,2283,127,21,630,798,166,381,160,39.7,13.1,16.3,30.9,5.6,0.9,27.6,35,7.3,16.7,7,1364,49375,90398,3536,305,8.6,3231,91.4,2065,58.4,741,21,0,0,0,0,0,0,0,0,425,12,491
Pathways Academic Campus,Killeen ISD,430,418,<400,<50,8.9,<25,2.9,<25,5.9,Texas,31.053353,-97.7515357,1322 Stagecoach Road,76542,Bell County,Killeen,48027,"1322 Stagecoach Road, Killeen, Texas, 76542",23302,48027023302,2021,23302,Bell County,Texas,401,62,184,104,51,2249,31,26,566,952,193,317,164,15.5,45.9,25.9,12.7,1.4,1.2,25.2,42.3,8.6,14.1,7.3,1198,74591,87629,3426,1215,35.5,2211,64.5,1119,32.7,811,23.7,0,0,24,0.7,49,1.4,0,0,208,6.1,430
Harker Heights H S,Killeen ISD,511,498,527,385,73.1,64,16.6,141,36.6,Texas,31.0568127,-97.6521492,1001 Farm to Market 2410,76548,Bell County,Harker Heights,48027,"1001 Farm to Market 2410, Harker Heights, Texas, 76548",21908,48027021908,2021,21908,Bell County,Texas,375,55,63,225,32,4343,129,79,1082,985,319,1298,451,14.7,16.8,60,8.5,3,1.8,24.9,22.7,7.3,29.9,10.4,2342,89417,102270,6755,924,13.7,5831,86.3,4020,59.5,1113,16.5,34,0.5,178,2.6,0,0,0,0,486,7.2,511
