unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
08001007801,2021,7801,Adams County,Colorado,380,103,190,67,20,2206,621,392,429,521,87,112,44,27.1,50.0,17.6,5.3,28.2,17.8,19.4,23.6,3.9,5.1,2.0,1285,37702,42735,4027,1341,33.3,2686,66.7,768,19.1,783,19.4,30,0.7,1032,25.6,4,0.1,12,0.3,57,1.4
08001007802,2021,7802,Adams County,Colorado,548,103,275,143,27,2748,710,253,915,431,143,190,106,18.8,50.2,26.1,4.9,25.8,9.2,33.3,15.7,5.2,6.9,3.9,1468,46096,55994,4598,2686,58.4,1912,41.6,660,14.4,728,15.8,83,1.8,287,6.2,21,0.5,41,0.9,92,2.0
08001007900,2021,7900,Adams County,Colorado,513,168,192,153,0,3508,515,493,1124,488,322,324,242,32.7,37.4,29.8,0.0,14.7,14.1,32.0,13.9,9.2,9.2,6.9,2131,52952,80871,5749,2819,49.0,2930,51.0,1478,25.7,968,16.8,18,0.3,208,3.6,0,0.0,18,0.3,240,4.2
08001008000,2021,8000,Adams County,Colorado,500,223,161,74,42,3614,380,262,1229,672,332,417,322,44.6,32.2,14.8,8.4,10.5,7.2,34.0,18.6,9.2,11.5,8.9,1735,60447,77393,5515,2428,44.0,3087,56.0,1876,34.0,456,8.3,109,2.0,97,1.8,0,0.0,345,6.3,204,3.7
08001008100,2021,8100,Adams County,Colorado,306,35,8,68,195,1139,42,31,167,102,89,353,355,11.4,2.6,22.2,63.7,3.7,2.7,14.7,9.0,7.8,31.0,31.2,716,51034,62055,1538,261,17.0,1277,83.0,795,51.7,38,2.5,79,5.1,256,16.6,0,0.0,18,1.2,91,5.9
08001008200,2021,8200,Adams County,Colorado,619,204,276,132,7,4337,442,621,1516,817,365,437,139,33.0,44.6,21.3,1.1,10.2,14.3,35.0,18.8,8.4,10.1,3.2,1590,84240,94515,6892,3903,56.6,2989,43.4,1856,26.9,684,9.9,0,0.0,206,3.0,0,0.0,0,0.0,243,3.5
08001008308,2021,8308,Adams County,Colorado,501,159,186,87,69,3451,542,483,1190,490,225,313,208,31.7,37.1,17.4,13.8,15.7,14.0,34.5,14.2,6.5,9.1,6.0,1826,46595,60335,5827,3306,56.7,2521,43.3,1059,18.2,960,16.5,1,0.0,433,7.4,0,0.0,26,0.4,42,0.7
08001008309,2021,8309,Adams County,Colorado,443,142,244,57,0,2206,327,478,729,298,124,189,61,32.1,55.1,12.9,0.0,14.8,21.7,33.0,13.5,5.6,8.6,2.8,1173,64082,67206,4023,2630,65.4,1393,34.6,916,22.8,353,8.8,0,0.0,115,2.9,0,0.0,0,0.0,9,0.2
08001008354,2021,8354,Adams County,Colorado,546,57,48,417,24,2700,153,172,1007,443,77,703,145,10.4,8.8,76.4,4.4,5.7,6.4,37.3,16.4,2.9,26.0,5.4,1412,101250,104885,4211,992,23.6,3219,76.4,938,22.3,1646,39.1,3,0.1,233,5.5,4,0.1,0,0.0,395,9.4
08001008355,2021,8355,Adams County,Colorado,381,56,196,120,9,3312,224,252,1200,775,286,333,242,14.7,51.4,31.5,2.4,6.8,7.6,36.2,23.4,8.6,10.1,7.3,1787,54845,69920,5016,2453,48.9,2563,51.1,1835,36.6,363,7.2,0,0.0,256,5.1,0,0.0,0,0.0,109,2.2
08001008401,2021,8401,Adams County,Colorado,455,117,164,174,0,3758,50,285,1608,719,408,566,122,25.7,36.0,38.2,0.0,1.3,7.6,42.8,19.1,10.9,15.1,3.2,1972,88286,100682,5491,772,14.1,4719,85.9,4346,79.1,28,0.5,25,0.5,16,0.3,0,0.0,75,1.4,229,4.2
08001008402,2021,8402,Adams County,Colorado,444,58,272,64,50,3172,27,109,794,939,429,591,283,13.1,61.3,14.4,11.3,0.9,3.4,25.0,29.6,13.5,18.6,8.9,1626,114276,121709,4974,699,14.1,4275,85.9,3903,78.5,41,0.8,5,0.1,10,0.2,0,0.0,44,0.9,272,5.5
08001008505,2021,8505,Adams County,Colorado,641,64,390,179,8,4586,131,329,1771,1043,464,463,385,10.0,60.8,27.9,1.2,2.9,7.2,38.6,22.7,10.1,10.1,8.4,2211,81701,86580,6952,2261,32.5,4691,67.5,4247,61.1,277,4.0,66,0.9,28,0.4,0,0.0,0,0.0,73,1.1
08001008506,2021,8506,Adams County,Colorado,805,75,347,338,45,3800,221,295,1099,883,444,597,261,9.3,43.1,42.0,5.6,5.8,7.8,28.9,23.2,11.7,15.7,6.9,2745,43804,70951,6249,1874,30.0,4375,70.0,3439,55.0,98,1.6,81,1.3,83,1.3,102,1.6,22,0.4,550,8.8
08001008507,2021,8507,Adams County,Colorado,533,6,245,282,0,4516,305,142,2080,1051,395,355,188,1.1,46.0,52.9,0.0,6.8,3.1,46.1,23.3,8.7,7.9,4.2,2043,92614,97992,6091,1979,32.5,4112,67.5,3605,59.2,252,4.1,0,0.0,57,0.9,0,0.0,42,0.7,156,2.6
08001008508,2021,8508,Adams County,Colorado,473,33,204,100,136,3578,105,355,912,1031,458,468,249,7.0,43.1,21.1,28.8,2.9,9.9,25.5,28.8,12.8,13.1,7.0,1845,72263,87079,5536,1802,32.6,3734,67.4,3378,61.0,45,0.8,23,0.4,105,1.9,0,0.0,12,0.2,171,3.1
08001008524,2021,8524,Adams County,Colorado,662,103,239,196,124,6245,132,278,1379,1390,605,1582,879,15.6,36.1,29.6,18.7,2.1,4.5,22.1,22.3,9.7,25.3,14.1,2880,126406,132991,9478,1638,17.3,7840,82.7,5945,62.7,280,3.0,21,0.2,897,9.5,0,0.0,72,0.8,625,6.6
08001008526,2021,8526,Adams County,Colorado,556,105,209,100,142,4933,103,272,900,1293,333,1293,739,18.9,37.6,18.0,25.5,2.1,5.5,18.2,26.2,6.8,26.2,15.0,2744,98283,113923,7366,1238,16.8,6128,83.2,4965,67.4,46,0.6,0,0.0,739,10.0,0,0.0,0,0.0,378,5.1
08001008533,2021,8533,Adams County,Colorado,685,126,219,334,6,5417,266,331,1162,1271,633,1345,409,18.4,32.0,48.8,0.9,4.9,6.1,21.5,23.5,11.7,24.8,7.6,3100,74717,83869,8142,3053,37.5,5089,62.5,4278,52.5,183,2.2,50,0.6,325,4.0,0,0.0,0,0.0,253,3.1
08001008534,2021,8534,Adams County,Colorado,441,40,255,97,49,2956,165,159,990,744,279,400,219,9.1,57.8,22.0,11.1,5.6,5.4,33.5,25.2,9.4,13.5,7.4,1496,92368,108548,4693,1993,42.5,2700,57.5,2481,52.9,34,0.7,0,0.0,130,2.8,0,0.0,29,0.6,26,0.6
08001008535,2021,8535,Adams County,Colorado,463,83,246,119,15,3119,297,384,989,476,312,487,174,17.9,53.1,25.7,3.2,9.5,12.3,31.7,15.3,10.0,15.6,5.6,1529,100662,98120,4626,1756,38.0,2870,62.0,2613,56.5,108,2.3,23,0.5,87,1.9,0,0.0,0,0.0,39,0.8
08001008536,2021,8536,Adams County,Colorado,247,22,201,24,0,2970,62,256,639,468,283,671,591,8.9,81.4,9.7,0.0,2.1,8.6,21.5,15.8,9.5,22.6,19.9,1437,126424,133986,4346,1108,25.5,3238,74.5,2599,59.8,66,1.5,4,0.1,355,8.2,0,0.0,11,0.3,203,4.7
08001008538,2021,8538,Adams County,Colorado,737,137,340,241,19,6315,272,179,848,1701,552,1614,1149,18.6,46.1,32.7,2.6,4.3,2.8,13.4,26.9,8.7,25.6,18.2,3132,131231,146446,10456,3155,30.2,7301,69.8,6103,58.4,684,6.5,0,0.0,171,1.6,0,0.0,18,0.2,325,3.1
08001008540,2021,8540,Adams County,Colorado,850,126,279,230,215,5806,174,308,1609,1407,588,1344,376,14.8,32.8,27.1,25.3,3.0,5.3,27.7,24.2,10.1,23.1,6.5,2812,132986,138210,9156,2712,29.6,6444,70.4,5323,58.1,0,0.0,74,0.8,739,8.1,0,0.0,0,0.0,308,3.4
08001008544,2021,8544,Adams County,Colorado,594,17,65,502,10,3365,56,66,474,619,301,1182,667,2.9,10.9,84.5,1.7,1.7,2.0,14.1,18.4,8.9,35.1,19.8,1787,131083,148011,5898,1241,21.0,4657,79.0,3816,64.7,96,1.6,0,0.0,469,8.0,0,0.0,0,0.0,276,4.7
08001008545,2021,8545,Adams County,Colorado,303,25,134,97,47,4299,12,187,881,733,416,1362,708,8.3,44.2,32.0,15.5,0.3,4.3,20.5,17.1,9.7,31.7,16.5,2131,120612,122741,6265,875,14.0,5390,86.0,4940,78.9,11,0.2,0,0.0,129,2.1,0,0.0,18,0.3,292,4.7
08001008546,2021,8546,Adams County,Colorado,179,16,96,45,22,2858,114,235,720,469,491,617,212,8.9,53.6,25.1,12.3,4.0,8.2,25.2,16.4,17.2,21.6,7.4,1484,90517,107860,3999,1151,28.8,2848,71.2,2357,58.9,0,0.0,0,0.0,463,11.6,0,0.0,0,0.0,28,0.7
08001008547,2021,8547,Adams County,Colorado,232,30,98,96,8,2193,13,73,609,510,226,536,226,12.9,42.2,41.4,3.4,0.6,3.3,27.8,23.3,10.3,24.4,10.3,1107,99479,150324,3243,624,19.2,2619,80.8,2274,70.1,0,0.0,6,0.2,42,1.3,5,0.2,0,0.0,292,9.0
08001008548,2021,8548,Adams County,Colorado,67,12,15,40,0,1187,16,9,251,294,98,377,142,17.9,22.4,59.7,0.0,1.3,0.8,21.1,24.8,8.3,31.8,12.0,570,104063,108409,1729,390,22.6,1339,77.4,1050,60.7,8,0.5,40,2.3,110,6.4,0,0.0,5,0.3,126,7.3
08001008549,2021,8549,Adams County,Colorado,396,14,205,168,9,2559,367,200,483,494,242,561,212,3.5,51.8,42.4,2.3,14.3,7.8,18.9,19.3,9.5,21.9,8.3,1251,110324,116703,4113,1345,32.7,2768,67.3,2190,53.2,0,0.0,16,0.4,469,11.4,4,0.1,0,0.0,89,2.2
08001008550,2021,8550,Adams County,Colorado,495,40,223,129,103,5529,151,341,1599,1395,533,1232,278,8.1,45.1,26.1,20.8,2.7,6.2,28.9,25.2,9.6,22.3,5.0,2639,96935,107837,7788,2167,27.8,5621,72.2,4923,63.2,145,1.9,0,0.0,399,5.1,0,0.0,0,0.0,154,2.0
08001008551,2021,8551,Adams County,Colorado,35,18,17,0,0,1132,12,101,279,154,85,348,153,51.4,48.6,0.0,0.0,1.1,8.9,24.6,13.6,7.5,30.7,13.5,547,157526,164911,1647,336,20.4,1311,79.6,1136,69.0,21,1.3,0,0.0,87,5.3,0,0.0,0,0.0,67,4.1
08001008552,2021,8552,Adams County,Colorado,382,74,59,110,139,2917,92,217,965,615,222,565,241,19.4,15.4,28.8,36.4,3.2,7.4,33.1,21.1,7.6,19.4,8.3,1638,85093,91487,4378,1317,30.1,3061,69.9,2629,60.1,22,0.5,0,0.0,250,5.7,0,0.0,18,0.4,142,3.2
08001008553,2021,8553,Adams County,Colorado,494,16,59,283,136,3458,55,65,953,1156,466,543,220,3.2,11.9,57.3,27.5,1.6,1.9,27.6,33.4,13.5,15.7,6.4,1756,130163,133260,5096,834,16.4,4262,83.6,3954,77.6,18,0.4,9,0.2,74,1.5,0,0.0,0,0.0,207,4.1
08001008554,2021,8554,Adams County,Colorado,362,0,136,217,9,2019,51,72,493,337,427,486,153,0.0,37.6,59.9,2.5,2.5,3.6,24.4,16.7,21.1,24.1,7.6,1043,73018,82749,2750,549,20.0,2201,80.0,1702,61.9,334,12.1,0,0.0,0,0.0,0,0.0,0,0.0,165,6.0
08001008555,2021,8555,Adams County,Colorado,795,128,437,230,0,3464,24,326,993,1018,368,523,212,16.1,55.0,28.9,0.0,0.7,9.4,28.7,29.4,10.6,15.1,6.1,2283,63292,70169,6145,2359,38.4,3786,61.6,3192,51.9,414,6.7,0,0.0,100,1.6,0,0.0,0,0.0,80,1.3
