unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
08001007801,2021,7801,Adams County,Colorado,380,103,190,67,20,2206,621,392,429,521,87,112,44,27.1,50.0,17.6,5.3,28.2,17.8,19.4,23.6,3.9,5.1,2.0
08001007802,2021,7802,Adams County,Colorado,548,103,275,143,27,2748,710,253,915,431,143,190,106,18.8,50.2,26.1,4.9,25.8,9.2,33.3,15.7,5.2,6.9,3.9
08001007900,2021,7900,Adams County,Colorado,513,168,192,153,0,3508,515,493,1124,488,322,324,242,32.7,37.4,29.8,0.0,14.7,14.1,32.0,13.9,9.2,9.2,6.9
08001008000,2021,8000,Adams County,Colorado,500,223,161,74,42,3614,380,262,1229,672,332,417,322,44.6,32.2,14.8,8.4,10.5,7.2,34.0,18.6,9.2,11.5,8.9
08001008100,2021,8100,Adams County,Colorado,306,35,8,68,195,1139,42,31,167,102,89,353,355,11.4,2.6,22.2,63.7,3.7,2.7,14.7,9.0,7.8,31.0,31.2
08001008200,2021,8200,Adams County,Colorado,619,204,276,132,7,4337,442,621,1516,817,365,437,139,33.0,44.6,21.3,1.1,10.2,14.3,35.0,18.8,8.4,10.1,3.2
08001008308,2021,8308,Adams County,Colorado,501,159,186,87,69,3451,542,483,1190,490,225,313,208,31.7,37.1,17.4,13.8,15.7,14.0,34.5,14.2,6.5,9.1,6.0
08001008309,2021,8309,Adams County,Colorado,443,142,244,57,0,2206,327,478,729,298,124,189,61,32.1,55.1,12.9,0.0,14.8,21.7,33.0,13.5,5.6,8.6,2.8
08001008354,2021,8354,Adams County,Colorado,546,57,48,417,24,2700,153,172,1007,443,77,703,145,10.4,8.8,76.4,4.4,5.7,6.4,37.3,16.4,2.9,26.0,5.4
08001008355,2021,8355,Adams County,Colorado,381,56,196,120,9,3312,224,252,1200,775,286,333,242,14.7,51.4,31.5,2.4,6.8,7.6,36.2,23.4,8.6,10.1,7.3
