School Name,District Name,Reading/Writing Score,Math Scores,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage),RW Scores
Cayuga HS,Cayuga ISD,513,496,<50,<50,63,<25,10.3,<25,27.6,Texas,31.9223523,-95.9237207,17750 North US Highway 287,75861,Anderson County,Bethel,48001,"17750 North US Highway 287, Bethel, Texas, 75861",951100,48001951100,2022,951100,Anderson County,Texas,258,0,171,87,0,3667,110,99,1478,1014,416,432,118,0,66.3,33.7,0,3,2.7,40.3,27.7,11.3,11.8,3.2,1922,72483,82462,4989,544,10.9,4445,89.1,3801,76.2,216,4.3,35,0.7,25,0.5,0,0,0,0,368,7.4,513
Elkhart HS,Elkhart ISD,514,507,<75,<50,44.9,<25,12.9,<25,41.9,Texas,31.6556921,-95.582224,9002 Texas 19,75839,Anderson County,Elkhart,48001,"9002 Texas 19, Elkhart, Texas, 75839",951002,48001951002,2022,951002,Anderson County,Texas,155,55,91,9,0,2311,51,192,717,557,328,284,182,35.5,58.7,5.8,0,2.2,8.3,31,24.1,14.2,12.3,7.9,1145,76397,87731,3363,256,7.6,3107,92.4,2768,82.3,190,5.6,0,0,4,0.1,0,0,20,0.6,125,3.7,514
Frankston HS,Frankston ISD,511,505,<50,<50,95.6,<25,11.6,<25,32.6,Texas,32.0616537,-95.5050231,100 Perry Street,75763,Anderson County,Frankston,48001,"100 Perry Street, Frankston, Texas, 75763",950100,48001950100,2022,950100,Anderson County,Texas,387,77,270,40,0,3695,144,179,1138,978,467,452,337,19.9,69.8,10.3,0,3.9,4.8,30.8,26.5,12.6,12.2,9.1,1833,69663,82707,5268,488,9.3,4780,90.7,4061,77.1,213,4,1,0,30,0.6,0,0,1,0,474,9,511
Neches HS,Neches ISD,565,532,<25,<25,54.2,<25,30.8,<25,61.5,Texas,31.8968767,-95.4987565,,N/A,Anderson County,N/A,48001,,950100,48001950100,2022,950100,Anderson County,Texas,387,77,270,40,0,3695,144,179,1138,978,467,452,337,19.9,69.8,10.3,0,3.9,4.8,30.8,26.5,12.6,12.2,9.1,1833,69663,82707,5268,488,9.3,4780,90.7,4061,77.1,213,4,1,0,30,0.6,0,0,1,0,474,9,565
Palestine HS,Palestine ISD,544,541,233,83,35.6,25,30.1,48,57.8,Texas,31.738417,-95.6055707,1600 Texas 256 Loop,75801,Anderson County,Palestine,48001,"1600 Texas 256 Loop, Palestine, Texas, 75801",950800,48001950800,2022,950800,Anderson County,Texas,516,42,277,162,35,4236,85,265,1741,776,455,642,272,8.1,53.7,31.4,6.8,2,6.3,41.1,18.3,10.7,15.2,6.4,2844,44464,62920,6394,974,15.2,5420,84.8,2950,46.1,2127,33.3,17,0.3,40,0.6,0,0,0,0,286,4.5,544
Westwood HS,Westwood ISD,500,475,<100,<75,55.8,<25,3.8,<25,15.1,Texas,31.7302275,-95.6802595,1820 Panther Boulevard,75803,Anderson County,Palestine,48001,"1820 Panther Boulevard, Palestine, Texas, 75803",950600,48001950600,2022,950600,Anderson County,Texas,675,95,521,59,0,3204,170,250,1504,831,303,123,23,14.1,77.2,8.7,0,5.3,7.8,46.9,25.9,9.5,3.8,0.7,1988,42949,53099,5448,1419,26,4029,74,3287,60.3,711,13.1,0,0,0,0,0,0,0,0,31,0.6,500
Slocum HS,Slocum ISD,562,545,<50,<25,46.4,<25,30.8,<25,69.2,Texas,31.6319962,-95.4622184,5765 Texas 294,75839,Anderson County,Elkhart,48001,"5765 Texas 294, Elkhart, Texas, 75839",951001,48001951001,2022,951001,Anderson County,Texas,535,215,53,267,0,2888,20,136,997,942,225,438,130,40.2,9.9,49.9,0,0.7,4.7,34.5,32.6,7.8,15.2,4.5,1423,61090,102778,4527,288,6.4,4239,93.6,3516,77.7,409,9,20,0.4,27,0.6,0,0,29,0.6,238,5.3,562
Andrews HS,Andrews ISD,511,514,248,88,35.5,14,15.9,32,36.4,Texas,32.3255514,-102.5680033,1400 Northwest Avenue K,79714,Andrews County,Andrews,48003,"1400 Northwest Avenue K, Andrews, Texas, 79714",950200,48003950200,2022,950200,Andrews County,Texas,717,148,285,284,0,4539,230,462,1275,966,443,897,266,20.6,39.7,39.6,0,5.1,10.2,28.1,21.3,9.8,19.8,5.9,2811,87760,112291,7507,3686,49.1,3821,50.9,3608,48.1,50,0.7,0,0,87,1.2,0,0,0,0,76,1,511
Pineywoods Community Academy HS,Pineywoods Community Academy,572,534,<75,<50,48.3,<25,31,<25,44.8,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2022,950100,Runnels County,Texas,71,38,33,0,0,896,85,14,285,216,34,223,39,53.5,46.5,0,0,9.5,1.6,31.8,24.1,3.8,24.9,4.4,480,66094,86568,1104,255,23.1,849,76.9,794,71.9,26,2.4,0,0,0,0,0,0,0,0,29,2.6,572
Hudson HS,Hudson ISD,550,557,173,77,44.5,23,29.9,50,64.9,Texas,31.3150453,-94.8274883,6735 Ted Trout Drive,75904,Angelina County,Lufkin,48005,"6735 Ted Trout Drive, Lufkin, Texas, 75904",102,48005000102,2022,102,Angelina County,Texas,271,58,50,92,71,3344,140,213,1161,771,432,415,212,21.4,18.5,33.9,26.2,4.2,6.4,34.7,23.1,12.9,12.4,6.3,1980,62000,88389,5271,500,9.5,4771,90.5,4211,79.9,349,6.6,0,0,44,0.8,0,0,27,0.5,140,2.7,550
Lufkin HS,Lufkin ISD,463,475,503,451,89.7,48,10.6,99,22,Texas,31.3355579,-94.6885604,309 South Medford Drive,75901,Angelina County,Lufkin,48005,"309 South Medford Drive, Lufkin, Texas, 75901",600,48005000600,2022,600,Angelina County,Texas,939,40,519,346,34,3674,615,520,1225,624,193,371,126,4.3,55.3,36.8,3.6,16.7,14.2,33.3,17,5.3,10.1,3.4,1609,59266,62692,6395,3902,61,2493,39,947,14.8,1467,22.9,13,0.2,11,0.2,0,0,0,0,55,0.9,463
Huntington HS,Huntington ISD,505,509,<125,<75,49,<25,8,<25,30,Texas,31.2637104,-94.5740147,952 South Gibson Street,75949,Angelina County,Huntington,48005,"952 South Gibson Street, Huntington, Texas, 75949",1101,48005001101,2022,1101,Angelina County,Texas,177,39,95,26,17,2736,151,270,1141,492,228,320,134,22,53.7,14.7,9.6,5.5,9.9,41.7,18,8.3,11.7,4.9,1327,59345,80461,3835,702,18.3,3133,81.7,2928,76.3,45,1.2,0,0,7,0.2,0,0,0,0,153,4,505
Diboll HS,Diboll ISD,452,460,<150,<100,59.4,<25,1.3,<25,17.1,Texas,31.1926292,-94.7681288,1000 Lumberjack Drive,75941,Angelina County,Diboll,48005,"1000 Lumberjack Drive, Diboll, Texas, 75941",1002,48005001002,2022,1002,Angelina County,Texas,312,36,152,124,0,2609,290,176,825,581,98,388,251,11.5,48.7,39.7,0,11.1,6.7,31.6,22.3,3.8,14.9,9.6,1493,67675,77528,4157,1554,37.4,2603,62.6,1744,42,653,15.7,0,0,80,1.9,0,0,4,0.1,122,2.9,452
Zavalla HS,Zavalla ISD,500,456,<25,<25,23.8,<25,20,<25,20,Texas,31.1434138,-94.356513,,N/A,Angelina County,N/A,48005,,1200,48005001200,2022,1200,Angelina County,Texas,176,98,52,4,22,1880,46,290,621,621,143,109,50,55.7,29.5,2.3,12.5,2.4,15.4,33,33,7.6,5.8,2.7,1065,40139,61482,2613,13,0.5,2600,99.5,2515,96.2,0,0,0,0,19,0.7,0,0,0,0,66,2.5,500
Central HS,Central ISD,488,471,<100,<75,77.1,<25,6.3,<25,15.6,Texas,31.4300897,-94.8123595,7622 U.S. 69,75969,Angelina County,Pollok,48005,"7622 U.S. 69, Pollok, Texas, 75969",103,48005000103,2022,103,Angelina County,Texas,194,0,25,149,20,2593,454,275,789,677,187,172,39,0,12.9,76.8,10.3,17.5,10.6,30.4,26.1,7.2,6.6,1.5,1030,39750,73143,3292,728,22.1,2564,77.9,1897,57.6,324,9.8,10,0.3,28,0.9,0,0,0,0,305,9.3,488
Rockport-Fulton HS,Aransas County ISD,474,462,<250,<225,87.3,<25,6.6,<50,20.2,Texas,28.0408019,-97.0450123,1801 Omohundro Street,78382,Aransas County,Rockport,48007,"1801 Omohundro Street, Rockport, Texas, 78382",950302,48007950302,2022,950302,Aransas County,Texas,132,0,0,77,55,2557,119,55,730,444,130,750,329,0,0,58.3,41.7,4.7,2.2,28.5,17.4,5.1,29.3,12.9,1311,83821,108321,3285,705,21.5,2580,78.5,2537,77.2,21,0.6,11,0.3,0,0,0,0,0,0,11,0.3,474
Archer City HS,Archer City ISD,,,<75,<25,2,<25,100,<25,100,Texas,33.5905926,-98.6354816,416-488 South Popular Street,76351,Archer County,Archer City,48009,"416-488 South Popular Street, Archer City, Texas, 76351",20300,48009020300,2022,20300,Archer County,Texas,320,50,110,147,13,2181,106,192,926,448,87,322,100,15.6,34.4,45.9,4.1,4.9,8.8,42.5,20.5,4,14.8,4.6,1248,60000,79059,3311,451,13.6,2860,86.4,2645,79.9,39,1.2,10,0.3,0,0,0,0,0,0,166,5,0
