unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
25025060501,2019,60501,Suffolk County,Massachusetts,245,29,30,27,159,3494,29,97,226,227,216,1813,886,11.8,12.2,11.0,64.9,0.8,2.8,6.5,6.5,6.2,51.9,25.4
25025060600,2019,60600,Suffolk County,Massachusetts,147,5,7,32,103,3826,69,11,250,156,171,1762,1407,3.4,4.8,21.8,70.1,1.8,0.3,6.5,4.1,4.5,46.1,36.8
25025060700,2019,60700,Suffolk County,Massachusetts,282,106,29,125,22,1417,359,199,385,283,73,118,0,37.6,10.3,44.3,7.8,25.3,14.0,27.2,20.0,5.2,8.3,0.0
25025060800,2019,60800,Suffolk County,Massachusetts,139,0,0,9,130,4261,209,143,493,219,154,2009,1034,0.0,0.0,6.5,93.5,4.9,3.4,11.6,5.1,3.6,47.1,24.3
25025061000,2019,61000,Suffolk County,Massachusetts,214,9,55,10,140,2157,122,186,624,386,41,585,213,4.2,25.7,4.7,65.4,5.7,8.6,28.9,17.9,1.9,27.1,9.9
25025061101,2019,61101,Suffolk County,Massachusetts,198,35,44,92,27,1514,294,162,510,169,50,304,25,17.7,22.2,46.5,13.6,19.4,10.7,33.7,11.2,3.3,20.1,1.7
25025061200,2019,61200,Suffolk County,Massachusetts,378,26,31,80,241,3860,119,23,253,196,129,1709,1431,6.9,8.2,21.2,63.8,3.1,0.6,6.6,5.1,3.3,44.3,37.1
25025070101,2019,70101,Suffolk County,Massachusetts,1714,12,345,1138,219,5107,533,109,545,249,140,1192,2339,0.7,20.1,66.4,12.8,10.4,2.1,10.7,4.9,2.7,23.3,45.8
25025070200,2019,70200,Suffolk County,Massachusetts,1830,0,487,1143,200,3009,929,173,520,143,52,579,613,0.0,26.6,62.5,10.9,30.9,5.7,17.3,4.8,1.7,19.2,20.4
25025070300,2019,70300,Suffolk County,Massachusetts,399,19,1,172,207,3710,171,49,279,174,44,1208,1785,4.8,0.3,43.1,51.9,4.6,1.3,7.5,4.7,1.2,32.6,48.1
