unique_id,year,tract_number,county_name,state_name,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)"
25001010100,2018,10100,Barnstable County,Massachusetts,126,2,48,76,0,2691,69,94,511,551,155,716,595,1.6,38.1,60.3,0.0,2.6,3.5,19.0,20.5,5.8,26.6,22.1
25001010206,2018,10206,Barnstable County,Massachusetts,366,2,42,106,216,2698,34,140,561,364,177,847,575,0.5,11.5,29.0,59.0,1.3,5.2,20.8,13.5,6.6,31.4,21.3
25001010208,2018,10208,Barnstable County,Massachusetts,42,19,1,22,0,1080,56,40,227,198,0,348,211,45.2,2.4,52.4,0.0,5.2,3.7,21.0,18.3,0.0,32.2,19.5
25001010304,2018,10304,Barnstable County,Massachusetts,254,0,81,36,137,1999,37,33,388,340,167,538,496,0.0,31.9,14.2,53.9,1.9,1.7,19.4,17.0,8.4,26.9,24.8
25001010306,2018,10306,Barnstable County,Massachusetts,207,66,41,58,42,1933,0,77,466,269,149,548,424,31.9,19.8,28.0,20.3,0.0,4.0,24.1,13.9,7.7,28.3,21.9
25001010400,2018,10400,Barnstable County,Massachusetts,93,0,44,49,0,2514,0,38,535,494,211,697,539,0.0,47.3,52.7,0.0,0.0,1.5,21.3,19.6,8.4,27.7,21.4
25001010500,2018,10500,Barnstable County,Massachusetts,45,19,26,0,0,2361,32,0,322,311,153,897,646,42.2,57.8,0.0,0.0,1.4,0.0,13.6,13.2,6.5,38.0,27.4
25001010600,2018,10600,Barnstable County,Massachusetts,242,25,5,93,119,2554,35,22,385,406,233,897,576,10.3,2.1,38.4,49.2,1.4,0.9,15.1,15.9,9.1,35.1,22.6
25001010700,2018,10700,Barnstable County,Massachusetts,109,0,34,57,18,2529,30,62,422,297,290,817,611,0.0,31.2,52.3,16.5,1.2,2.5,16.7,11.7,11.5,32.3,24.2
25001010800,2018,10800,Barnstable County,Massachusetts,125,63,0,62,0,3837,10,28,697,495,246,1396,965,50.4,0.0,49.6,0.0,0.3,0.7,18.2,12.9,6.4,36.4,25.1
25001010900,2018,10900,Barnstable County,Massachusetts,487,9,326,134,18,3946,42,135,902,903,360,799,805,1.8,66.9,27.5,3.7,1.1,3.4,22.9,22.9,9.1,20.2,20.4
25001011002,2018,11002,Barnstable County,Massachusetts,214,0,57,138,19,3163,62,53,794,742,240,753,519,0.0,26.6,64.5,8.9,2.0,1.7,25.1,23.5,7.6,23.8,16.4
25001011100,2018,11100,Barnstable County,Massachusetts,357,67,122,168,0,3637,47,63,715,661,258,1141,752,18.8,34.2,47.1,0.0,1.3,1.7,19.7,18.2,7.1,31.4,20.7
25001011200,2018,11200,Barnstable County,Massachusetts,190,48,76,66,0,2869,8,39,517,446,249,762,848,25.3,40.0,34.7,0.0,0.3,1.4,18.0,15.5,8.7,26.6,29.6
25001011300,2018,11300,Barnstable County,Massachusetts,61,0,0,29,32,2288,26,113,448,338,166,524,673,0.0,0.0,47.5,52.5,1.1,4.9,19.6,14.8,7.3,22.9,29.4
25001011400,2018,11400,Barnstable County,Massachusetts,147,21,27,41,58,2490,0,93,655,435,249,621,437,14.3,18.4,27.9,39.5,0.0,3.7,26.3,17.5,10.0,24.9,17.6
25001011500,2018,11500,Barnstable County,Massachusetts,231,53,67,64,47,2968,19,154,978,712,208,627,270,22.9,29.0,27.7,20.3,0.6,5.2,33.0,24.0,7.0,21.1,9.1
25001011600,2018,11600,Barnstable County,Massachusetts,148,0,25,123,0,2221,3,72,802,444,204,388,308,0.0,16.9,83.1,0.0,0.1,3.2,36.1,20.0,9.2,17.5,13.9
25001011700,2018,11700,Barnstable County,Massachusetts,122,28,57,37,0,1507,19,19,337,251,155,429,297,23.0,46.7,30.3,0.0,1.3,1.3,22.4,16.7,10.3,28.5,19.7
25001011801,2018,11801,Barnstable County,Massachusetts,85,36,0,26,23,2096,0,0,253,383,173,652,635,42.4,0.0,30.6,27.1,0.0,0.0,12.1,18.3,8.3,31.1,30.3
25001011802,2018,11802,Barnstable County,Massachusetts,214,16,46,94,58,3154,62,62,805,499,341,877,508,7.5,21.5,43.9,27.1,2.0,2.0,25.5,15.8,10.8,27.8,16.1
25001012001,2018,12001,Barnstable County,Massachusetts,416,0,205,174,37,4507,28,167,1379,1010,557,764,602,0.0,49.3,41.8,8.9,0.6,3.7,30.6,22.4,12.4,17.0,13.4
25001012002,2018,12002,Barnstable County,Massachusetts,265,17,133,98,17,2128,56,73,850,407,144,318,280,6.4,50.2,37.0,6.4,2.6,3.4,39.9,19.1,6.8,14.9,13.2
25001012101,2018,12101,Barnstable County,Massachusetts,566,59,276,144,87,4040,93,201,1246,794,432,817,457,10.4,48.8,25.4,15.4,2.3,5.0,30.8,19.7,10.7,20.2,11.3
25001012102,2018,12102,Barnstable County,Massachusetts,191,11,80,81,19,2475,49,140,588,654,250,468,326,5.8,41.9,42.4,9.9,2.0,5.7,23.8,26.4,10.1,18.9,13.2
25001012200,2018,12200,Barnstable County,Massachusetts,305,106,143,38,18,3687,72,95,501,751,330,988,950,34.8,46.9,12.5,5.9,2.0,2.6,13.6,20.4,9.0,26.8,25.8
25001012502,2018,12502,Barnstable County,Massachusetts,227,77,24,59,67,2680,62,220,994,534,214,353,303,33.9,10.6,26.0,29.5,2.3,8.2,37.1,19.9,8.0,13.2,11.3
25001012601,2018,12601,Barnstable County,Massachusetts,414,93,277,44,0,2236,25,143,743,458,250,328,289,22.5,66.9,10.6,0.0,1.1,6.4,33.2,20.5,11.2,14.7,12.9
25001012602,2018,12602,Barnstable County,Massachusetts,605,157,290,158,0,3414,110,409,1497,585,395,332,86,26.0,47.9,26.1,0.0,3.2,12.0,43.8,17.1,11.6,9.7,2.5
25001012700,2018,12700,Barnstable County,Massachusetts,402,68,213,52,69,3285,28,19,826,726,340,835,511,16.9,53.0,12.9,17.2,0.9,0.6,25.1,22.1,10.4,25.4,15.6
25001012800,2018,12800,Barnstable County,Massachusetts,125,0,17,108,0,3008,51,79,682,705,240,714,537,0.0,13.6,86.4,0.0,1.7,2.6,22.7,23.4,8.0,23.7,17.9
25001012900,2018,12900,Barnstable County,Massachusetts,233,20,85,84,44,2961,53,73,745,575,348,618,549,8.6,36.5,36.1,18.9,1.8,2.5,25.2,19.4,11.8,20.9,18.5
25001013002,2018,13002,Barnstable County,Massachusetts,158,45,49,31,33,2417,8,8,541,441,158,757,504,28.5,31.0,19.6,20.9,0.3,0.3,22.4,18.2,6.5,31.3,20.9
25001013100,2018,13100,Barnstable County,Massachusetts,343,31,166,80,66,4166,1,138,953,950,439,940,745,9.0,48.4,23.3,19.2,0.0,3.3,22.9,22.8,10.5,22.6,17.9
25001013200,2018,13200,Barnstable County,Massachusetts,319,0,91,115,113,3439,75,40,648,469,309,1115,783,0.0,28.5,36.1,35.4,2.2,1.2,18.8,13.6,9.0,32.4,22.8
25001013300,2018,13300,Barnstable County,Massachusetts,257,71,84,102,0,2444,17,86,413,500,156,755,517,27.6,32.7,39.7,0.0,0.7,3.5,16.9,20.5,6.4,30.9,21.2
25001013400,2018,13400,Barnstable County,Massachusetts,209,49,70,65,25,2861,9,49,377,445,241,968,772,23.4,33.5,31.1,12.0,0.3,1.7,13.2,15.6,8.4,33.8,27.0
25001013500,2018,13500,Barnstable County,Massachusetts,372,135,83,132,22,5207,151,31,955,956,511,1610,993,36.3,22.3,35.5,5.9,2.9,0.6,18.3,18.4,9.8,30.9,19.1
25001013600,2018,13600,Barnstable County,Massachusetts,720,0,178,389,153,4417,25,123,1090,1319,538,865,457,0.0,24.7,54.0,21.3,0.6,2.8,24.7,29.9,12.2,19.6,10.3
25001013700,2018,13700,Barnstable County,Massachusetts,576,19,145,340,72,3319,26,179,1235,618,262,642,357,3.3,25.2,59.0,12.5,0.8,5.4,37.2,18.6,7.9,19.3,10.8
25001013800,2018,13800,Barnstable County,Massachusetts,466,33,112,239,82,3490,47,62,858,721,559,829,414,7.1,24.0,51.3,17.6,1.3,1.8,24.6,20.7,16.0,23.8,11.9
